wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
87882.498803,89314.046782,89314.046782,93297.25080000001
89705.34744700001,131823.78251,94590.462746,99070.615441
67751.468393,123842.76443000001,131823.78251,118383.88444999998
119807.21613,89924.49617,88394.642216,94933.198947
143975.84513,131195.01001,172429.96113,133257.88047
100412.41489500001,120287.98114,108571.751479,106710.688785
115251.18996000002,104985.57307500001,101573.793802,103629.86901
91793.168892,111043.17219400001,110519.06605,111043.17219400001
115719.52707,125524.40007,90220.150552,99452.14246999999
106340.532629,95217.817157,96457.413249,91136.41558100001
61696.559027,112026.286433,122195.41045,128874.75561
93900.84651999999,100412.41489500001,105904.458987,105904.458987
60512.218695999996,119349.88002,118383.88444999998,122624.86104999999
95217.817157,93297.25080000001,98023.905717,101899.16438100001
112026.286433,107762.3041,117222.98217,114518.96111
105579.93817000001,106340.532629,116739.27437,112812.37813
100268.989174,96457.413249,98357.465365,94355.521675
98663.763171,92795.237077,109001.201612,97390.142389
84552.546346,103906.70531199999,129338.76750999999,116239.73782
128874.75561,97708.881999,76899.005041,80367.98222600001
102521.391273,98357.465365,90726.336887,94590.462746
91311.790718,105579.93817000001,107165.750483,100412.41489500001
56333.53387,122624.86104999999,133679.71272,143975.84513
108571.751479,93701.0317,123842.76443000001,119807.21613
105904.458987,97390.142389,103629.86901,103202.990313
96984.89988299999,101899.16438100001,101899.16438100001,98023.905717
87126.255008,91793.168892,100712.834176,107165.750483
111043.17219400001,121003.8297,99842.061706,103906.70531199999
111450.399733,122195.41045,113838.91909000001,111450.399733
103202.990313,86951.65896900001,93540.5434,90726.336887
104357.92383900001,90489.32378,83986.432512,82871.026606
97390.142389,98663.763171,90489.32378,100268.989174
81823.216753,92079.977308,86526.775399,89924.49617
88394.642216,94933.198947,89446.081034,91559.710949
88986.688758,90220.150552,99070.615441,101090.96467300001
98357.465365,88986.688758,92795.237077,92410.213936
64401.337438,45028.181238000005,39479.120894,78526.340139
90941.542094,84552.546346,90941.542094,88737.212223
63367.26875999999,115719.52707,112026.286433,119349.88002
109324.26662600001,94590.462746,99452.14246999999,96457.413249
99842.061706,95609.739934,92410.213936,94164.159559
97708.881999,92410.213936,96165.544298,93900.84651999999
93701.0317,110106.96879700001,100412.41489500001,102165.33676
92410.213936,96984.89988299999,86713.173525,86526.775399
96165.544298,98023.905717,108169.72219199999,100712.834176
90489.32378,81983.783308,88086.894243,81823.216753
71527.698697,101573.793802,102165.33676,105579.93817000001
101573.793802,118383.88444999998,124641.91910999999,125020.84968999999
98023.905717,110519.06605,107762.3041,108571.751479
90726.336887,81823.216753,83813.16184799999,82352.000467
72565.447324,89446.081034,103202.990313,104595.95805799999
91136.41558100001,87398.121078,83510.54734199999,88086.894243
88737.212223,87882.498803,87126.255008,80585.714593
126169.35296,102521.391273,94933.198947,90220.150552
100712.834176,82107.036149,97708.881999,90941.542094
94164.159559,86184.001119,86383.570793,90489.32378
77654.35194200001,87651.47436600001,78270.07479700001,81983.783308
87398.121078,88394.642216,89705.34744700001,86713.173525
79735.53931,67980.818374,53524.117429,59089.84656
107165.750483,76601.868722,82107.036149,83320.50371599999
96457.413249,80367.98222600001,82352.000467,78682.626347
89446.081034,81608.367061,81823.216753,86184.001119
89924.49617,83186.988481,89924.49617,85921.763746
82871.026606,83320.50371599999,87882.498803,87398.121078
71722.841426,90726.336887,119807.21613,109001.201612
94933.198947,73896.40065200001,77867.155896,74174.221136
96668.13696,84396.15779699999,87398.121078,98663.763171
104595.95805799999,86713.173525,96668.13696,93701.0317
