wt_0min_1,wt_0min_2,env_0min_1,env_0min_2
687114.6857200001,687114.6857200001,655276.03698,624592.69561
632397.5683,628617.60962,632397.5683,632397.5683
648140.74628,604909.2390599999,614407.49238,599424.42004
624592.69561,607589.77702,635555.6459100001,601185.4922399999
607589.77702,601185.4922399999,607589.77702,580972.71624
609328.35736,596451.83995,703364.86916,639228.23003
593340.58416,576891.99255,529901.09814,635555.6459100001
599424.42004,610456.71343,601185.4922399999,618401.38353
604909.2390599999,599424.42004,639228.23003,572707.0989699999
596451.83995,624592.69561,610456.71343,593340.58416
580972.71624,609328.35736,612445.64206,596451.83995
614407.49238,590720.517,593340.58416,607589.77702
628617.60962,621626.07688,599424.42004,604909.2390599999
670434.5528599999,664495.61295,596451.83995,566662.67313
587444.88843,593340.58416,580972.71624,564319.52197
590720.517,580972.71624,572707.0989699999,569313.77039
547507.5949799999,566662.67313,569313.77039,557694.5765
583839.26422,612445.64206,587444.88843,576891.99255
532523.08256,508274.96801000007,503216.18520999997,610456.71343
564319.52197,583839.26422,583839.26422,545276.8373700001
572707.0989699999,572707.0989699999,576891.99255,561417.39738
484126.71627000003,476367.77822000004,439243.99551,651827.2167999999
569313.77039,552885.37688,552885.37688,500016.02834
539247.95384,557694.5765,545276.8373700001,550723.45038
550723.45038,550723.45038,550723.45038,547507.5949799999
561417.39738,569313.77039,542902.36523,520253.39835000003
489772.65311,462647.67470000003,527471.60516,621626.07688
534489.8410799999,534489.8410799999,561417.39738,542902.36523
552885.37688,545276.8373700001,504920.3367,539247.95384
450361.01492999995,459851.55196,564319.52197,522689.41086999996
492801.60456,503216.18520999997,590720.517,529901.09814
557694.5765,539247.95384,520253.39835000003,527471.60516
545276.8373700001,564319.52197,525815.38802,517202.5509
566662.67313,547507.5949799999,522689.41086999996,508274.96801000007
497742.10967,492801.60456,547507.5949799999,482387.03446000005
470494.6931,471499.01657999994,508274.96801000007,552885.37688
503216.18520999997,510908.80197000003,500016.02834,510908.80197000003
508274.96801000007,520253.39835000003,539247.95384,503216.18520999997
482387.03446000005,472837.22005,479091.19905000005,484126.71627000003
426106.2628,440090.62203,497742.10967,467212.08087999996
512435.40352,504920.3367,474452.54242,512435.40352
520253.39835000003,500016.02834,517202.5509,488833.05657
529901.09814,517202.5509,492801.60456,515049.54188000003
510908.80197000003,497742.10967,485946.63435000007,494796.35148
515049.54188000003,525815.38802,480476.51453,444589.29712000006
465873.38936000003,489772.65311,488833.05657,454507.44062999997
522689.41086999996,542902.36523,494796.35148,532523.08256
542902.36523,529901.09814,515049.54188000003,492801.60456
527471.60516,532523.08256,512435.40352,468741.37048000004
517202.5509,527471.60516,532523.08256,525815.38802
504920.3367,515049.54188000003,482387.03446000005,471499.01657999994
494796.35148,480476.51453,477249.10009,470494.6931
485946.63435000007,488833.05657,489772.65311,464138.27884
525815.38802,512435.40352,510908.80197000003,476367.77822000004
451892.84508,467212.08087999996,484126.71627000003,477249.10009
436674.06901000004,477249.10009,472837.22005,479091.19905000005
479091.19905000005,457845.84466000006,451892.84508,465873.38936000003
500016.02834,522689.41086999996,468741.37048000004,459851.55196
488833.05657,494796.35148,464138.27884,474452.54242
455776.76106000005,461152.93442,447246.43038,415698.63271
435247.14459,450361.01492999995,566662.67313,442212.86858999997
477249.10009,485946.63435000007,476367.77822000004,457845.84466000006
467212.08087999996,444589.29712000006,465873.38936000003,438255.13853
474452.54242,474452.54242,454507.44062999997,447246.43038
480476.51453,464138.27884,470494.6931,431881.25492000004
404763.93189,419659.64113,407898.65376,472837.22005
471499.01657999994,479091.19905000005,440090.62203,480476.51453
444589.29712000006,438255.13853,471499.01657999994,462647.67470000003
442212.86858999997,431881.25492000004,369683.34785,504920.3367
472837.22005,454507.44062999997,461152.93442,421003.02241000003
427073.53203,430686.58162,427073.53203,455776.76106000005
457845.84466000006,484126.71627000003,459851.55196,449039.5542
464138.27884,465873.38936000003,443369.16500000004,436674.06901000004
468741.37048000004,436674.06901000004,467212.08087999996,434287.58975
418287.93518,400030.17138,371605.96511,497742.10967
446560.14315,443369.16500000004,418287.93518,451892.84508
434287.58975,437843.68687000003,427986.22484,446560.14315
453245.54515,470494.6931,457845.84466000006,450361.01492999995
401752.50809,402832.04306,356902.59777,489772.65311
462647.67470000003,446560.14315,449039.5542,397995.38046
438255.13853,439243.99551,437843.68687000003,429083.36685
461152.93442,455776.76106000005,455776.76106000005,435247.14459
454507.44062999997,449039.5542,444589.29712000006,430686.58162
449039.5542,406755.99162,442212.86858999997,385532.33541
439243.99551,435247.14459,453245.54515,423309.12778000004
415698.63271,410636.00174000004,450361.01492999995,400030.17138
395482.52908,403279.62674000004,435247.14459,417023.78417
422191.77534,418287.93518,414550.84645,443369.16500000004
397995.38046,429083.36685,436674.06901000004,439243.99551
423309.12778000004,427073.53203,398786.41058,407898.65376
427986.22484,426106.2628,384644.19902,453245.54515
398786.41058,382781.2407,410636.00174000004,424955.17282
431881.25492000004,427986.22484,430686.58162,427986.22484
443369.16500000004,451892.84508,431881.25492000004,414550.84645
437843.68687000003,434287.58975,422191.77534,437843.68687000003
440090.62203,447246.43038,438255.13853,426106.2628
419659.64113,453245.54515,426106.2628,419659.64113
410636.00174000004,415698.63271,415698.63271,372817.37624
424955.17282,388629.43658,367684.60496,485946.63435000007
447246.43038,442212.86858999997,429083.36685,400902.46191
429083.36685,423309.12778000004,394267.26855000004,411894.1131
390772.39292,398786.41058,411894.1131,375361.05741
409236.50642,409236.50642,434287.58975,398786.41058
411894.1131,413369.6925,413369.6925,405648.57368000003
396351.89731000003,396351.89731000003,409236.50642,395482.52908
291876.17741,293702.54188000003,381130.92196,461152.93442
393479.8001,407898.65376,393479.8001,361342.74470000004
392156.87075999996,400902.46191,388629.43658,380067.32742
403279.62674000004,397995.38046,404763.93189,363854.01738
406755.99162,414550.84645,387429.89062,401752.50809
355338.93132000003,366311.9845,361342.74470000004,406755.99162
400030.17138,392156.87075999996,392156.87075999996,362433.89259
373673.60872,355338.93132000003,446560.14315,370993.90124
388629.43658,385532.33541,421003.02241000003,381939.24100000004
389863.85422,401752.50809,403279.62674000004,363083.81176
366311.9845,356902.59777,417023.78417,370503.81118
344515.99861,323426.71013,297500.80460000003,440090.62203
361342.74470000004,371605.96511,401752.50809,394267.26855000004
414550.84645,411894.1131,423309.12778000004,386583.30507999996
421003.02241000003,424955.17282,424955.17282,418287.93518
417023.78417,417023.78417,405648.57368000003,396351.89731000003
382781.2407,389863.85422,356250.61238,382781.2407
381939.24100000004,381130.92196,383658.49619,389863.85422
402832.04306,390772.39292,400902.46191,355338.93132000003
363083.81176,370503.81118,400030.17138,390772.39292
358097.18098,360493.52544,341894.29627,410636.00174000004
430686.58162,422191.77534,419659.64113,422191.77534
356250.61238,343617.97706999996,335777.55145,427073.53203
394267.26855000004,393479.8001,379267.77135,388629.43658
405648.57368000003,404763.93189,382781.2407,350558.9291
386583.30507999996,377733.27087,372817.37624,341894.29627
400902.46191,421003.02241000003,402832.04306,393479.8001
364501.94701999996,380067.32742,389863.85422,381130.92196
371605.96511,372817.37624,377733.27087,369683.34785
384644.19902,341894.29627,358097.18098,360493.52544
374727.95944,379267.77135,390772.39292,366311.9845
372817.37624,387429.89062,373673.60872,376409.55047
407898.65376,370993.90124,396351.89731000003,402832.04306
341894.29627,338407.64295999997,381939.24100000004,404763.93189
381130.92196,405648.57368000003,395482.52908,367684.60496
368642.59575,365269.41157999996,347133.19626,374727.95944
379267.77135,394267.26855000004,363854.01738,359301.66958999995
301721.32873999997,287755.7093,291229.48422,403279.62674000004
346301.90084,322950.42912,291876.17741,392156.87075999996
315358.79153,336608.50144,406755.99162,349260.04262
343617.97706999996,335777.55145,310962.92183,413369.6925
370503.81118,369683.34785,380067.32742,353711.39447
365269.41157999996,375361.05741,345328.04711000004,354595.66478
360493.52544,367684.60496,385532.33541,373673.60872
362433.89259,359301.66958999995,329535.71731,387429.89062
377733.27087,376409.55047,366311.9845,331696.7551
413369.6925,395482.52908,386583.30507999996,384644.19902
385532.33541,386583.30507999996,344515.99861,383658.49619
325856.97352,333758.51502,375361.05741,364501.94701999996
309774.02944,322368.86906,397995.38046,347133.19626
380067.32742,373673.60872,362433.89259,348599.05795
387429.89062,383658.49619,370503.81118,351314.36716
339709.82863,345328.04711000004,365269.41157999996,340414.85597000003
369683.34785,384644.19902,374727.95944,365269.41157999996
376409.55047,342615.92328,353711.39447,337502.08952000004
345328.04711000004,346301.90084,342615.92328,352592.03313
383658.49619,381939.24100000004,370993.90124,379267.77135
352592.03313,374727.95944,326937.37366,338957.81409999996
335777.55145,356250.61238,364501.94701999996,344515.99861
323861.32234,349260.04262,355338.93132000003,330810.27096
319311.29071,329849.79244,349260.04262,335777.55145
338407.64295999997,338957.81409999996,363083.81176,368642.59575
359301.66958999995,363854.01738,368642.59575,356902.59777
338957.81409999996,358097.18098,321738.65069,345328.04711000004
354595.66478,363083.81176,349976.26275,349976.26275
348599.05795,349976.26275,360493.52544,340691.48972
320034.7279,312973.27225000004,376409.55047,343617.97706999996
370993.90124,361342.74470000004,338407.64295999997,356250.61238
367684.60496,364501.94701999996,351314.36716,323426.71013
341206.15258,350558.9291,354595.66478,322950.42912
317916.49948999996,328023.44334999996,337502.08952000004,335067.30151
353711.39447,351314.36716,341206.15258,333758.51502
375361.05741,325055.95177,359301.66958999995,316951.33434
349260.04262,320798.04403999995,330316.40819,332158.13249
316244.33729,354595.66478,323861.32234,323861.32234
350558.9291,368642.59575,338957.81409999996,329535.71731
326937.37366,332158.13249,325055.95177,328023.44334999996
347133.19626,340691.48972,348599.05795,318468.86121
332921.08924,329535.71731,343617.97706999996,330316.40819
356902.59777,348599.05795,339709.82863,322368.86906
349976.26275,352592.03313,346301.90084,328621.3234
340691.48972,344515.99861,316244.33729,320034.7279
332158.13249,337502.08952000004,324463.99101999996,309774.02944
334565.95624,324463.99101999996,328621.3234,301721.32873999997
329849.79244,301721.32873999997,312973.27225000004,325856.97352
314379.44391000003,286966.60672,260068.14805000002,409236.50642
320798.04403999995,309774.02944,335067.30151,332921.08924
321738.65069,311448.73056,309774.02944,329849.79244
328621.3234,341206.15258,340414.85597000003,326937.37366
363854.01738,362433.89259,352592.03313,338407.64295999997
347877.1951,353711.39447,330810.27096,312042.52205
342615.92328,339709.82863,323426.71013,320798.04403999995
302607.76284,279444.37167,266452.45169,346301.90084
330316.40819,335067.30151,313742.73457,319311.29071
298955.38368,319311.29071,329849.79244,341206.15258
249852.86562,260068.14805000002,340691.48972,285813.81687000004
312042.52205,302607.76284,350558.9291,305947.91936
337502.08952000004,340414.85597000003,317347.8562,300785.7053
307801.79746,330316.40819,314379.44391000003,321738.65069
300785.7053,310962.92183,347877.1951,334565.95624
351314.36716,347133.19626,333758.51502,310962.92183
287755.7093,302118.04568,318468.86121,299466.4153
