env_0min_1,env_0min_2,env_5min_1,env_5min_2
144464.23269,185256.60486999998,177035.1046,187251.49046
171173.15525,169970.08279,185256.60486999998,196488.4636
140206.35908999998,191029.27952,132366.61981,154061.58485
163161.35747,161261.91587,159632.59931999998,158200.47709
175740.68426,193654.73486000003,152741.83497999999,163161.35747
189620.01201,145646.62311,169970.08279,139061.62374
146434.74956,143626.52409999998,141326.38277,148931.35772
166235.91613,163161.35747,146434.74956,159632.59931999998
164685.65183000002,155553.91191,150873.22115,152741.83497999999
122449.06476000001,199595.69295,171173.15525,171173.15525
150124.58963,151950.25403,148931.35772,157099.3095
147750.97659,150873.22115,133087.51111999998,150873.22115
161261.91587,154061.58485,133783.11471,137068.23695
138407.73442,148931.35772,142998.13548,164685.65183000002
139061.62374,131795.11797,130852.0704,133087.51111999998
169970.08279,171173.15525,158200.47709,161261.91587
122806.47841000001,152741.83497999999,139061.62374,155553.91191
150873.22115,135431.90958,129931.55193,142998.13548
177035.1046,159632.59931999998,138407.73442,141326.38277
162004.52412999998,166235.91613,157099.3095,146434.74956
130852.0704,139061.62374,122449.06476000001,143626.52409999998
142998.13548,141326.38277,125452.54968999999,133783.11471
132366.61981,133087.51111999998,144464.23269,145646.62311
136083.77039999998,133783.11471,155553.91191,169970.08279
118828.30587,142998.13548,137068.23695,151950.25403
155553.91191,150124.58963,162004.52412999998,123656.52764999999
181346.48647,147750.97659,168647.32121000002,162004.52412999998
111084.00142000002,136083.77039999998,147750.97659,166235.91613
133087.51111999998,124324.97505000001,119242.60143,132366.61981
143626.52409999998,138407.73442,124324.97505000001,142146.26528
137068.23695,157099.3095,114650.43075999999,131795.11797
157099.3095,144464.23269,126239.13618,122449.06476000001
142146.26528,112433.20124,127015.01165,128774.79776999999
127799.59344,117781.46185,120855.77305,124956.64905
118315.08936999999,130852.0704,136083.77039999998,136083.77039999998
88543.673642,96918.103122,135431.90958,175740.68426
115018.79363,121479.13422,124956.64905,130852.0704
131795.11797,137068.23695,104979.75361599999,114650.43075999999
117321.16983,113469.52708,123656.52764999999,129931.55193
124324.97505000001,122449.06476000001,113469.52708,125452.54968999999
121479.13422,116441.13609,116441.13609,134657.24701
112108.2023,92863.498215,122806.47841000001,119902.41851999999
116018.41946,140206.35908999998,101940.456215,112906.72987
120855.77305,112906.72987,112906.72987,127015.01165
148931.35772,120855.77305,209596.85686,117781.46185
124956.64905,123260.20963000001,128774.79776999999,127799.59344
119902.41851999999,87958.04498600001,131795.11797,124324.97505000001
151950.25403,118315.08936999999,140206.35908999998,144464.23269
80257.430441,129931.55193,145646.62311,138407.73442
104418.05165200001,106894.744713,123260.20963000001,150124.58963
110218.94125999999,109730.19553,294527.45233,95187.83313700001
111717.03078,127799.59344,107848.67254999999,116441.13609
102380.104461,142146.26528,110218.94125999999,121479.13422
110603.64327,107848.67254999999,105888.807351,111717.03078
134657.24701,116018.41946,106355.103009,106355.103009
96094.51789,132366.61981,109730.19553,126239.13618
154061.58485,114088.5814,143626.52409999998,104418.05165200001
133783.11471,146434.74956,112108.2023,122806.47841000001
100158.37056899999,112108.2023,106894.744713,123260.20963000001
145646.62311,118828.30587,189620.01201,100684.209104
100684.209104,124956.64905,117781.46185,112433.20124
98178.14111200001,104188.632166,118828.30587,119242.60143
116441.13609,97679.950094,101701.742381,111084.00142000002
129931.55193,127015.01165,110603.64327,120855.77305
93195.165889,99224.115456,87205.888006,112108.2023
105379.344575,93195.165889,101208.184913,115018.79363
106355.103009,100452.15196,97679.950094,101940.456215
113469.52708,105888.807351,93920.9074,103975.145181
108427.1303,111084.00142000002,103321.805152,114088.5814
83376.307684,119902.41851999999,109163.4269,118828.30587
74462.890136,123656.52764999999,121479.13422,147750.97659
104188.632166,96529.263188,99763.78091300001,109730.19553
106894.744713,95187.83313700001,98178.14111200001,108427.1303
98906.021227,100158.37056899999,91018.379921,98906.021227
114088.5814,101701.742381,95187.83313700001,101208.184913
112906.72987,134657.24701,77907.48595500001,82278.76365499999
86383.725866,93920.9074,96918.103122,118315.08936999999
127015.01165,109163.4269,108427.1303,97679.950094
112433.20124,106355.103009,94414.71914999999,103321.805152
126239.13618,108427.1303,103975.145181,88275.002382
89814.62894200001,125452.54968999999,95840.543624,103039.585523
101208.184913,95669.875044,88817.36640999999,96529.263188
104979.75361599999,102380.104461,89814.62894200001,100452.15196
