genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
316290.38037,341196.73421,322801.73715,327876.58972
393280.49756,354049.44403,372106.32781,382124.84356
336072.44193000003,357681.18583,315734.47341,315077.99179
329370.72678,338647.67416000005,301757.7751,315734.47341
337002.36921000003,348089.7402,330198.70158,333040.37464
336621.05636,317970.37004,327243.28849999997,325627.29644
314512.34274,331036.71378,324879.14542,339914.71706
322801.73715,338020.04527,336072.44193000003,332501.30757999996
324879.14542,329370.72678,331604.79427,319530.93929
354049.44403,343415.52159,348089.7402,372106.32781
306724.44518,300472.22881999996,358617.48792,340522.69175
342077.26886,336072.44193000003,334640.94559,328848.81327
319530.93929,328393.26943,320164.36277,306200.79253000004
364956.53503,318692.66304,400614.61113,394169.29125999997
313654.45227999997,327243.28849999997,328393.26943,314512.34274
301757.7751,319530.93929,333040.37464,317135.86089
311380.0257,321142.18857999996,336621.05636,335318.81176
298713.91053,306200.79253000004,337002.36921000003,327243.28849999997
315734.47341,326218.51853,289288.65099,279877.41603
359354.25057000003,334640.94559,354049.44403,358617.48792
309714.30096,325627.29644,313918.83818,317970.37004
334640.94559,322801.73715,309714.30096,310825.14602
307737.15587,314512.34274,329370.72678,324879.14542
310205.00137,323874.86222999997,302887.31444,301757.7751
394169.29125999997,344279.03948,363095.01418,365725.11533
327876.58972,313654.45227999997,360833.48677,357681.18583
306200.79253000004,313918.83818,320844.11499000003,320164.36277
320844.11499000003,340522.69175,306724.44518,300877.03213999997
320164.36277,321827.93142,306200.79253000004,305731.88153
325627.29644,331604.79427,327876.58972,308619.06807
318692.66304,330198.70158,297683.87198,290196.00901
339914.71706,324879.14542,319049.34246,344279.03948
310825.14602,320844.11499000003,296183.99037,298713.91053
300124.49529,305336.3577,308619.06807,300124.49529
317135.86089,306724.44518,333520.00322,323874.86222999997
285221.90699,307737.15587,305731.88153,307737.15587
322280.99127,332501.30757999996,321142.18857999996,322280.99127
304235.63234,309714.30096,313654.45227999997,313164.02232999995
302370.38175,311972.83127,305336.3577,305336.3577
349969.47095999995,319049.34246,328848.81327,337002.36921000003
304599.33975,310205.00137,311380.0257,302370.38175
313164.02232999995,298713.91053,332501.30757999996,321827.93142
297113.16438000003,304599.33975,310825.14602,313918.83818
328848.81327,297683.87198,325627.29644,321142.18857999996
321827.93142,308619.06807,321827.93142,328393.26943
290989.96932000003,316290.38037,293662.33496,293662.33496
288440.59848,303671.61818,285996.64021,298127.3149
302887.31444,290196.00901,315077.99179,306724.44518
292892.93391,313164.02232999995,299450.75210000004,296183.99037
273491.68123000005,282343.69964999997,283118.01755,265460.49174
290784.01841,301757.7751,269561.14350999997,279412.80479
284143.82795,276350.01414,296652.10394,292085.95293
311972.83127,263074.30416,350446.98681000003,339473.8174
292410.26721,291549.53585,318692.66304,304235.63234
285652.46579,293662.33496,290784.01841,277662.10829
313918.83818,292410.26721,303671.61818,294838.82861
285996.64021,302887.31444,304599.33975,311972.83127
315077.99179,310825.14602,290196.00901,289025.03749
283118.01755,288019.04367,300472.22881999996,299450.75210000004
300472.22881999996,315734.47341,286818.70725,288019.04367
283620.35635,305731.88153,288440.59848,304599.33975
331036.71378,304235.63234,338020.04527,348836.61795
