wt_5min_1,wt_5min_2,env_5min_1,env_5min_2
2109351.4355,2109351.4355,2109351.4355,2109351.4355
1844122.5465999998,1844122.5465999998,1844122.5465999998,1844122.5465999998
1551419.3088,1551419.3088,1551419.3088,1551419.3088
1407088.795,1407088.795,1407088.795,1407088.795
1196465.9716,1118325.9353,1196465.9716,1240875.2925
1240875.2925,1240875.2925,1148866.7508,1196465.9716
1148866.7508,1010943.9690299999,1118325.9353,1148866.7508
1053303.58683,1083642.1464,1083642.1464,1118325.9353
1118325.9353,1148866.7508,1240875.2925,1053303.58683
1027676.3958599999,1027676.3958599999,1010943.9690299999,1010943.9690299999
980434.82456,980434.82456,963123.38297,1027676.3958599999
1083642.1464,1053303.58683,1053303.58683,1083642.1464
913207.61389,913207.61389,913207.61389,963123.38297
963123.38297,924882.35813,980434.82456,980434.82456
946507.0704600001,946507.0704600001,924882.35813,897767.0005000001
1010943.9690299999,1196465.9716,1027676.3958599999,913207.61389
885289.2543299999,897767.0005000001,865475.26864,924882.35813
924882.35813,822615.88717,897767.0005000001,946507.0704600001
865475.26864,885289.2543299999,885289.2543299999,885289.2543299999
854248.19783,854248.19783,822615.88717,841037.06877
897767.0005000001,963123.38297,946507.0704600001,865475.26864
841037.06877,865475.26864,854248.19783,854248.19783
794665.71018,841037.06877,841037.06877,822615.88717
757648.1629,794665.71018,757648.1629,751023.4709900001
751023.4709900001,779513.88151,718596.4817199999,779513.88151
779513.88151,679957.32513,794665.71018,757648.1629
743877.35784,734484.48763,705963.65865,734484.48763
718596.4817199999,743877.35784,687114.6857200001,705963.65865
726069.37084,641987.86082,703364.86916,743877.35784
703364.86916,718596.4817199999,679957.32513,696937.33284
705963.65865,726069.37084,734484.48763,679957.32513
822615.88717,484126.71627000003,779513.88151,726069.37084
691414.30988,703364.86916,743877.35784,718596.4817199999
696937.33284,751023.4709900001,696937.33284,703364.86916
655276.03698,696937.33284,676797.9347,670434.5528599999
651827.2167999999,687114.6857200001,648140.74628,676797.9347
676797.9347,635555.6459100001,664495.61295,691414.30988
659600.1725399999,691414.30988,641987.86082,664495.61295
687114.6857200001,659600.1725399999,670434.5528599999,687114.6857200001
664495.61295,705963.65865,726069.37084,639228.23003
734484.48763,757648.1629,751023.4709900001,794665.71018
