wt_0min_1,wt_0min_2,env_0min_1,env_0min_2
39584.8342,46789.845118,178817.46752,122806.47841000001
43850.475716,58162.911181999996,119242.60143,103321.805152
48863.234317,63222.93287599999,123656.52764999999,117321.16983
138407.73442,122806.47841000001,101701.742381,119242.60143
96529.263188,106355.103009,85323.57278700001,128774.79776999999
101701.742381,96918.103122,88275.002382,110218.94125999999
72649.33731900001,95840.543624,107848.67254999999,99763.78091300001
145646.62311,144464.23269,114650.43075999999,111717.03078
103975.145181,96529.263188,83912.694511,98548.783716
119902.41851999999,116018.41946,98548.783716,77119.031631
106894.744713,108427.1303,97185.236429,94662.006366
107529.84775,104979.75361599999,91504.879294,95840.543624
109163.4269,116441.13609,109163.4269,88543.673642
100158.37056899999,110218.94125999999,100452.15196,83912.694511
113469.52708,112433.20124,97679.950094,91018.379921
108427.1303,101701.742381,93612.115614,91340.961774
105379.344575,109163.4269,95187.83313700001,82278.76365499999
96918.103122,92863.498215,74685.320466,82487.46220899999
92863.498215,90337.061268,76302.617386,94903.415871
32865.127272,41427.177654,125452.54968999999,105379.344575
24557.474951,30982.646037,135431.90958,86200.041543
92051.729137,88817.36640999999,80147.65164899999,79220.99376000001
100684.209104,97185.236429,90678.28823899999,91504.879294
56606.453251000006,50771.201216,73388.400923,92477.645205
112433.20124,112906.72987,99763.78091300001,97428.517964
99224.115456,104188.632166,86029.74755100001,98178.14111200001
95840.543624,87683.97823400001,77615.94657,91850.340364
99763.78091300001,103321.805152,96918.103122,86815.883241
90102.4588,92604.752236,95669.875044,114650.43075999999
105888.807351,102380.104461,92604.752236,97185.236429
63513.354837,67355.81161,65998.30624800001,80147.65164899999
38490.568264,42791.593984,86200.041543,104979.75361599999
102380.104461,99763.78091300001,99224.115456,103975.145181
53273.594084000004,64403.078992999996,61900.302478,115018.79363
78973.640945,76513.406609,59969.877257,110603.64327
79672.275989,94235.523934,81119.695247,82127.673173
115018.79363,110603.64327,109730.19553,103039.585523
101208.184913,84628.85652599999,77764.58574899999,70348.564109
94662.006366,86200.041543,82278.76365499999,68614.962315
103039.585523,101940.456215,92863.498215,94414.71914999999
98548.783716,97679.950094,78023.317797,84763.534277
92604.752236,87958.04498600001,76612.09197,73388.400923
59772.63280400001,63291.236113,63513.354837,77416.535566
84763.534277,86577.153545,73894.02263699999,76612.09197
74596.376911,89102.41810899999,78821.42725899999,73066.867853
64403.078992999996,77416.535566,103039.585523,78188.439461
95669.875044,103039.585523,86577.153545,86577.153545
34694.585521,37571.777841,77265.73809,101208.184913
86383.725866,87205.888006,72125.46975,78352.69378599999
98178.14111200001,97428.517964,82127.673173,78973.640945
91340.961774,91340.961774,85069.361311,80257.430441
86815.883241,84079.69170699999,72566.21436900001,87430.956083
78821.42725899999,79672.275989,83171.93423,75781.635624
97428.517964,100158.37056899999,81944.42173500001,80942.868631
104188.632166,100684.209104,96529.263188,85733.00678099999
91504.879294,91504.879294,77907.48595500001,85323.57278700001
79346.64683299999,70928.854255,57382.474124,88275.002382
54870.22102700001,53674.98824399999,80700.043305,96094.51789
78640.20862399999,71876.159508,63222.93287599999,90102.4588
83634.079985,82941.765336,69092.610541,90337.061268
97185.236429,73388.400923,83813.026174,65737.17471600001
44285.553432,48012.936243,88817.36640999999,94235.523934
70675.339147,67466.579125,97428.517964,92051.729137
94414.71914999999,93195.165889,81479.111907,74959.162603
92477.645205,91018.379921,92051.729137,71384.580279
84186.609151,91850.340364,64743.949095,87205.888006
29882.384312,33739.858557,123260.20963000001,62920.145218000005
85733.00678099999,74136.177777,62920.145218000005,74136.177777
87430.956083,100452.15196,82708.431959,81479.111907
47375.23181,57652.911604999994,84079.69170699999,79346.64683299999
93195.165889,98906.021227,79346.64683299999,77907.48595500001
60996.72945100001,54928.257413,58872.326675,64253.311795999995
85323.57278700001,79346.64683299999,73528.276851,84079.69170699999
25864.882668,29938.56302,128774.79776999999,89814.62894200001
80942.868631,77907.48595500001,83634.079985,85069.361311
84456.098127,82487.46220899999,68461.580507,81628.471261
56970.566802999994,75014.784332,72812.67829,100684.209104
104418.05165200001,70556.859895,86815.883241,72292.27417
66231.970906,95187.83313700001,79559.168554,84186.609151
93920.9074,94414.71914999999,82487.46220899999,74462.890136
94903.415871,92477.645205,81271.37916699999,73243.701128
69379.82271000001,74839.042508,68124.556169,57652.911604999994
84079.69170699999,71062.686934,79965.127498,70444.641626
89102.41810899999,99224.115456,71236.875856,76886.543527
89274.09477699999,86383.725866,76886.543527,73684.150269
94235.523934,86029.74755100001,74839.042508,86383.725866
97679.950094,96094.51789,89274.09477699999,104418.05165200001
106355.103009,104418.05165200001,93920.9074,76236.622849
89547.66482199999,89814.62894200001,85518.593621,73894.02263699999
87958.04498600001,92051.729137,80942.868631,79965.127498
78188.439461,76432.743,65044.825593,82708.431959
76612.09197,89274.09477699999,71876.159508,89102.41810899999
52260.170798,61450.551142,87958.04498600001,84456.098127
82941.765336,83634.079985,75014.784332,70928.854255
87683.97823400001,93920.9074,82941.765336,86029.74755100001
78023.317797,81628.471261,72450.432282,81944.42173500001
85069.361311,79559.168554,76236.622849,75212.991907
75365.57156499999,76962.33763,67750.747248,57968.968496
72450.432282,70044.200189,81792.428144,74685.320466
72125.46975,73066.867853,61532.682896000006,92604.752236
76236.622849,77615.94657,62982.049827999996,64901.080801000004
88817.36640999999,81479.111907,71506.43929099999,71831.322271
81119.695247,78821.42725899999,65681.354995,68190.53501600001
