0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
600484.7881199999,631293.2733799999,600484.7881199999,767074.51707,459903.67322000006,515991.61207,425719.2228
439642.37453,465131.40709,465131.40709,499362.30339,554255.26205,549199.8488800001,554255.26205
459903.67322000006,468595.74955,473633.14362000005,493548.98121999996,549199.8488800001,576423.19433,519735.72275
491311.15598,484909.00645000004,493548.98121999996,503527.76271000004,503527.76271000004,493548.98121999996,595512.8923000001
462343.48055999994,475890.05396,487542.3072,465131.40709,499362.30339,526082.29304,515991.61207
468595.74955,421283.88605000003,406611.73846,519735.72275,583728.82016,664855.80822,675266.35531
449157.34527000005,443908.70591,462343.48055999994,509119.8994,487542.3072,503527.76271000004,530569.7112
535462.80536,549199.8488800001,583728.82016,515991.61207,562992.6228,541137.55352,509119.8994
453771.31072000007,479469.36699,484909.00645000004,475890.05396,493548.98121999996,535462.80536,526082.29304
479469.36699,446584.04154,483062.53254000004,453771.31072000007,519735.72275,509119.8994,576423.19433
410232.34665,404545.98637,397607.23425,446584.04154,484909.00645000004,530569.7112,493548.98121999996
652743.31771,691065.5608699999,691065.5608699999,826905.97361,435251.18844999996,430317.29423,304562.8832
487542.3072,473633.14362000005,491311.15598,459903.67322000006,526082.29304,487542.3072,453771.31072000007
446584.04154,483062.53254000004,425719.2228,569335.31201,407578.92741,417233.64940999995,446584.04154
473633.14362000005,499362.30339,468595.74955,468595.74955,393863.40148,455903.64949000004,421283.88605000003
246742.20954999997,264337.56865,299916.63038,1182957.99531,1182957.99531,315252.46232000005,241163.14829
475890.05396,453771.31072000007,430317.29423,371468.82273,443908.70591,435251.18844999996,479469.36699
421283.88605000003,449157.34527000005,446584.04154,483062.53254000004,509119.8994,475890.05396,455903.64949000004
419467.86763000005,439642.37453,429145.68052000005,432232.95267,462343.48055999994,465131.40709,483062.53254000004
430317.29423,425719.2228,383525.16567,449157.34527000005,491311.15598,499362.30339,473633.14362000005
465131.40709,462343.48055999994,562992.6228,595512.8923000001,569335.31201,277645.28986,459903.67322000006
396351.36606000003,346189.40780000004,439642.37453,435251.18844999996,327600.41978,361010.80754,491311.15598
569335.31201,554255.26205,519735.72275,487542.3072,473633.14362000005,491311.15598,419467.86763000005
515991.61207,455903.64949000004,475890.05396,419467.86763000005,449157.34527000005,439642.37453,441872.79042
441872.79042,459903.67322000006,435251.18844999996,479469.36699,364711.81830000004,473633.14362000005,487542.3072
352502.59408999997,364711.81830000004,399845.57172,402367.30893,453771.31072000007,484909.00645000004,435251.18844999996
530569.7112,535462.80536,515991.61207,554255.26205,383525.16567,449157.34527000005,449157.34527000005
348312.52491000004,367080.55371,385415.98972,396351.36606000003,455903.64949000004,391561.8841,411842.88175999996
519735.72275,541137.55352,503527.76271000004,535462.80536,387974.51963,479469.36699,361010.80754
376169.70956,396351.36606000003,367080.55371,410232.34665,399845.57172,462343.48055999994,462343.48055999994
429145.68052000005,416007.45613,455903.64949000004,406611.73846,446584.04154,429145.68052000005,484909.00645000004
407578.92741,435251.18844999996,453771.31072000007,421283.88605000003,421283.88605000003,355841.09175,430317.29423
363256.63273,410232.34665,396351.36606000003,376169.70956,371468.82273,407578.92741,475890.05396
675266.35531,826905.97361,675266.35531,675266.35531,316273.70721,350707.80498,290167.83064
371468.82273,381530.34644,411842.88175999996,443908.70591,439642.37453,446584.04154,416007.45613
387974.51963,390398.22552,421283.88605000003,399845.57172,468595.74955,387974.51963,417233.64940999995
377343.58788,397607.23425,404545.98637,416007.45613,417233.64940999995,393863.40148,404545.98637
549199.8488800001,600484.7881199999,541137.55352,541137.55352,377343.58788,459903.67322000006,390398.22552
385415.98972,429145.68052000005,381530.34644,352502.59408999997,475890.05396,631293.2733799999,607944.26443
399845.57172,376169.70956,410232.34665,429145.68052000005,397607.23425,416007.45613,465131.40709
364711.81830000004,378908.45554,391561.8841,393863.40148,410232.34665,424201.88505,429145.68052000005
435251.18844999996,432232.95267,402367.30893,397607.23425,367080.55371,404545.98637,402367.30893
424201.88505,391561.8841,417233.64940999995,350707.80498,396351.36606000003,425719.2228,407578.92741
327600.41978,333002.63582,349375.49331,417233.64940999995,465131.40709,376169.70956,387974.51963
325650.02152999997,377343.58788,348312.52491000004,339516.551,368481.11874,374047.6756,396351.36606000003
335199.2635,344183.61432,311839.78061,279628.40295,378908.45554,399845.57172,391561.8841
367080.55371,387974.51963,377343.58788,313693.93756,419467.86763000005,383525.16567,443908.70591
320462.49462,310294.44661999994,354141.61777,425719.2228,406611.73846,443908.70591,399845.57172
332072.86639,340205.09268999996,333002.63582,364711.81830000004,390398.22552,453771.31072000007,432232.95267
397607.23425,407578.92741,432232.95267,441872.79042,432232.95267,410232.34665,330741.16701000003
337665.55877999996,357483.93092,341746.9971,349375.49331,335199.2635,357483.93092,371468.82273
297381.19782,274127.11963,310294.44661999994,186680.17742,350707.80498,381530.34644,397607.23425
346189.40780000004,315252.46232000005,319208.01882,327600.41978,321815.9265,346189.40780000004,358730.37058
243813.05353,247337.73615,210369.42539,264337.56865,329176.77113,377343.58788,383525.16567
330741.16701000003,325650.02152999997,316273.70721,332072.86639,402367.30893,390398.22552,378908.45554
406611.73846,383525.16567,387974.51963,368481.11874,479469.36699,441872.79042,424201.88505
354141.61777,374047.6756,376169.70956,336533.89567999996,337665.55877999996,354141.61777,368481.11874
358730.37058,371468.82273,329176.77113,304562.8832,354141.61777,411842.88175999996,406611.73846
576423.19433,530569.7112,526082.29304,430317.29423,429145.68052000005,266275.37463000003,306087.62983
383525.16567,393863.40148,371468.82273,310294.44661999994,297381.19782,299916.63038,354141.61777
391561.8841,313693.93756,374047.6756,439642.37453,441872.79042,364711.81830000004,350707.80498
316273.70721,302552.25771,323723.77974,333002.63582,363256.63273,344183.61432,367080.55371
390398.22552,361010.80754,350707.80498,357483.93092,374047.6756,397607.23425,393863.40148
417233.64940999995,424201.88505,449157.34527000005,391561.8841,391561.8841,396351.36606000003,439642.37453
308683.54307,306087.62983,260004.15958000004,311839.78061,357483.93092,358730.37058,357483.93092
350707.80498,335199.2635,357483.93092,355841.09175,290881.05078,336533.89567999996,376169.70956
336533.89567999996,332072.86639,317841.5845,262489.00899,348312.52491000004,368481.11874,344183.61432
404545.98637,417233.64940999995,424201.88505,277645.28986,330741.16701000003,321815.9265,381530.34644
322979.10454000003,355841.09175,302552.25771,348312.52491000004,315252.46232000005,311839.78061,374047.6756
310294.44661999994,312454.04234,296386.6071,325650.02152999997,344183.61432,378908.45554,355841.09175
