Uniprot	Prize
B0YIW2	16.707190884939628
Q99081	15.223360536389972
P02765	13.378918860970034
P69905	13.140939848483885
P06732	12.907112024195134
B7ZKJ8	12.907112024195134
P62805	12.907112024195134
P23142	12.907112024195134
H3BLZ8	12.416235360331946
Q9BU76	12.110458771600483
Q2KHT3	12.110458771600483
P02768	11.611944469153016
Q8NBM4	11.427612179621843
Q5TEC6	11.427612179621843
Q92576	11.042780943823574
Q9Y2R4	11.042780943823574
P68363-2	11.042780943823574
P61978-2	11.024954914506994
Q5T5H1	11.024954914506994
O75152	11.024954914506994
P11171	10.965922635175637
Q6PKG0	10.965922635175637
Q49A26	10.93553884743331
Q5T200	10.93553884743331
P02787	10.757102417270497
A0A0A0MTS7	10.756573820599062
P49207	10.628798491430327
Q8IX15-3	10.498836007857864
P01023	10.498836007857864
P19823	10.445155571546003
P00747	10.429210787087252
Q9Y6V0-5	10.429210787087252
P02788	10.429210787087252
P49790-3	10.425451459244961
P31942	10.417104643169843
P16403	10.284779182589222
A0A087WVP1	10.080001876861012
Q16718-2	10.064184853473552
P20742	10.064184853473552
Q13049	10.062147390958483
P19827	10.062147390958483
P05452	10.062147390958483
Q15063	10.062147390958483
P26599-3	9.841433303012007
P36955	9.841433303012007
A0A0G2JQJ7	9.841433303012007
P10643	9.841433303012007
P01024	9.841433303012007
P08697	9.841433303012007
P01008	9.784651766274633
P05543	9.762899289895522
O75494	9.400062677597457
Q9UIQ6	9.400062677597457
Q01130	9.400062677597457
Q86V48	9.400062677597457
Q9Y5B9	9.400062677597457
Q99490-2	9.400062677597457
A0A087X0X3	9.285616793841347
C9JV77	9.273560227046945
P16401	9.128252017791299
A8MXP9	9.07110829609401
Q9Y2W2	9.07110829609401
Q86YV0	9.07110829609401
E9PCW1	9.07110829609401
P02647	9.038138428445547
A9Z1X7	9.03782267229288
O95297-3	9.03782267229288
P18031	9.03782267229288
Q14152	8.987135515535435
P02748	8.77743168713933
P18858	8.73351826772295
A0A087WX41	8.72098075303839
Q7L4I2	8.72098075303839
Q9Y5V3-2	8.649466487961558
K4DI81	8.588710941016153
P35443	8.564452336269683
Q6DN12	8.550641897881931
Q9UQ35	8.50406778436765
Q9H814	8.478534994316272
Q9H6F5	8.448948110343848
P52657	8.35581360977213
Q96PK6	8.34578826197108
Q8TAD8	8.34578826197108
P46783	8.269709430105669
Q9Y520-7	8.269709430105669
Q9UK76	8.26771183739067
A0A075B738	8.242989096372195
Q9NX58	8.242989096372195
Q8IZP0	8.242989096372195
Q93100-3	8.242989096372195
A0A0G2JPR0	8.17448702145785
M0QYC1	8.081439781448257
O75151	8.025079484169805
P48634	8.019429964918675
P51957	8.019429964918675
Q00403	8.019429964918675
Q8NCD3	8.019429964918675
P16949	8.019429964918675
P06396-2	8.007500246846506
Q7Z5J4	7.99645362194473
O95801	7.907479752968116
Q9NYF3	7.806349123318652
H0Y5F5	7.71875205686925
P04350	7.7168676576717345
Q92619	7.709280964480458
P16150	7.641236279697224
Q5JTH9	7.628282268183451
P02774-3	7.600164428106501
Q8WWI1	7.586124067812568
Q96BH1	7.586124067812568
Q99622	7.580532639917872
Q15477	7.580532639917872
P20648	7.580532639917872
Q9BQ70	7.580532639917872
Q9NX00	7.5796246218078975
Q9UKV3-5	7.54886553441087
C9JYS8	7.54886553441087
P07996	7.526194387539197
Q15154	7.46975359224835
Q7Z460	7.442647496520279
A0A0C4DGB9	7.429096024386654
P62995	7.414710324748759
Q9Y5Z4	7.37853492917227
Q53GS7	7.355634129711667
Q13619	7.34932989243024
Q8NDT2	7.3360518471779015
Q9UPP1	7.316614467764501
P46013	7.301727408843367
H0Y449	7.294902961869016
Q9BSK4	7.277023383536026
Q92614-2	7.227917042629283
P16520	7.227917042629283
Q92804	7.1524864030281785
Q9NVG8	7.134963184008978
O75533	7.1218820814046175
P31751	7.1218820814046175
Q9NWH9	7.1218820814046175
Q9NW64	7.1218820814046175
P17544-6	7.1218820814046175
Q92747	7.1218820814046175
O95169	7.025698365745218
Q9P0U3	7.025698365745218
Q9Y5K6	7.017214415564088
P50750-2	6.992856257138459
Q9ULF5	6.981147846826046
O95644	6.981147846826046
P06400	6.978334141337411
B7WPE2	6.978334141337411
Q8ND56-2	6.978334141337411
P15336	6.976582509586908
P10412	6.965321642500543
P22694-2	6.952809033678831
P18615	6.952809033678831
P19338	6.952809033678831
Q8N6H7	6.952809033678831
O76021	6.952809033678831
Q16666	6.952809033678831
Q9ULU4-19	6.952809033678831
Q8NFC6	6.952809033678831
Q9UPR3	6.952809033678831
P18507-3	6.952809033678831
O94782	6.952809033678831
Q08AE8	6.952809033678831
Q6UUV9-2	6.952809033678831
Q9UJU6	6.952809033678831
O14578-4	6.952809033678831
P17844	6.952809033678831
Q09161	6.952809033678831
O00472	6.952809033678831
Q08117-2	6.952809033678831
P22626	6.952809033678831
Q01518	6.952809033678831
P06748	6.952809033678831
O43148-2	6.952809033678831
E9PGC8	6.952809033678831
Q96IZ7	6.952809033678831
Q15555	6.952809033678831
Q99879	6.952809033678831
Q9C0C2	6.952809033678831
Q9Y2W1	6.952809033678831
J3QR29	6.952809033678831
Q13769	6.952809033678831
A0A096LP69	6.952809033678831
Q14978-2	6.952809033678831
O60563	6.952809033678831
A0A087X188	6.952809033678831
A0A075B6G3	6.952809033678831
P38159	6.952809033678831
P23588-2	6.952809033678831
Q13151	6.952809033678831
P35269	6.952809033678831
Q9H4A3-7	6.952809033678831
O94964-2	6.952809033678831
Q08170	6.952809033678831
Q14669-3	6.952809033678831
Q15036	6.952809033678831
O94913	6.952809033678831
Q9Y6G9	6.952809033678831
Q15906-2	6.952809033678831
Q9H000	6.952809033678831
Q6ZUT1-2	6.952809033678831
Q15334	6.952809033678831
P62753	6.952809033678831
Q12872-2	6.952809033678831
O75385	6.952809033678831
E9PN89	6.952809033678831
Q92797	6.952809033678831
P62979	6.952809033678831
Q92733	6.952809033678831
Q96F86	6.952809033678831
Q9HB90	6.952809033678831
Q13428-8	6.952809033678831
F8W7T1	6.952809033678831
Q9ULR3	6.952809033678831
Q86Y91-4	6.952809033678831
Q5VT06	6.946920372839203
Q8NG31	6.946920372839203
Q8WXE0	6.946920372839203
Q9UPU5	6.946920372839203
O75182	6.946920372839203
Q15758	6.946920372839203
Q86U86	6.946920372839203
Q9NWB6	6.946920372839203
Q53HC0	6.946920372839203
E7EQT4	6.946920372839203
Q9BRD0	6.946920372839203
Q8N3X1-2	6.946920372839203
P61956	6.946920372839203
Q99729-3	6.946920372839203
O60307	6.946920372839203
O94874-2	6.946920372839203
P36915	6.940407102623211
Q9HBD4	6.940407102623211
Q9BWJ5	6.924341499384294
Q92854	6.924341499384294
Q92688	6.9142606476500275
O95104	6.909855474093132
Q8TAQ2	6.899938756237853
Q14980	6.890131797250255
Q9NPD8	6.890131797250255
E7EVA0	6.890131797250255
H9KVB4	6.890131797250255
E9PG73	6.890131797250255
Q5W0B1	6.890131797250255
Q9HCD5	6.890131797250255
P39880-3	6.890131797250255
P42345	6.890131797250255
Q9ULW0	6.890131797250255
P35612	6.890131797250255
Q96MU7	6.890131797250255
P56211	6.890131797250255
Q9Y250	6.890131797250255
Q9H4L7-2	6.890131797250255
Q13573	6.890131797250255
Q92504	6.890131797250255
Q99623	6.890131797250255
O75554	6.890131797250255
A1X283	6.890131797250255
Q7Z5R6	6.890131797250255
P25686	6.890131797250255
Q12789	6.890131797250255
Q86V59	6.890131797250255
P23528	6.890131797250255
Q96ST2	6.890131797250255
Q07960	6.890131797250255
Q15149-2	6.890131797250255
Q8IYW5	6.890131797250255
Q9NR30	6.890131797250255
O96028	6.890131797250255
F5H7W8	6.890131797250255
Q9BVI0	6.890131797250255
Q5VTL8	6.890131797250255
P50219	6.890131797250255
P32519	6.890131797250255
Q86WB0	6.890131797250255
P49711	6.890131797250255
E7ESS2	6.890131797250255
Q14677-3	6.890131797250255
P62820	6.890131797250255
Q12888-2	6.890131797250255
P49792	6.880871110566658
P52756	6.880871110566658
Q8NEZ4-3	6.880871110566658
A0A087WUE4	6.880871110566658
Q9Y3Q8	6.880871110566658
C9JCC6	6.87787099172203
P04264	6.87787099172203
O75791	6.874524344977824
P45973	6.874524344977824
P29374	6.874524344977824
Q86X95	6.86414811098802
Q8IWB9	6.863926927118683
P28908	6.853593154312987
Q9C0K0	6.853386783076045
G5E9I4	6.83478461976769
Q01433	6.83478461976769
O60271-3	6.83478461976769
O95429	6.83478461976769
Q13506	6.83478461976769
Q99590	6.83478461976769
Q16537	6.821676531924861
Q69YQ0	6.821676531924861
Q9UHB6-4	6.821676531924861
Q8IU60	6.8032861307030155
P33991	6.8032861307030155
Q9NYF8	6.802097377726032
Q1W6H9	6.802097377726032
Q8N163	6.802097377726032
Q2M2I8	6.802097377726032
A0A0C4DGT3	6.802097377726032
Q9NZ32	6.802097377726032
Q8IUC4	6.802097377726032
P60174	6.791151146714326
P57740	6.789120352282823
Q14155-5	6.76528768370418
Q96PY6-3	6.76528768370418
Q9Y2H2	6.76528768370418
Q9ULT8	6.76528768370418
A0A075B7F8	6.729841201149171
Q02790	6.729841201149171
Q9H1E3	6.723076284777291
Q8N5I9	6.722482093450541
O43399	6.722482093450541
Q8NC56	6.708869063496342
Q13469	6.7085494742635206
Q9UII2	6.697953465182252
O76071	6.697953465182252
P20226	6.697953465182252
Q8ND61	6.697953465182252
Q659C4	6.697953465182252
Q9NU22	6.697953465182252
P42684	6.677545081574196
P20290	6.6758319565257755
J3QS41	6.6640827458788605
Q8IWZ8	6.660504162134973
Q6ZSZ6	6.660504162134973
H0YLM1	6.660219673212084
Q9H4A6	6.660219673212084
Q9C0D5	6.6567889829227225
P26358	6.6489952207107645
P50443	6.6489952207107645
Q68DK7	6.6489952207107645
Q9BUQ8	6.6489952207107645
Q9NSK0-3	6.6489952207107645
Q96KB5-2	6.6489952207107645
Q6WKZ4	6.6489952207107645
Q9NRA8-3	6.6489952207107645
P37802-2	6.644071278631088
Q13111	6.644071278631088
P38935	6.644071278631088
B7ZL14	6.641745883612128
Q3T8J9-3	6.641745883612128
O00571-2	6.641745883612128
P01106	6.628459032561954
Q13905-3	6.628459032561954
P09564	6.62796565220899
P04114	6.62796565220899
P15169	6.620237689715577
Q14C86-4	6.616352900658767
Q5UIP0	6.616352900658767
Q9H4E7	6.616352900658767
Q8IWX8	6.616352900658767
O95453	6.616352900658767
Q6KC79	6.616352900658767
Q00325-2	6.6152069613326265
O75449	6.6152069613326265
Q15651	6.6152069613326265
Q96T51	6.596225523770163
P26358-2	6.579609843743318
P51452	6.571752675099778
Q29RF7	6.569246266616669
P17483	6.560990748780287
Q9Y2F5	6.560990748780287
P60468	6.541354210656941
P49454	6.541354210656941
H0YL70	6.538560813946751
O75396	6.511602290913909
Q9H582	6.496408403817783
Q56VL3	6.473364719481942
Q0ZGT2	6.471630460531328
Q49AR2	6.471429991254591
Q14847	6.471429991254591
Q9UPT8	6.468109686227484
Q15365	6.461099662083638
Q70CQ4	6.459613219403611
Q9BYW2	6.455936451172488
Q8TF61	6.455936451172488
O95218-2	6.455936451172488
O75122	6.455936451172488
Q8TDY2	6.455936451172488
Q8N5U6-2	6.450558321091308
Q7Z3C6	6.449745792914103
Q1KMD3	6.449745792914103
P78371	6.434209929150442
Q15052	6.434209929150442
O95071	6.434209929150442
P35251	6.434209929150442
F5H0R1	6.434209929150442
P78414	6.434209929150442
Q92620	6.434209929150442
P78527	6.4247717013898225
P42331-4	6.4247717013898225
Q7Z2Z1	6.4247717013898225
A0A1B0GV45	6.4247717013898225
Q92833	6.4247717013898225
Q7L9B9	6.4247717013898225
Q9H307	6.4247717013898225
Q15172	6.419100938778652
Q9UBF8-2	6.419100938778652
Q9BXB4	6.419100938778652
P52292	6.419100938778652
Q8TEK3	6.4118631402493556
V5IRT4	6.407319288329977
P62328	6.405932164360913
O75064	6.401787859619486
