0min_1,0min_2,60min_1,60min_2
583931.65825,345972.83132500004,1319061.310025,1319061.310025
1319061.310025,1319061.310025,583931.65825,583931.65825
345972.83132500004,583931.65825,345972.83132500004,345972.83132500004
294475.27509999997,308688.489475,254086.341425,233885.44205
308688.489475,294475.27509999997,213685.261575,294475.27509999997
254086.341425,272902.467375,265813.857125,225967.273625
272902.467375,207656.030475,294475.27509999997,216766.568475
174061.79855,185389.5038,308688.489475,308688.489475
265813.857125,265813.857125,222834.35450000002,181870.822825
238315.33475,285118.446675,199246.974325,205040.994275
216766.568475,229395.60535,231339.2842,238315.33475
231339.2842,222834.35450000002,233885.44205,222834.35450000002
194090.10645,231339.2842,238315.33475,229395.60535
149422.380225,174061.79855,285118.446675,272902.467375
229395.60535,211074.297075,225967.273625,213685.261575
285118.446675,254086.341425,141694.83789999998,185389.5038
200634.632375,225967.273625,211074.297075,207656.030475
175498.1246,169025.714975,229395.60535,231339.2842
207656.030475,216766.568475,194090.10645,199246.974325
211074.297075,213685.261575,207656.030475,166405.961775
233885.44205,238315.33475,144571.32504999998,194090.10645
205040.994275,199246.974325,181870.822825,169025.714975
155260.82417500002,159369.865,216766.568475,200634.632375
185389.5038,233885.44205,163735.472575,159369.865
199246.974325,200634.632375,181272.273075,155260.82417500002
190657.081725,190657.081725,169025.714975,166257.68377499998
166405.961775,167192.476425,200634.632375,167192.476425
222834.35450000002,205040.994275,166257.68377499998,112732.723725
150935.830675,175498.1246,176439.29075,190657.081725
159369.865,160410.62937500002,175498.1246,181272.273075
160410.62937500002,156181.2447,146306.231,211074.297075
169025.714975,163735.472575,174061.79855,158653.70124999998
181870.822825,181870.822825,155260.82417500002,144571.32504999998
163183.77395,194090.10645,153977.80165,147627.914125
163735.472575,176439.29075,158653.70124999998,156181.2447
225967.273625,157067.942075,134337.2527,127580.1633
157067.942075,166405.961775,160410.62937500002,143610.5654
97991.636255,100273.853605,166405.961775,265813.857125
158653.70124999998,163183.77395,159369.865,135581.675425
166257.68377499998,166257.68377499998,135581.675425,148839.800175
142525.284625,142525.284625,163183.77395,163183.77395
167192.476425,148839.800175,133054.243675,135057.56675
213685.261575,181272.273075,104874.21575500001,96731.40881749999
156181.2447,146306.231,143610.5654,134337.2527
161270.287975,153977.80165,148839.800175,111934.78155
153977.80165,149422.380225,122447.46515,149422.380225
153120.09025,153120.09025,130293.92540000001,131946.3209
176439.29075,140413.28585,126128.317325,125091.51005
102524.6447975,103165.7906125,205040.994275,160410.62937500002
146306.231,155260.82417500002,125764.233625,141694.83789999998
97060.59861,111934.78155,185389.5038,175498.1246
