0min_1,0min_2,5min_1,5min_2
2002143.192,1784105.37175,2002143.192,2002143.192
1784105.37175,2002143.192,1784105.37175,1784105.37175
1590202.6115,1590202.6115,1590202.6115,1590202.6115
1430025.4309999999,1430025.4309999999,1430025.4309999999,1430025.4309999999
1231858.4905,1231858.4905,1204299.473,1128094.153
1128094.153,1158376.40625,1231858.4905,1231858.4905
1158376.40625,1204299.473,1158376.40625,1048086.7649999999
1204299.473,1104317.35175,1067451.0860000001,1067451.0860000001
1104317.35175,1081013.305,1081013.305,1104317.35175
1067451.0860000001,1067451.0860000001,994370.1569000001,994370.1569000001
945666.972925,972007.428775,1128094.153,1158376.40625
1081013.305,1128094.153,939071.828725,939071.828725
939071.828725,939071.828725,1104317.35175,1081013.305
1048086.7649999999,1048086.7649999999,964032.1354,964032.1354
972007.428775,964032.1354,972007.428775,945666.972925
735241.098175,724744.1252,1048086.7649999999,1204299.473
994370.1569000001,994370.1569000001,851371.57405,851371.57405
964032.1354,899783.366325,865269.406775,899783.366325
910720.88635,945666.972925,899783.366325,910720.88635
899783.366325,910720.88635,945666.972925,818758.97105
830538.23615,830538.23615,910720.88635,972007.428775
865269.406775,851371.57405,830538.23615,865269.406775
851371.57405,865269.406775,793092.7015750001,830538.23615
793092.7015750001,793092.7015750001,754537.60725,793092.7015750001
818758.97105,818758.97105,746918.1228,735241.098175
779909.5435500001,779909.5435500001,750190.5197,779909.5435500001
754537.60725,750190.5197,779909.5435500001,684950.28235
724744.1252,746918.1228,720156.23005,746918.1228
746918.1228,754537.60725,661852.38835,694692.6466
707793.453575,710232.4056,707793.453575,720156.23005
750190.5197,720156.23005,656678.705525,700242.107775
710232.4056,700242.107775,710232.4056,724744.1252
700242.107775,735241.098175,724744.1252,646057.628775
664691.8881,653999.787125,700242.107775,750190.5197
720156.23005,707793.453575,653999.787125,691383.0504000001
694692.6466,694692.6466,680348.6897,639216.955025
661852.38835,656678.705525,694692.6466,707793.453575
684950.28235,669877.417325,818758.97105,488444.6574
646057.628775,661852.38835,691383.0504000001,661852.38835
656678.705525,684950.28235,643518.867725,664691.8881
680348.6897,680348.6897,618385.66455,643518.867725
643518.867725,643518.867725,630325.380025,680348.6897
691383.0504000001,691383.0504000001,601805.4105,604547.7805999999
623512.9101,639216.955025,646057.628775,669877.417325
585021.60785,593066.58155,664691.8881,710232.4056
639216.955025,646057.628775,614537.581425,648690.6395
653999.787125,648690.6395,612771.5478000001,624684.744925
615460.3251,621560.1461,636504.4984,656678.705525
616488.99375,636504.4984,616488.99375,653999.787125
636504.4984,630325.380025,624684.744925,606560.301675
621560.1461,618385.66455,623512.9101,636504.4984
648690.6395,610402.213775,610402.213775,621560.1461
624684.744925,612771.5478000001,615460.3251,614537.581425
669877.417325,664691.8881,572179.5075000001,567108.365
606560.301675,567108.365,684950.28235,593066.58155
601805.4105,624684.744925,598747.6886999999,630325.380025
481178.869525,471929.7855,735241.098175,754537.60725
604547.7805999999,615460.3251,606560.301675,623512.9101
612771.5478000001,606560.301675,604547.7805999999,612771.5478000001
630325.380025,623512.9101,575385.229875,596383.53725
614537.581425,601805.4105,593066.58155,610402.213775
610402.213775,604547.7805999999,585021.60785,618385.66455
589114.45365,614537.581425,596383.53725,598747.6886999999
598747.6886999999,585021.60785,648690.6395,558849.058425
618385.66455,596383.53725,589114.45365,585021.60785
593066.58155,598747.6886999999,570200.967425,601805.4105
590231.32115,616488.99375,558849.058425,578386.8620750001
552228.722125,572179.5075000001,578386.8620750001,616488.99375
596383.53725,589114.45365,567108.365,570200.967425
578386.8620750001,578386.8620750001,556683.188075,589114.45365
570200.967425,590231.32115,547780.0290999999,575385.229875
575385.229875,558849.058425,535822.128725,590231.32115
463716.314325,487422.014375,669877.417325,615460.3251
567108.365,575385.229875,526708.55155,547780.0290999999
544199.46565,562757.105875,552228.722125,562757.105875
556683.188075,556683.188075,525226.262275,537168.226075
572179.5075000001,552228.722125,514364.089675,544199.46565
558849.058425,550059.9992,544199.46565,527854.43235
550059.9992,570200.967425,519792.53775,526708.55155
535822.128725,510608.960075,621560.1461,501395.583525
562757.105875,544199.46565,527854.43235,522862.17277500004
537168.226075,537168.226075,531611.9699499999,535822.128725
498129.83195,503784.020225,550059.9992,552228.722125
525226.262275,547780.0290999999,488444.6574,502439.5317
510608.960075,522862.17277500004,506517.01645,514364.089675
501395.583525,498129.83195,502439.5317,550059.9992
488444.6574,481178.869525,639216.955025,443177.244825
455637.584125,463716.314325,562757.105875,572179.5075000001
503784.020225,512268.667225,512268.667225,525226.262275
547780.0290999999,531611.9699499999,471929.7855,480480.419
493964.77275,466796.593775,590231.32115,493200.3026
487422.014375,478099.18865,517764.790075,556683.188075
531611.9699499999,519792.53775,493200.3026,474048.77962499997
514364.089675,506517.01645,503784.020225,485691.37085
517764.790075,526708.55155,481178.869525,490663.51195
522862.17277500004,502439.5317,487422.014375,498129.83195
527854.43235,535822.128725,478099.18865,475739.83115
506517.01645,517764.790075,466796.593775,506517.01645
512268.667225,501395.583525,484696.699275,484696.699275
526708.55155,514364.089675,452676.441075,482174.378375
519792.53775,527854.43235,465250.041425,462019.044
474048.77962499997,475739.83115,522862.17277500004,503784.020225
502439.5317,525226.262275,454515.0827,481178.869525
469021.969425,493964.77275,490663.51195,510608.960075
428902.111725,445433.2884,537168.226075,531611.9699499999
500211.13345,485691.37085,475739.83115,467725.480625
490663.51195,493200.3026,459154.484375,478099.18865
456797.914825,470136.374275,485691.37085,512268.667225
482174.378375,490663.51195,451817.481975,493964.77275
493200.3026,500211.13345,460617.11195,458201.45175
480480.419,480480.419,480480.419,469021.969425
440823.605825,482174.378375,470136.374275,519792.53775
460617.11195,465250.041425,469021.969425,517764.790075
484696.699275,462019.044,498129.83195,456797.914825
470136.374275,449696.38455,463716.314325,487422.014375
475739.83115,484696.699275,455637.584125,449696.38455
485691.37085,467725.480625,444324.819475,466796.593775
438326.70975,455637.584125,482174.378375,500211.13345
478099.18865,459154.484375,448128.969025,465250.041425
462019.044,488444.6574,416195.00575,463716.314325
467725.480625,469021.969425,422987.558675,451817.481975
458201.45175,474048.77962499997,419805.02,442552.27285
471929.7855,440823.605825,438326.70975,448128.969025
466796.593775,451817.481975,429675.51780000003,446688.044
459154.484375,454515.0827,432072.651575,445433.2884
443177.244825,444324.819475,440823.605825,460617.11195
449696.38455,443177.244825,443177.244825,459154.484375
451817.481975,448128.969025,449696.38455,432072.651575
465250.041425,460617.11195,421195.917925,433255.16760000004
409520.729075,421195.917925,501395.583525,438326.70975
446688.044,434960.740025,510608.960075,378973.756
437393.420325,442552.27285,428902.111725,455637.584125
454515.0827,410901.18575,434960.740025,452676.441075
448128.969025,456797.914825,401090.916175,437393.420325
429675.51780000003,433255.16760000004,467725.480625,419805.02
444324.819475,438326.70975,414162.987725,440823.605825
401090.916175,408316.6024,446688.044,470136.374275
452676.441075,446688.044,407864.373875,418633.26365
418633.26365,414162.987725,433255.16760000004,454515.0827
445433.2884,452676.441075,395678.11754999997,420740.03674999997
425211.363075,429675.51780000003,437393.420325,425211.363075
421195.917925,458201.45175,406417.59739999997,428226.78225000005
424123.90295,420740.03674999997,445433.2884,417594.020425
442552.27285,437393.420325,430619.7657,388218.896275
420740.03674999997,404709.59835,493964.77275,375437.25734999997
430619.7657,428902.111725,456797.914825,378092.74925
403049.6359,432072.651575,424123.90295,422987.558675
432072.651575,425211.363075,411988.7278,424123.90295
434960.740025,430619.7657,403569.479875,409520.729075
