0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
6920384.7915,7578417.8824000005,7578417.8824000005,6670085.547900001,15145885.405000001,15145885.405000001,15145885.405000001
15145885.405000001,15145885.405000001,15145885.405000001,15145885.405000001,10401861.5976,10401861.5976,10401861.5976
10401861.5976,10401861.5976,10401861.5976,10401861.5976,8968297.9363,8968297.9363,8968297.9363
8968297.9363,8968297.9363,8968297.9363,7166466.184800001,8273649.0594999995,8273649.0594999995,8273649.0594999995
8273649.0594999995,8273649.0594999995,8273649.0594999995,8968297.9363,7578417.8824000005,5929097.972200001,7578417.8824000005
7166466.184800001,7019267.8815,7019267.8815,8273649.0594999995,7166466.184800001,7019267.8815,7166466.184800001
7019267.8815,6920384.7915,6920384.7915,7578417.8824000005,7019267.8815,6920384.7915,7019267.8815
6241908.3706,6241908.3706,6582334.0626,6241908.3706,6428465.2042000005,5790988.9712,6920384.7915
7578417.8824000005,7166466.184800001,7166466.184800001,7019267.8815,6670085.547900001,6428465.2042000005,6582334.0626
6428465.2042000005,6582334.0626,6670085.547900001,6920384.7915,6920384.7915,6670085.547900001,6670085.547900001
5581215.3849,5649745.4813,5929097.972200001,5581215.3849,6134704.803099999,5997448.7491,6428465.2042000005
6582334.0626,6428465.2042000005,6241908.3706,5929097.972200001,6582334.0626,6134704.803099999,6241908.3706
5649745.4813,5710469.387700001,5443348.1151,6134704.803099999,5581215.3849,7166466.184800001,5790988.9712
5443348.1151,5443348.1151,5581215.3849,5196718.469,5710469.387700001,5710469.387700001,5997448.7491
5406698.3387,5581215.3849,5310915.342800001,5500386.7386,5310915.342800001,6582334.0626,6134704.803099999
6134704.803099999,5997448.7491,6134704.803099999,6582334.0626,6241908.3706,5443348.1151,5581215.3849
5929097.972200001,5929097.972200001,5710469.387700001,5997448.7491,5929097.972200001,5581215.3849,5929097.972200001
6670085.547900001,6670085.547900001,6428465.2042000005,6428465.2042000005,5997448.7491,5500386.7386,5443348.1151
