0min_1,0min_2,5min_1,5min_2
18193.8528825,19735.24205,166568.419925,115028.183575
81371.2060325,80763.44611250001,86518.4236525,74892.79378
85199.1805125,89342.9238225,74892.79378,74438.14293
102420.9670075,69479.492445,80270.3246625,71230.119095
82528.54986,77596.63518499999,84221.1394075,74793.41235
79038.67523,76272.40980750001,74956.3499,86518.4236525
85335.88004,87591.19134,70082.2832,75933.9919975
71353.8077575,68948.5519625,81371.2060325,91663.4705325
77232.7006725,74892.79378,96818.0468,64179.037185
82155.373395,80473.26329,83351.81540749999,69816.013475
79245.8679975,77108.98104,68510.4023775,89260.299305
59917.285275,53764.814660000004,97866.5405,96818.0468
68420.96741499999,73593.847585,81801.2000675,88766.46555749999
82920.11861,72812.2500875,88766.46555749999,66702.57667000001
47656.59166,62009.5985675,104744.0654075,91315.68845
91506.709955,83351.81540749999,67526.7501375,72525.1316025
76324.22387,79762.153475,76272.40980750001,78775.7798975
79992.562575,80270.3246625,73784.733655,76324.22387
74892.79378,79430.2733375,74793.41235,80611.9735375
76786.207335,70775.257175,91315.68845,69479.492445
80890.43587,88249.708845,70775.257175,70942.3164675
100602.6880075,92255.904675,59097.0354075,62333.8029725
74956.3499,86518.4236525,74576.1031725,73932.7578375
63188.2891025,75812.34425,82155.373395,86362.849495
33806.04788,38523.5063175,132039.05180000002,95893.019895
89260.299305,82155.373395,67798.50822250001,69620.74778
81670.9890575,69949.5249275,78775.7798975,75254.56932
85983.2344025,79634.64843,72525.1316025,69052.6980975
102634.064555,102962.0871625,49591.9032275,56600.7965225
82394.69463499999,77816.8738325,76786.207335,67526.7501375
78308.78629250001,81522.72518000001,69229.546775,75647.236585
77596.63518499999,69880.32546,92731.8818225,63113.792037499996
92731.8818225,95893.019895,58200.5361975,62042.640427499995
72812.2500875,81801.2000675,65941.308605,82155.373395
76272.40980750001,77418.87181,71590.410565,78086.7957625
85503.42676,74438.14293,71770.2684175,71994.559335
75254.56932,76160.74226,75034.49163,74304.5024975
79871.92280500001,80611.9735375,65721.24605,74279.56482
88581.67915750001,85503.42676,61531.2729275,68510.4023775
39055.3779325,45802.0662225,107770.887175,102634.064555
58593.928835,62042.640427499995,78217.98511,94997.9666525
76624.650725,78308.78629250001,69620.74778,75034.49163
71874.6311,84221.1394075,68748.1232125,74576.1031725
78086.7957625,74693.81452,67438.8851975,78308.78629250001
83921.6265275,82718.88409,71874.6311,59298.661795
65654.5362425,78086.7957625,75647.236585,77596.63518499999
74625.0736125,75933.9919975,75521.0098775,70775.257175
