0min_1,0min_2,60min_1,60min_2
601475.122675,582287.151375,594422.216425,564195.45585
604613.6749,613228.6620499999,566030.6004,535309.9184
594422.216425,552051.65785,547660.9436250001,613228.6620499999
598650.26795,585929.5367,559451.4474749999,546624.78105
554077.4805000001,558094.6359,598650.26795,585929.5367
570696.070175,559451.4474749999,604613.6749,529669.041575
597330.139875,594422.216425,535309.9184,539848.6363
561418.452275,566978.0003500001,558094.6359,561418.452275
579275.6120249999,584204.7165999999,556650.158025,514939.600125
558094.6359,556650.158025,566978.0003500001,547660.9436250001
521225.43319999997,562912.155275,582287.151375,556650.158025
544940.381375,535309.9184,584204.7165999999,570696.070175
490034.832975,512675.23665,623339.1034,582287.151375
566978.0003500001,564195.45585,543295.755575,512675.23665
562912.155275,570696.070175,539848.6363,504774.89235
556650.158025,538199.000025,546624.78105,521225.43319999997
547660.9436250001,524225.13375,476545.44795,616050.001775
546624.78105,539848.6363,570696.070175,476545.44795
538199.000025,531937.5418,455383.88635000004,621341.625325
543295.755575,533177.938025,561418.452275,495304.2545
535309.9184,547660.9436250001,554077.4805000001,499289.27177500003
531937.5418,495304.2545,544940.381375,552051.65785
548778.649925,543295.755575,517722.202675,511504.41072499997
559451.4474749999,554077.4805000001,511504.41072499997,493301.28685000003
522331.49675,546624.78105,495304.2545,524225.13375
524225.13375,517722.202675,487821.6235,548778.649925
511504.41072499997,508901.997425,533177.938025,522331.49675
539848.6363,501343.97615,404130.51045,636512.27065
533177.938025,548778.649925,507283.01015,484520.30689999997
499919.298425,475905.935775,426323.49495,649769.032775
530704.933025,507283.01015,431648.1791,579275.6120249999
510445.1691,514939.600125,463102.55134999997,543295.755575
517722.202675,544940.381375,467494.175425,510445.1691
507283.01015,521225.43319999997,522331.49675,490034.832975
499289.27177500003,439910.2258,538199.000025,558094.6359
514939.600125,511504.41072499997,490034.832975,507283.01015
480823.64145,469156.43425,521225.43319999997,554077.4805000001
529669.041575,530704.933025,466798.734775,479033.703675
504774.89235,504774.89235,501343.97615,501343.97615
497620.22765,510445.1691,524225.13375,485888.614275
501343.97615,529669.041575,504774.89235,475905.935775
508901.997425,460103.047025,499919.298425,531937.5418
493301.28685000003,499289.27177500003,512675.23665,483406.156075
512675.23665,522331.49675,471228.13595,459307.473175
472685.33547499997,459307.473175,552051.65785,487821.6235
456668.39635,453247.3994,531937.5418,517722.202675
495304.2545,451950.44604999997,514939.600125,474742.9768
471228.13595,491227.87685,460758.475,497620.22765
483406.156075,490034.832975,497620.22765,457812.4564
474742.9768,483406.156075,485888.614275,471228.13595
423603.7586,449765.948775,562912.155275,480823.64145
447287.038025,454544.075625,510445.1691,508901.997425
487821.6235,499919.298425,454544.075625,433643.052625
479033.703675,493301.28685000003,460103.047025,427795.5657
476545.44795,484520.30689999997,451950.44604999997,446170.186775
484520.30689999997,497620.22765,414245.7412,469156.43425
485888.614275,479033.703675,459307.473175,440477.21112500003
463102.55134999997,474742.9768,469156.43425,463102.55134999997
427129.380575,411867.5165,530704.933025,499919.298425
448310.41229999997,457812.4564,474742.9768,491227.87685
469156.43425,480823.64145,442826.93,456668.39635
475905.935775,487821.6235,424169.1033,460758.475
491227.87685,485888.614275,449765.948775,416055.75847500004
459307.473175,443943.09375,499289.27177500003,467494.175425
438081.86185,419248.49895000004,529669.041575,472685.33547499997
460103.047025,476545.44795,448310.41229999997,445709.86185
466798.734775,472685.33547499997,446170.186775,441835.866675
454544.075625,466798.734775,441835.866675,449765.948775
453247.3994,442826.93,367197.18512499996,530704.933025
432407.38035,446170.186775,472685.33547499997,451950.44604999997
441835.866675,455383.88635000004,475905.935775,425556.907625
427795.5657,427129.380575,508901.997425,436057.86375
455383.88635000004,464089.335375,436882.6533,434642.2806
442826.93,438081.86185,456668.39635,448310.41229999997
460758.475,420699.85425,484520.30689999997,407461.88505
457812.4564,463102.55134999997,440477.21112500003,410449.03414999996
445709.86185,424169.1033,493301.28685000003,420296.126025
416405.812425,431648.1791,479033.703675,453247.3994
467494.175425,467494.175425,423603.7586,403802.64859999996
464089.335375,471228.13595,420699.85425,408298.52592499997
418138.631175,432407.38035,464089.335375,447287.038025
419248.49895000004,423603.7586,483406.156075,429452.22795
449765.948775,456668.39635,430213.31315,418138.631175
446170.186775,441835.866675,425556.907625,438081.86185
424169.1033,434642.2806,457812.4564,431648.1791
429452.22795,425556.907625,346857.4097,544940.381375
401345.230325,420296.126025,480823.64145,432407.38035
411167.35490000003,391754.598925,388036.949025,538199.000025
439910.2258,429452.22795,443943.09375,406197.76835
425556.907625,440477.21112500003,432407.38035,423603.7586
426323.49495,430213.31315,433643.052625,426323.49495
436882.6533,426323.49495,388454.616125,460103.047025
433643.052625,422287.59415,427795.5657,415082.931825
451950.44604999997,448310.41229999997,401345.230325,400466.4038
415082.931825,433643.052625,434642.2806,414245.7412
431648.1791,415082.931825,428907.64155,424169.1033
420296.126025,428907.64155,436057.86375,401345.230325
420699.85425,427795.5657,439910.2258,396402.864275
440477.21112500003,447287.038025,420296.126025,388454.616125
443943.09375,460758.475,406197.76835,382311.6687
436057.86375,445709.86185,416405.812425,385793.27175
430213.31315,407461.88505,403802.64859999996,428907.64155
397763.542675,396402.864275,445709.86185,422287.59415
434642.2806,410449.03414999996,400466.4038,420699.85425
416055.75847500004,403802.64859999996,402943.32594999997,430213.31315
373208.22365,383505.069425,453247.3994,439910.2258
408298.52592499997,404130.51045,429452.22795,402943.32594999997
368654.93744999997,416055.75847500004,408298.52592499997,464089.335375
428907.64155,436882.6533,399857.207025,380929.0012
411867.5165,416405.812425,411167.35490000003,398839.802825
385382.35325,394732.95405,447287.038025,399857.207025
410449.03414999996,400466.4038,391754.598925,442826.93
404130.51045,436057.86375,415082.931825,387052.9132
414245.7412,414245.7412,416055.75847500004,388036.949025
402943.32594999997,408873.25555,422287.59415,393465.674225
412593.86967499997,369427.84705,396402.864275,455383.88635000004
375768.0786,395473.179425,438081.86185,409445.57735000004
398839.802825,398839.802825,419248.49895000004,404130.51045
388454.616125,397763.542675,427129.380575,390466.076725
408873.25555,412593.86967499997,412593.86967499997,370539.0065
395473.179425,385382.35325,418138.631175,395473.179425
391754.598925,390466.076725,408873.25555,397763.542675
399857.207025,411167.35490000003,357328.09767499997,411167.35490000003
400466.4038,401345.230325,398839.802825,383505.069425
407461.88505,409445.57735000004,385793.27175,374556.95125
390466.076725,418138.631175,385382.35325,375768.0786
422287.59415,399857.207025,395473.179425,341513.18905
394732.95405,406197.76835,335818.5483,416405.812425
382311.6687,373208.22365,350601.768925,443943.09375
393465.674225,386199.33787499997,394732.95405,368654.93744999997
406197.76835,408298.52592499997,363095.93172500003,350019.600275
409445.57735000004,368654.93744999997,383505.069425,373208.22365
383505.069425,393465.674225,378472.25515,363095.93172500003
388036.949025,385793.27175,390466.076725,343348.16935
385793.27175,374556.95125,380929.0012,370024.699625
363676.53627499996,380929.0012,382311.6687,385382.35325
380929.0012,382311.6687,370024.699625,363975.64845
387052.9132,372193.704375,323526.994575,408873.25555
355918.1739,375768.0786,410449.03414999996,353576.395875
361940.617575,402943.32594999997,372193.704375,349175.133975
403802.64859999996,387052.9132,363676.53627499996,332960.83685
386199.33787499997,388036.949025,370539.0065,335329.199575
379762.571325,379762.571325,373208.22365,344828.78685000003
378472.25515,388454.616125,368654.93744999997,340728.001925
343348.16935,350019.600275,347580.66495,454544.075625
332091.956525,360808.406175,407461.88505,386199.33787499997
344828.78685000003,341636.6767,379762.571325,411867.5165
396402.864275,341513.18905,359897.98575,366206.90035
341636.6767,357328.09767499997,411867.5165,363676.53627499996
372193.704375,352832.9559,348378.47095,394732.95405
365511.40585,367197.18512499996,369427.84705,357328.09767499997
374556.95125,370539.0065,358228.19224999996,345643.141775
361521.7259,378472.25515,365511.40585,341636.6767
369427.84705,363975.64845,354516.81775,359077.4808
350019.600275,358228.19224999996,375768.0786,359897.98575
340072.407525,314310.3079,366206.90035,427129.380575
331053.30754999997,344278.1807,397763.542675,355918.1739
345643.141775,348378.47095,355918.1739,379762.571325
366206.90035,342529.09305,355267.57715,346857.4097
351049.85405,359077.4808,350019.600275,358228.19224999996
357328.09767499997,351665.825375,352832.9559,348378.47095
370539.0065,361940.617575,353576.395875,329296.69917499996
326077.145875,363095.93172500003,335329.199575,391754.598925
346138.318325,336721.87364999996,393465.674225,336721.87364999996
348378.47095,366206.90035,344828.78685000003,347580.66495
352832.9559,324154.476225,363975.64845,360808.406175
367197.18512499996,370024.699625,340728.001925,319161.0512
370024.699625,365511.40585,336214.548825,314310.3079
334439.516225,354516.81775,351049.85405,346138.318325
331630.22605,316831.70597500005,282318.6368,466798.734775
349175.133975,347580.66495,342529.09305,333561.34565
337610.37665,340072.407525,361940.617575,332091.956525
338771.36332500004,326554.819775,361521.7259,344278.1807
308313.747425,321529.90842500003,387052.9132,361521.7259
342529.09305,346857.4097,349175.133975,332379.107125
359077.4808,343348.16935,341636.6767,323106.23202500003
358228.19224999996,355918.1739,340072.407525,308144.67977499997
323106.23202500003,320781.039,310287.046575,419248.49895000004
360808.406175,349175.133975,323106.23202500003,324154.476225
325133.800075,331630.22605,386199.33787499997,330297.04675
346857.4097,338771.36332500004,308144.67977499997,369427.84705
363975.64845,363676.53627499996,326008.261825,293651.893475
336968.482925,319161.0512,374556.95125,331630.22605
340728.001925,345643.141775,327180.72692499997,336214.548825
363095.93172500003,318053.319475,336721.87364999996,338771.36332500004
347580.66495,329296.69917499996,343348.16935,335818.5483
326554.819775,332091.956525,360808.406175,331053.30754999997
320011.116225,336214.548825,351665.825375,340072.407525
351665.825375,351049.85405,327864.50947499997,306068.64202499995
350601.768925,355267.57715,318451.650725,317478.003975
355267.57715,353576.395875,321529.90842500003,302185.54212500004
359897.98575,350601.768925,318053.319475,305391.77105
354516.81775,359897.98575,320011.116225,296925.0576
341513.18905,337610.37665,332960.83685,327180.72692499997
344278.1807,334439.516225,330297.04675,323526.994575
336214.548825,336968.482925,293651.893475,367197.18512499996
332960.83685,326077.145875,316831.70597500005,351049.85405
332379.107125,340728.001925,338771.36332500004,307122.6418
335329.199575,327864.50947499997,334439.516225,326077.145875
353576.395875,344828.78685000003,308313.747425,304449.17975
329296.69917499996,335818.5483,287881.735225,365511.40585
321529.90842500003,346138.318325,322665.55007500004,318451.650725
312160.0462,323771.66397500003,345643.141775,327864.50947499997
336721.87364999996,323526.994575,326077.145875,301845.999975
335818.5483,327180.72692499997,331630.22605,291527.842425
323771.66397500003,332960.83685,324154.476225,310287.046575
316374.243425,333561.34565,333561.34565,304751.36412499996
316831.70597500005,323106.23202500003,332379.107125,321529.90842500003
327180.72692499997,318451.650725,326554.819775,316831.70597500005
330297.04675,332379.107125,319161.0512,290863.70385000005
322665.55007500004,299976.90715,249398.589875,412593.86967499997
318053.319475,320011.116225,286370.42422499997,355267.57715
313774.9331,275212.825675,337610.37665,351665.825375
333561.34565,312160.0462,323771.66397500003,298774.546075
311241.653825,300907.5419,329296.69917499996,334439.516225
326008.261825,361521.7259,292253.92715,287881.735225
305391.77105,315377.0582,341513.18905,306699.797325
319161.0512,325133.800075,304751.36412499996,300644.11782499996
324154.476225,322665.55007500004,312160.0462,289277.69525
303712.296075,288626.1306,344278.1807,326008.261825
323526.994575,326008.261825,299976.90715,287347.76895
327864.50947499997,295415.2336,296353.0871,323771.66397500003
318451.650725,311241.653825,306068.64202499995,291214.48985
272368.85750000004,304751.36412499996,346138.318325,318053.319475
317478.003975,335329.199575,297879.683525,277179.018325
