0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
411842.88175999996,441872.79042,535462.80536,390398.22552,2621599.7851,2621599.7851,2621599.7851
2621599.7851,2621599.7851,2621599.7851,2621599.7851,1089725.62498,1089725.62498,990027.26971
1321902.4306,1321902.4306,1321902.4306,1089725.62498,1321902.4306,1321902.4306,1321902.4306
990027.26971,1027981.5726900001,990027.26971,990027.26971,1182957.99531,1182957.99531,1182957.99531
1182957.99531,1182957.99531,1182957.99531,1027981.5726900001,1027981.5726900001,990027.26971,1027981.5726900001
1089725.62498,1089725.62498,1089725.62498,1321902.4306,794521.9109199999,794521.9109199999,742556.7918
964117.92151,908768.7293400001,964117.92151,908768.7293400001,990027.26971,933910.62236,964117.92151
933910.62236,990027.26971,933910.62236,964117.92151,964117.92151,964117.92151,933910.62236
864387.25864,964117.92151,908768.7293400001,864387.25864,933910.62236,1027981.5726900001,1089725.62498
730612.58628,730612.58628,826905.97361,794521.9109199999,908768.7293400001,908768.7293400001,908768.7293400001
1027981.5726900001,864387.25864,1027981.5726900001,933910.62236,491311.15598,483062.53254000004,416007.45613
706413.05254,742556.7918,767074.51707,742556.7918,864387.25864,864387.25864,826905.97361
631293.2733799999,664855.80822,742556.7918,730612.58628,767074.51707,826905.97361,864387.25864
742556.7918,706413.05254,706413.05254,600484.7881199999,826905.97361,767074.51707,767074.51707
691065.5608699999,767074.51707,631293.2733799999,642444.45722,730612.58628,742556.7918,730612.58628
642444.45722,794521.9109199999,794521.9109199999,631293.2733799999,515991.61207,706413.05254,706413.05254
583728.82016,583728.82016,576423.19433,607944.26443,742556.7918,730612.58628,794521.9109199999
607944.26443,607944.26443,642444.45722,664855.80822,595512.8923000001,675266.35531,675266.35531
664855.80822,642444.45722,730612.58628,706413.05254,652743.31771,631293.2733799999,446584.04154
554255.26205,569335.31201,595512.8923000001,562992.6228,642444.45722,664855.80822,691065.5608699999
908768.7293400001,933910.62236,864387.25864,652743.31771,288080.26034,301876.89411,322979.10454000003
794521.9109199999,675266.35531,664855.80822,691065.5608699999,446584.04154,429145.68052000005,327600.41978
483062.53254000004,491311.15598,549199.8488800001,583728.82016,691065.5608699999,691065.5608699999,642444.45722
541137.55352,576423.19433,569335.31201,484909.00645000004,607944.26443,600484.7881199999,554255.26205
562992.6228,562992.6228,554255.26205,576423.19433,541137.55352,530569.7112,503527.76271000004
826905.97361,652743.31771,652743.31771,549199.8488800001,371468.82273,371468.82273,339516.551
509119.8994,515991.61207,499362.30339,473633.14362000005,583728.82016,642444.45722,600484.7881199999
526082.29304,526082.29304,530569.7112,530569.7112,503527.76271000004,503527.76271000004,468595.74955
600484.7881199999,631293.2733799999,600484.7881199999,767074.51707,417233.64940999995,432232.95267,419467.86763000005
439642.37453,465131.40709,465131.40709,499362.30339,706413.05254,607944.26443,607944.26443
459903.67322000006,468595.74955,473633.14362000005,493548.98121999996,569335.31201,595512.8923000001,664855.80822
491311.15598,484909.00645000004,493548.98121999996,503527.76271000004,549199.8488800001,562992.6228,509119.8994
462343.48055999994,475890.05396,487542.3072,465131.40709,600484.7881199999,554255.26205,562992.6228
468595.74955,421283.88605000003,406611.73846,519735.72275,576423.19433,312454.04234,368481.11874
449157.34527000005,443908.70591,462343.48055999994,509119.8994,526082.29304,519735.72275,569335.31201
535462.80536,549199.8488800001,583728.82016,515991.61207,421283.88605000003,417233.64940999995,313693.93756
453771.31072000007,479469.36699,484909.00645000004,475890.05396,509119.8994,526082.29304,493548.98121999996
479469.36699,446584.04154,483062.53254000004,453771.31072000007,483062.53254000004,468595.74955,465131.40709
410232.34665,404545.98637,397607.23425,446584.04154,554255.26205,541137.55352,631293.2733799999
652743.31771,691065.5608699999,691065.5608699999,826905.97361,193992.89175,238362.10336,209789.28118
487542.3072,473633.14362000005,491311.15598,459903.67322000006,499362.30339,462343.48055999994,455903.64949000004
446584.04154,483062.53254000004,425719.2228,569335.31201,535462.80536,487542.3072,541137.55352
473633.14362000005,499362.30339,468595.74955,468595.74955,487542.3072,499362.30339,515991.61207
246742.20954999997,264337.56865,299916.63038,1182957.99531,308683.54307,256361.29898000002,248692.29128
475890.05396,453771.31072000007,430317.29423,371468.82273,530569.7112,576423.19433,483062.53254000004
421283.88605000003,449157.34527000005,446584.04154,483062.53254000004,479469.36699,455903.64949000004,462343.48055999994
419467.86763000005,439642.37453,429145.68052000005,432232.95267,473633.14362000005,515991.61207,549199.8488800001
430317.29423,425719.2228,383525.16567,449157.34527000005,519735.72275,491311.15598,473633.14362000005
465131.40709,462343.48055999994,562992.6228,595512.8923000001,435251.18844999996,385415.98972,363256.63273
396351.36606000003,346189.40780000004,439642.37453,435251.18844999996,675266.35531,549199.8488800001,652743.31771
569335.31201,554255.26205,519735.72275,487542.3072,354141.61777,390398.22552,290167.83064
515991.61207,455903.64949000004,475890.05396,419467.86763000005,424201.88505,473633.14362000005,475890.05396
441872.79042,459903.67322000006,435251.18844999996,479469.36699,484909.00645000004,449157.34527000005,453771.31072000007
352502.59408999997,364711.81830000004,399845.57172,402367.30893,493548.98121999996,535462.80536,583728.82016
530569.7112,535462.80536,515991.61207,554255.26205,383525.16567,358730.37058,257000.09829000002
348312.52491000004,367080.55371,385415.98972,396351.36606000003,631293.2733799999,569335.31201,519735.72275
519735.72275,541137.55352,503527.76271000004,535462.80536,344183.61432,367080.55371,377343.58788
376169.70956,396351.36606000003,367080.55371,410232.34665,441872.79042,509119.8994,535462.80536
429145.68052000005,416007.45613,455903.64949000004,406611.73846,455903.64949000004,425719.2228,404545.98637
