0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
5790988.9712,6134704.803099999,5790988.9712,5710469.387700001,5310915.342800001,5500386.7386,5310915.342800001
5710469.387700001,5500386.7386,5406698.3387,5310915.342800001,5790988.9712,5649745.4813,4809849.0803000005
5997448.7491,5790988.9712,5997448.7491,5443348.1151,5265939.2886,5310915.342800001,4913226.4136
5500386.7386,5406698.3387,5649745.4813,5790988.9712,5500386.7386,5196718.469,4975632.6081
5127334.3876,5196718.469,5500386.7386,5649745.4813,5196718.469,5265939.2886,5042875.0821
5265939.2886,5265939.2886,5196718.469,5265939.2886,5042875.0821,5406698.3387,5500386.7386
5196718.469,5310915.342800001,5127334.3876,5406698.3387,4809849.0803000005,4913226.4136,4256220.714
4856113.2020000005,4913226.4136,4856113.2020000005,4545562.8879,5649745.4813,5443348.1151,5929097.972200001
5042875.0821,5127334.3876,5042875.0821,5127334.3876,4716147.5721,4975632.6081,4683005.7498
5310915.342800001,5042875.0821,5265939.2886,5042875.0821,4749905.5277,4683005.7498,4545562.8879
4913226.4136,4975632.6081,4913226.4136,3486085.2261,5406698.3387,5710469.387700001,5790988.9712
4545562.8879,4587512.8308,4587512.8308,4913226.4136,5443348.1151,5581215.3849,5997448.7491
4587512.8308,4545562.8879,4716147.5721,4683005.7498,5127334.3876,5042875.0821,5265939.2886
4642949.0329,4856113.2020000005,4749905.5277,4975632.6081,4856113.2020000005,4856113.2020000005,4749905.5277
4683005.7498,4809849.0803000005,4642949.0329,4809849.0803000005,4587512.8308,4642949.0329,4642949.0329
4403726.597200001,4403726.597200001,4464710.3552,4749905.5277,4913226.4136,4749905.5277,5196718.469
4300937.4454,4348572.5099,4348572.5099,4642949.0329,4975632.6081,4716147.5721,5443348.1151
4975632.6081,4749905.5277,4975632.6081,4856113.2020000005,4403726.597200001,4300937.4454,4101907.8865
4749905.5277,4683005.7498,4809849.0803000005,3342093.8658,4464710.3552,4464710.3552,4716147.5721
3972125.8792000003,4214185.3382,4072535.4744,4403726.597200001,4683005.7498,4809849.0803000005,5581215.3849
4348572.5099,4464710.3552,4256220.714,4464710.3552,4300937.4454,4403726.597200001,4464710.3552
4137176.1377,4256220.714,4137176.1377,3877506.1449,4545562.8879,4545562.8879,4856113.2020000005
4101907.8865,4172008.4469,4300937.4454,4072535.4744,4348572.5099,4348572.5099,4300937.4454
4809849.0803000005,4716147.5721,4545562.8879,4214185.3382,3933990.4291999997,4022505.4688,3800698.79
4256220.714,4137176.1377,4403726.597200001,4716147.5721,4022505.4688,4101907.8865,3862872.7044
4464710.3552,4300937.4454,4172008.4469,4587512.8308,3877506.1449,3933990.4291999997,3778957.7517999997
4022505.4688,4022505.4688,4214185.3382,3111586.4593,4256220.714,4256220.714,4172008.4469
3902500.8854,4072535.4744,3917977.4527999996,4172008.4469,3972125.8792000003,3954472.6827,4072535.4744
4214185.3382,4101907.8865,4101907.8865,3972125.8792000003,3917977.4527999996,3842841.9015,3842841.9015
3674386.4438,3917977.4527999996,3842841.9015,4101907.8865,4054611.6244,4214185.3382,4348572.5099
4716147.5721,4642949.0329,4683005.7498,2617598.7883,4072535.4744,3821179.0981,3717640.8125
3917977.4527999996,3902500.8854,3996775.8075,4256220.714,3862872.7044,3877506.1449,3629104.8053
3933990.4291999997,3954472.6827,3933990.4291999997,3933990.4291999997,3954472.6827,3996775.8075,4054611.6244
4054611.6244,3933990.4291999997,3972125.8792000003,4137176.1377,3842841.9015,3754199.3538999995,3472955.3202
3996775.8075,4054611.6244,4054611.6244,4348572.5099,3674386.4438,3654331.1362000005,3287047.9242000002
3374639.7393,3534439.8504,3457768.7317000004,3413165.9015,4172008.4469,4172008.4469,4403726.597200001
3565867.2357,3585889.9288999997,3554080.8276,3917977.4527999996,4137176.1377,4054611.6244,3996775.8075
3800698.79,3800698.79,3717640.8125,3821179.0981,3800698.79,3778957.7517999997,3972125.8792000003
3486085.2261,3554080.8276,3778957.7517999997,4300937.4454,4101907.8865,4072535.4744,3902500.8854
3877506.1449,3821179.0981,3902500.8854,2777163.8464,3902500.8854,3902500.8854,3954472.6827
3654331.1362000005,3842841.9015,3821179.0981,3674386.4438,3585889.9288999997,3862872.7044,3917977.4527999996
3554080.8276,3565867.2357,3413165.9015,3902500.8854,3996775.8075,3917977.4527999996,4022505.4688
3754199.3538999995,3877506.1449,3862872.7044,3954472.6827,3688434.5207999996,3717640.8125,3608130.1572
3180574.9432,3270107.5838,3305455.2293000002,3629104.8053,4214185.3382,4137176.1377,4587512.8308
3717640.8125,3754199.3538999995,3565867.2357,4022505.4688,3629104.8053,3688434.5207999996,3486085.2261
3629104.8053,3608130.1572,3688434.5207999996,3996775.8075,3821179.0981,3674386.4438,3565867.2357
3862872.7044,3862872.7044,3877506.1449,3585889.9288999997,3608130.1572,3554080.8276,3253799.1855
3287047.9242000002,3430210.7310999995,3629104.8053,3778957.7517999997,3778957.7517999997,3800698.79,3877506.1449
3688434.5207999996,3654331.1362000005,3496738.4011,3554080.8276,3565867.2357,3486085.2261,3496738.4011
4072535.4744,3778957.7517999997,3674386.4438,3862872.7044,3180574.9432,3212864.6508,3201165.5848000003
3534439.8504,3472955.3202,3585889.9288999997,3717640.8125,3534439.8504,3472955.3202,3167562.9562
3472955.3202,3496738.4011,3534439.8504,3534439.8504,3486085.2261,3534439.8504,3554080.8276
3167562.9562,2847181.2275,3342093.8658,3688434.5207999996,3754199.3538999995,3972125.8792000003,4214185.3382
4172008.4469,3972125.8792000003,4022505.4688,3800698.79,2819486.2566,2800047.3267,2800047.3267
3319085.3252,3319085.3252,3241692.177,3079934.8774,3554080.8276,3496738.4011,3395869.5625
3270107.5838,3457768.7317000004,3253799.1855,3201165.5848000003,3496738.4011,3585889.9288999997,3688434.5207999996
2955040.3233,3026228.4359999998,2722887.7682,3212864.6508,3094216.5199,2777163.8464,2556983.8857
3778957.7517999997,3688434.5207999996,3754199.3538999995,3754199.3538999995,3241692.177,3143087.8254,2702646.9483
3102505.5927999998,3180574.9432,3133412.3935,3319085.3252,3717640.8125,3629104.8053,3821179.0981
3954472.6827,3996775.8075,3954472.6827,4054611.6244,2777163.8464,2788115.0266,2204781.5393
3608130.1572,3717640.8125,3800698.79,3565867.2357,2847181.2275,3180574.9432,2914511.8901
3821179.0981,3674386.4438,3654331.1362000005,3842841.9015,2855296.5857,2768399.3535,2266899.3393
3430210.7310999995,3486085.2261,3472955.3202,3496738.4011,3005617.1436,3094216.5199,2847181.2275
3111586.4593,3122650.2585,3026228.4359999998,3059626.5623,3413165.9015,3608130.1572,3374639.7393
2711697.0049,2899981.2660999997,2864498.0519000003,3180574.9432,3654331.1362000005,3565867.2357,3933990.4291999997
3253799.1855,3287047.9242000002,3212864.6508,3102505.5927999998,3287047.9242000002,3227419.7582,3094216.5199
3395869.5625,3253799.1855,3430210.7310999995,3305455.2293000002,3079934.8774,3068126.687,2781571.4052999998
3305455.2293000002,3374639.7393,3201165.5848000003,3472955.3202,2963623.6354,3038400.271,2855296.5857
3585889.9288999997,3395869.5625,3486085.2261,3654331.1362000005,2840823.0033,2781571.4052999998,2482137.823
2914511.8901,2996578.7517,3053748.5589,3094216.5199,3472955.3202,3395869.5625,3674386.4438
3842841.9015,3629104.8053,3608130.1572,3143087.8254,2680803.718,2680803.718,2185806.3928
3038400.271,3053748.5589,2996578.7517,3253799.1855,3457768.7317000004,3319085.3252,3143087.8254
3143087.8254,3167562.9562,3227419.7582,3374639.7393,3253799.1855,3122650.2585,2906327.9732999997
3053748.5589,3154323.5845,3122650.2585,3395869.5625,3227419.7582,3154323.5845,3038400.271
3122650.2585,3094216.5199,3143087.8254,3038400.271,3374639.7393,3287047.9242000002,3212864.6508
3068126.687,2873622.9395,3059626.5623,3287047.9242000002,2996578.7517,3201165.5848000003,3068126.687
