wt_0min_1,wt_0min_2,wt_60min_1,wt_60min_2
176760.77305000002,170582.01598,180055.35095,164642.63950999998
152641.96691999998,156594.95771,112812.37813,143100.82541
161762.13848000002,151228.56695,148782.8878,139742.45649
227799.35232,208556.25026,172429.96113,117222.98217
232212.81195,162473.41793,139742.45649,132242.74240000002
149925.90970999998,139742.45649,110106.96879700001,151228.56695
184099.41598,146274.87493,130496.30957,129338.76750999999
158226.32837,158226.32837,136537.66856,138031.69266
77989.71012,86713.173525,156594.95771,146274.87493
174789.13577,153737.27656,138639.01218000002,140681.25788
87651.47436600001,103629.86901,161762.13848000002,162473.41793
127098.19777,131823.78251,143100.82541,133257.88047
128874.75561,140681.25788,133679.71272,129936.77746000001
126169.35296,130496.30957,121322.32818,158226.32837
129338.76750999999,148782.8878,118383.88444999998,145071.59034
124641.91910999999,120287.98114,142502.72084999998,143975.84513
138639.01218000002,138031.69266,154805.85708000002,123312.87741
49753.134155,57432.180712,148026.26174,112499.94936
167619.27439,159250.88947,153737.27656,116239.73782
113838.91909000001,119349.88002,117785.66794,184099.41598
111450.399733,125020.84968999999,128031.6416,138639.01218000002
143100.82541,149925.90970999998,106710.688785,114518.96111
138031.69266,138639.01218000002,114518.96111,128031.6416
145071.59034,147212.6906,134519.05098,127098.19777
135567.32752999998,126169.35296,145071.59034,125020.84968999999
128031.6416,110106.96879700001,117222.98217,156594.95771
71722.841426,78270.07479700001,152641.96691999998,135567.32752999998
218197.10539,187106.03462,109001.201612,99842.061706
139742.45649,109001.201612,167619.27439,136537.66856
137264.04968999999,136537.66856,158226.32837,117785.66794
129936.77746000001,137264.04968999999,131195.01001,126169.35296
133257.88047,122624.86104999999,135567.32752999998,113324.08406
136537.66856,132242.74240000002,123312.87741,115251.18996000002
148782.8878,152641.96691999998,133257.88047,124641.91910999999
140681.25788,141068.79687999998,123842.76443000001,111450.399733
147212.6906,135567.32752999998,132242.74240000002,116739.27437
134519.05098,133679.71272,146274.87493,130496.30957
88394.642216,107165.750483,93297.25080000001,103202.990313
19916.142035999997,20354.955278999998,127098.19777,105904.458987
110519.06605,109324.26662600001,80585.714593,112812.37813
142502.72084999998,145071.59034,81608.367061,77523.17922
101899.16438100001,112499.94936,138031.69266,121322.32818
126631.67575000001,116739.27437,101899.16438100001,100712.834176
24305.442809,26374.318517,83320.50371599999,108169.72219199999
131823.78251,127098.19777,121003.8297,103629.86901
55327.04188399999,75794.336751,122624.86104999999,107165.750483
119807.21613,104985.57307500001,116239.73782,113838.91909000001
52513.804839000004,57778.62744,140681.25788,104357.92383900001
141068.79687999998,125524.40007,116739.27437,96668.13696
120287.98114,115251.18996000002,104985.57307500001,109324.26662600001
133679.71272,107762.3041,113838.91909000001,99452.14246999999
84396.15779699999,68090.31936,131823.78251,126631.67575000001
123842.76443000001,122195.41045,110519.06605,106710.688785
112499.94936,126631.67575000001,108169.72219199999,109746.16457
72905.785876,71527.698697,120287.98114,128874.75561
122195.41045,123842.76443000001,112499.94936,101090.96467300001
121322.32818,128874.75561,107762.3041,100268.989174
75380.86078,79245.21096299999,84396.15779699999,134519.05098
125020.84968999999,142502.72084999998,99452.14246999999,91559.710949
112812.37813,114518.96111,95609.739934,102165.33676
132242.74240000002,143975.84513,137264.04968999999,104595.95805799999
146274.87493,143100.82541,87882.498803,89314.046782
105579.93817000001,99842.061706,89705.34744700001,131823.78251
98357.465365,90489.32378,67751.468393,123842.76443000001
130496.30957,129338.76750999999,119807.21613,89924.49617
63452.496595,55011.789948000005,143975.84513,131195.01001
107762.3041,90220.150552,100412.41489500001,120287.98114
101090.96467300001,108169.72219199999,115251.18996000002,104985.57307500001
96457.413249,88394.642216,91793.168892,111043.17219400001
105904.458987,112812.37813,115719.52707,125524.40007
116239.73782,121322.32818,106340.532629,95217.817157
90489.32378,93297.25080000001,61696.559027,112026.286433
103629.86901,111043.17219400001,93900.84651999999,100412.41489500001
57242.187731,66333.110123,60512.218695999996,119349.88002
115251.18996000002,117222.98217,95217.817157,93297.25080000001
54807.235433,58957.05033400001,112026.286433,107762.3041
97708.881999,100412.41489500001,105579.93817000001,106340.532629
121003.8297,117785.66794,100268.989174,96457.413249
119349.88002,115719.52707,98663.763171,92795.237077
93701.0317,86526.775399,84552.546346,103906.70531199999
48002.221663,59856.342927,128874.75561,97708.881999
114518.96111,108571.751479,102521.391273,98357.465365
99842.061706,97708.881999,91311.790718,105579.93817000001
86951.65896900001,72565.447324,56333.53387,122624.86104999999
103202.990313,87651.47436600001,108571.751479,93701.0317
98023.905717,98023.905717,105904.458987,97390.142389
109001.201612,94355.521675,96984.89988299999,101899.16438100001
36009.386566,43219.660613,87126.255008,91793.168892
84813.34446000001,93540.5434,111043.17219400001,121003.8297
86184.001119,87126.255008,111450.399733,122195.41045
109324.26662600001,110519.06605,103202.990313,86951.65896900001
110106.96879700001,105904.458987,104357.92383900001,90489.32378
89314.046782,89705.34744700001,97390.142389,98663.763171
93297.25080000001,96457.413249,81823.216753,92079.977308
95609.739934,97390.142389,88394.642216,94933.198947
104985.57307500001,102165.33676,88986.688758,90220.150552
104595.95805799999,99452.14246999999,98357.465365,88986.688758
187106.03462,167619.27439,64401.337438,45028.181238000005
100712.834176,105579.93817000001,90941.542094,84552.546346
33182.543771000004,37083.138321,63367.26875999999,115719.52707
80585.714593,77523.17922,109324.26662600001,94590.462746
104357.92383900001,98357.465365,99842.061706,95609.739934
90941.542094,95609.739934,97708.881999,92410.213936
80846.077615,80585.714593,93701.0317,110106.96879700001
85009.37193,100268.989174,92410.213936,96984.89988299999
94590.462746,90941.542094,96165.544298,98023.905717
112026.286433,113838.91909000001,90489.32378,81983.783308
63968.781202,80152.46177600001,71527.698697,101573.793802
69271.354217,61228.23956,101573.793802,118383.88444999998
59089.84656,62489.089038,98023.905717,110519.06605
102165.33676,113324.08406,90726.336887,81823.216753
97390.142389,95217.817157,72565.447324,89446.081034
100412.41489500001,102521.391273,91136.41558100001,87398.121078
106710.688785,112026.286433,88737.212223,87882.498803
79422.120577,71196.328424,126169.35296,102521.391273
91311.790718,90726.336887,100712.834176,82107.036149
35847.134766999996,44615.819125,94164.159559,86184.001119
111043.17219400001,111450.399733,77654.35194200001,87651.47436600001
91136.41558100001,100712.834176,87398.121078,88394.642216
122624.86104999999,124641.91910999999,79735.53931,67980.818374
36067.044769,38104.896657,107165.750483,76601.868722
95217.817157,101573.793802,96457.413249,80367.98222600001
58687.67559700001,71051.332711,89446.081034,81608.367061
96165.544298,91793.168892,89924.49617,83186.988481
92795.237077,92795.237077,82871.026606,83320.50371599999
71376.433724,65982.793693,71722.841426,90726.336887
115719.52707,104357.92383900001,94933.198947,73896.40065200001
42772.927578999996,50017.845408,96668.13696,84396.15779699999
75244.246181,81983.783308,104595.95805799999,86713.173525
82573.301619,77867.155896,91559.710949,90941.542094
94933.198947,94590.462746,83510.54734199999,83813.16184799999
85220.379455,85540.738849,75794.336751,91136.41558100001
41823.010489,56243.676682000005,82107.036149,133679.71272
143975.84513,133257.88047,69483.765459,52865.260728
82107.036149,77989.71012,64791.59267,99070.615441
79245.21096299999,96984.89988299999,80975.064805,94355.521675
73896.40065200001,85921.763746,65242.539336,79735.53931
87126.255008,87882.498803,67174.91751,93900.84651999999
98663.763171,96668.13696,85540.738849,79245.21096299999
59553.93517699999,63367.26875999999,54205.14953899999,77654.35194200001
74582.179938,79422.120577,66769.270242,94164.159559
39962.993439,50765.387702,125020.84968999999,91311.790718
118383.88444999998,131195.01001,70040.28707699999,61483.303266999996
94355.521675,85220.379455,74295.336083,78929.759441
92410.213936,101090.96467300001,82352.000467,80846.077615
66422.56624300001,75490.137512,83186.988481,86526.775399
34129.533049000005,40674.507422,90220.150552,69013.729145
36803.310597,40653.245396,119349.88002,73742.127165
54184.111781,54100.507828,78682.626347,108571.751479
117785.66794,123312.87741,74582.179938,67609.428663
77867.155896,87398.121078,64037.027173,86383.570793
125524.40007,121003.8297,99070.615441,78682.626347
45294.130326,51040.840929,86184.001119,74776.329172
72256.59583,83813.16184799999,51296.750237,93540.5434
89446.081034,101899.16438100001,66333.110123,72256.59583
80367.98222600001,69133.389067,93540.5434,70040.28707699999
26653.791454000002,31167.844363,101090.96467300001,73327.47124000001
36885.742224,41203.451815,102165.33676,88737.212223
108169.72219199999,76899.005041,92795.237077,83986.432512
53059.06217800001,51253.36376,94355.521675,109001.201612
89924.49617,94164.159559,81983.783308,72143.79165
53961.940449,58595.15910999999,72256.59583,89705.34744700001
94164.159559,75578.865816,76601.868722,82352.000467
77654.35194200001,94933.198947,81346.314561,67894.830195
68851.52112800001,72700.830447,80846.077615,82573.301619
86526.775399,75244.246181,36710.304682,66188.857155
92079.977308,99070.615441,79245.21096299999,74582.179938
77179.430065,71376.433724,85921.763746,78270.07479700001
71527.698697,56702.70496,103906.70531199999,88086.894243
99070.615441,109746.16457,72005.241605,59856.342927
59949.738775,63061.071094,73175.13454700001,85220.379455
96668.13696,83986.432512,73454.330017,74295.336083
90726.336887,86184.001119,71051.332711,70539.525585
88086.894243,80367.98222600001,87651.47436600001,70282.782148
51512.983033,73896.40065200001,59462.178408,70394.201959
74295.336083,75380.86078,58093.410518,75794.336751
96984.89988299999,86383.570793,77523.17922,77989.71012
78526.340139,89446.081034,73896.40065200001,72700.830447
78929.759441,73175.13454700001,62829.534754,75244.246181
72005.241605,78526.340139,86526.775399,64725.846879
77523.17922,81346.314561,74776.329172,72005.241605
54023.771038000006,62016.28698700001,75490.137512,76740.116839
81823.216753,74295.336083,77179.430065,77352.473291
74776.329172,89314.046782,62962.111713000006,67031.252348
75078.465746,72905.785876,86713.173525,85009.37193
71290.01655999999,68674.485913,69565.546294,75578.865816
43002.047924,45874.568157,74174.221136,79422.120577
91559.710949,92410.213936,72905.785876,64037.027173
69899.954209,84552.546346,94590.462746,65019.69950100001
48976.845939,58911.215889,85220.379455,65842.31336
103906.70531199999,118383.88444999998,48898.255847,55080.105657
74427.50025299999,74427.50025299999,72143.79165,63452.496595
43784.811097,52197.076827,70394.201959,78526.340139
74952.951145,77654.35194200001,74040.700171,75490.137512
64918.110198,84396.15779699999,83813.16184799999,82871.026606
59278.850763999995,67980.818374,75578.865816,84813.34446000001
87398.121078,98663.763171,88086.894243,80975.064805
83986.432512,75078.465746,76899.005041,71852.23582
55136.61217200001,82352.000467,52197.076827,96165.544298
89705.34744700001,84813.34446000001,75380.86078,63167.936939
72374.02643900001,68851.52112800001,47052.453698,77867.155896
109746.16457,76601.868722,76193.12167200001,67399.322916
31186.847093,37349.114149,70157.306683,77179.430065
116739.27437,106340.532629,59856.342927,50724.70633
17430.618073999998,26298.585526,113324.08406,69369.73911
102521.391273,91311.790718,64725.846879,66585.566366
82352.000467,93900.84651999999,53405.94791,63785.814743
58048.774836,61405.818236,79936.69424800001,65561.613183
76368.940225,80975.064805,68430.541751,68186.614621
83510.54734199999,88086.894243,56127.498265999995,68430.541751
54067.766918999994,53961.940449,41823.010489,85540.738849
39721.834416,45604.300664,92079.977308,73175.13454700001
81983.783308,73454.330017,69133.389067,70157.306683
45808.634277,44909.971367000006,85009.37193,87126.255008
