wt_0min_1,wt_0min_2,wt_5min_1,wt_5min_2
384413.31847,398435.80022,1631619.9420399999,1631619.9420399999
1631619.9420399999,1631619.9420399999,676455.95595,676455.95595
676455.95595,438428.28152,504824.18877,504824.18877
504824.18877,676455.95595,361977.95035,438428.28152
413617.97137000004,504824.18877,438428.28152,398435.80022
398435.80022,384413.31847,348846.56956000003,413617.97137000004
438428.28152,413617.97137000004,384413.31847,372758.16675
361977.95035,327382.87687,413617.97137000004,327382.87687
191029.27952,214692.2182,398435.80022,348846.56956000003
214692.2182,231838.21338,372758.16675,384413.31847
348846.56956000003,372758.16675,312908.84021,361977.95035
372758.16675,361977.95035,294527.45233,312908.84021
155553.91191,185256.60486999998,327382.87687,294527.45233
283448.33752,348846.56956000003,218088.83256,283448.33752
269046.49918,251128.7023,257632.38622,257632.38622
257632.38622,257632.38622,242147.02769,231838.21338
222903.37972,283448.33752,231838.21338,269046.49918
327382.87687,312908.84021,209596.85686,251128.7023
237456.47939999998,269046.49918,214692.2182,242147.02769
168647.32121000002,199595.69295,227428.05446,227428.05446
251128.7023,227428.05446,237456.47939999998,237456.47939999998
242147.02769,242147.02769,203106.22082,222903.37972
181346.48647,196488.4636,222903.37972,181346.48647
61824.127465000005,60841.484057,283448.33752,148931.35772
227428.05446,218088.83256,199595.69295,199595.69295
203106.22082,209596.85686,189620.01201,203106.22082
131795.11797,138407.73442,251128.7023,163161.35747
231838.21338,222903.37972,184029.42095,177035.1046
193654.73486000003,189620.01201,181346.48647,218088.83256
45346.286138,44970.63774,269046.49918,130852.0704
171173.15525,191029.27952,162004.52412999998,189620.01201
185256.60486999998,178817.46752,196488.4636,214692.2182
124956.64905,159632.59931999998,191029.27952,193654.73486000003
294527.45233,294527.45233,101940.456215,128774.79776999999
196488.4636,172993.97308,185256.60486999998,187251.49046
312908.84021,237456.47939999998,115018.79363,132366.61981
218088.83256,203106.22082,172993.97308,168647.32121000002
166235.91613,175740.68426,177035.1046,178817.46752
209596.85686,187251.49046,166235.91613,172993.97308
187251.49046,152741.83497999999,187251.49046,145646.62311
178817.46752,166235.91613,178817.46752,196488.4636
157099.3095,157099.3095,145646.62311,191029.27952
144464.23269,163161.35747,161261.91587,162004.52412999998
199595.69295,181346.48647,150873.22115,137068.23695
128774.79776999999,119902.41851999999,175740.68426,151950.25403
148931.35772,171173.15525,169970.08279,185256.60486999998
189620.01201,184029.42095,155553.91191,166235.91613
172993.97308,164685.65183000002,151950.25403,142998.13548
101940.456215,137068.23695,193654.73486000003,112108.2023
169970.08279,169970.08279,154061.58485,152741.83497999999
177035.1046,168647.32121000002,152741.83497999999,161261.91587
162004.52412999998,193654.73486000003,133087.51111999998,157099.3095
147750.97659,150873.22115,147750.97659,155553.91191
161261.91587,161261.91587,146434.74956,169970.08279
73388.400923,102606.74852200001,163161.35747,154061.58485
146434.74956,142998.13548,148931.35772,133783.11471
158200.47709,162004.52412999998,131795.11797,150124.58963
123260.20963000001,154061.58485,142998.13548,139061.62374
82278.76365499999,85733.00678099999,164685.65183000002,158200.47709
150873.22115,146434.74956,141326.38277,159632.59931999998
154061.58485,141326.38277,139061.62374,143626.52409999998
152741.83497999999,140206.35908999998,142146.26528,136083.77039999998
130852.0704,133087.51111999998,158200.47709,171173.15525
142146.26528,143626.52409999998,137068.23695,141326.38277
75014.784332,88275.002382,159632.59931999998,129931.55193
139061.62374,139061.62374,144464.23269,142146.26528
127015.01165,131795.11797,157099.3095,146434.74956
143626.52409999998,158200.47709,140206.35908999998,147750.97659
141326.38277,145646.62311,127015.01165,133087.51111999998
184029.42095,177035.1046,124956.64905,131795.11797
