wt_0min_1,wt_0min_2,genome_0min_1,genome_0min_2
2526059.5682,2526059.5682,2526059.5682,2526059.5682
1757605.1502999999,1757605.1502999999,2245337.1037,2245337.1037
2245337.1037,2245337.1037,1757605.1502999999,1757605.1502999999
1307072.7261,1307072.7261,1410954.0989,1410954.0989
1410954.0989,1351165.2352,1351165.2352,1351165.2352
1351165.2352,1410954.0989,1307072.7261,1307072.7261
1001121.9752800001,1063626.2624,1204053.4879,1154287.2644
1115791.8165,1115791.8165,1154287.2644,1115791.8165
1154287.2644,1154287.2644,1063626.2624,1085361.6312
1204053.4879,1204053.4879,1115791.8165,1204053.4879
1085361.6312,1085361.6312,1001121.9752800001,1001121.9752800001
961720.64314,1001121.9752800001,1085361.6312,1031596.90951
1063626.2624,961720.64314,987142.24373,987142.24373
987142.24373,973498.4884400001,961720.64314,938633.46105
801034.9688,821670.96416,1031596.90951,1063626.2624
973498.4884400001,1031596.90951,926111.31882,961720.64314
889715.16084,987142.24373,909387.0911000001,973498.4884400001
909387.0911000001,909387.0911000001,973498.4884400001,926111.31882
869941.43739,869941.43739,869941.43739,889715.16084
1031596.90951,926111.31882,854871.2226600001,838472.7356100001
854871.2226600001,838472.7356100001,938633.46105,909387.0911000001
926111.31882,889715.16084,889715.16084,854871.2226600001
938633.46105,938633.46105,801034.9688,821670.96416
792317.90553,809893.37909,792317.90553,869941.43739
838472.7356100001,801034.9688,809893.37909,768070.11162
750369.93918,768070.11162,750369.93918,759605.4158900001
768070.11162,759605.4158900001,778565.22082,792317.90553
809893.37909,792317.90553,759605.4158900001,801034.9688
778565.22082,778565.22082,768070.11162,809893.37909
821670.96416,854871.2226600001,719001.74621,778565.22082
759605.4158900001,750369.93918,724566.8228,724566.8228
735188.30861,719001.74621,700021.5363,677877.12186
661202.86148,626218.43922,821670.96416,693441.8931
719001.74621,708808.73729,683882.74624,708808.73729
724566.8228,724566.8228,677877.12186,719001.74621
603312.86381,617209.20425,708808.73729,750369.93918
539616.58955,550443.0330299999,838472.7356100001,735188.30861
700021.5363,688290.21328,693441.8931,683882.74624
693441.8931,677877.12186,655019.81579,670659.31286
637237.18706,637237.18706,688290.21328,661202.86148
626218.43922,661202.86148,676861.4273099999,655019.81579
683882.74624,676861.4273099999,670659.31286,676861.4273099999
676861.4273099999,670659.31286,640114.07401,688290.21328
617209.20425,655019.81579,664658.25648,700021.5363
708808.73729,735188.30861,615542.39684,640114.07401
624095.42993,620013.17587,637237.18706,664658.25648
607863.79567,588171.35218,644976.81227,615542.39684
568410.51251,603312.86381,620013.17587,648685.96441
677877.12186,683882.74624,612185.8629,626218.43922
648685.96441,648685.96441,604437.3036,637237.18706
615542.39684,644976.81227,607863.79567,644976.81227
664658.25648,664658.25648,631814.6112800001,620013.17587
575346.20478,604437.3036,626218.43922,575346.20478
688290.21328,693441.8931,585748.2863299999,624095.42993
655019.81579,624095.42993,603312.86381,617209.20425
556316.40287,556316.40287,661202.86148,609282.40751
670659.31286,700021.5363,590129.72852,592876.03403
620013.17587,615542.39684,592876.03403,612185.8629
631814.6112800001,631814.6112800001,609282.40751,603312.86381
612185.8629,592876.03403,588171.35218,600286.23251
644976.81227,640114.07401,573008.98704,604437.3036
491300.55789,465900.072,735188.30861,590129.72852
553665.92769,585748.2863299999,600286.23251,631814.6112800001
604437.3036,612185.8629,575346.20478,596447.08043
596447.08043,596447.08043,568410.51251,565318.7198699999
640114.07401,607863.79567,552115.55295,588171.35218
573008.98704,590129.72852,617209.20425,607863.79567
582433.5945,539616.58955,582433.5945,560698.75544
609282.40751,609282.40751,556316.40287,585748.2863299999
524822.05961,518255.61519,648685.96441,573008.98704
526890.68702,492499.34284000006,624095.42993,578615.8315399999
542195.71042,546483.71513,571272.96121,582433.5945
578615.8315399999,578615.8315399999,539616.58955,558156.7882000001
534177.6700500001,512201.22904,596447.08043,546483.71513
590129.72852,568410.51251,542195.71042,548315.50089
592876.03403,600286.23251,546483.71513,553665.92769
600286.23251,575346.20478,536741.78646,556316.40287
546483.71513,544557.43618,565318.7198699999,571272.96121
550443.0330299999,558156.7882000001,534177.6700500001,539616.58955
571272.96121,565318.7198699999,503599.89726999996,518255.61519
560698.75544,548315.50089,529704.56452,544557.43618
531727.97728,522317.25149999995,544557.43618,534177.6700500001
480899.50647,500895.10665,505635.41102999996,568410.51251
508604.81815,552115.55295,499984.30696,552115.55295
588171.35218,573008.98704,522317.25149999995,526890.68702
565318.7198699999,571272.96121,509715.17233,522317.25149999995
517070.54715999996,496257.69194,560698.75544,514954.92672
558156.7882000001,553665.92769,508604.81815,536741.78646
585748.2863299999,582433.5945,496257.69194,491300.55789
471056.44135999994,460455.97187,533342.74139,520135.75417
522317.25149999995,534177.6700500001,526890.68702,550443.0330299999
498839.85133,503599.89726999996,558156.7882000001,531727.97728
512201.22904,505635.41102999996,531727.97728,517070.54715999996
552115.55295,560698.75544,520135.75417,542195.71042
544557.43618,524822.05961,500895.10665,533342.74139
518255.61519,485669.73717,492499.34284000006,524822.05961
529704.56452,520135.75417,518255.61519,529704.56452
533342.74139,526890.68702,550443.0330299999,494416.81943
499984.30696,497471.06682,524822.05961,498839.85133
509715.17233,533342.74139,497471.06682,509715.17233
520135.75417,536741.78646,494416.81943,512201.22904
505635.41102999996,531727.97728,512201.22904,489511.80414
548315.50089,542195.71042,471056.44135999994,503599.89726999996
536741.78646,529704.56452,478831.53121,473239.84269
497471.06682,451983.26131999993,480899.50647,463289.85947
496257.69194,508604.81815,474537.98244000005,492499.34284000006
489511.80414,433987.49156,453125.14512,455880.20522
503599.89726999996,499984.30696,484200.4608,497471.06682
448707.01584,445249.44669,491300.55789,466790.41730000003
494416.81943,494416.81943,482626.09809999994,499984.30696
461714.11253000004,482626.09809999994,514954.92672,508604.81815
405008.37887,384363.75061,578615.8315399999,464959.99566
416550.48021999997,442525.52687,517070.54715999996,477039.30767999997
445249.44669,436310.92692,548315.50089,484200.4608
487867.56409999996,498839.85133,473239.84269,505635.41102999996
423621.30478,418364.26278,553665.92769,496257.69194
500895.10665,509715.17233,469020.11950000003,469020.11950000003
440485.30302999995,446437.61319000006,464959.99566,500895.10665
484200.4608,489511.80414,465900.072,482626.09809999994
463289.85947,451120.20669,451983.26131999993,465900.072
492499.34284000006,514954.92672,460455.97187,487867.56409999996
514954.92672,517070.54715999996,463289.85947,458541.02392999997
464959.99566,473239.84269,466790.41730000003,480899.50647
473239.84269,480899.50647,449691.29835,478831.53121
485669.73717,444025.40764,439497.3475,439497.3475
474537.98244000005,487867.56409999996,487867.56409999996,457823.21403000003
451120.20669,437403.08162,477039.30767999997,460455.97187
419723.86941,405526.60737,458541.02392999997,485669.73717
465900.072,478831.53121,445249.44669,453125.14512
432401.444,413061.96284,438787.30258,425817.38342
454861.64128,464959.99566,430616.31963,429012.29326
477039.30767999997,469020.11950000003,434693.24048,449691.29835
478831.53121,491300.55789,423621.30478,441401.04494000005
441401.04494000005,449691.29835,435538.49719,444025.40764
460455.97187,471056.44135999994,436310.92692,448707.01584
420694.93176999997,419723.86941,448707.01584,433987.49156
426764.06853,439497.3475,447295.87503000005,454861.64128
394169.29125999997,413829.25363,489511.80414,474537.98244000005
451983.26131999993,466790.41730000003,444025.40764,451983.26131999993
410721.27023,425817.38342,455880.20522,471056.44135999994
436310.92692,432401.444,431279.6567,445249.44669
466790.41730000003,474537.98244000005,419723.86941,442525.52687
469020.11950000003,484200.4608,418364.26278,461714.11253000004
447295.87503000005,455880.20522,442525.52687,431279.6567
413061.96284,416550.48021999997,454861.64128,436310.92692
438787.30258,417407.73712,446437.61319000006,446437.61319000006
457823.21403000003,463289.85947,432401.444,440485.30302999995
412099.19092,426764.06853,412099.19092,434693.24048
368376.2669,376564.98224,461714.11253000004,447295.87503000005
431279.6567,419126.05047,457823.21403000003,430616.31963
446437.61319000006,457823.21403000003,414169.68645000004,422410.83151000005
453125.14512,414169.68645000004,427938.54994,404234.87612000003
435538.49719,447295.87503000005,416550.48021999997,435538.49719
417407.73712,429012.29326,429012.29326,438787.30258
449691.29835,454861.64128,413829.25363,402281.7958
404234.87612000003,393280.49756,437403.08162,432401.444
413829.25363,422410.83151000005,440485.30302999995,427938.54994
458541.02392999997,458541.02392999997,402281.7958,413061.96284
439497.3475,435538.49719,413061.96284,413829.25363
482626.09809999994,477039.30767999997,404234.87612000003,397096.79806
419126.05047,424508.92525000003,422410.83151000005,423621.30478
389560.35689,388489.63333,426764.06853,419723.86941
406816.33681,364956.53503,425817.38342,437403.08162
363987.75633,410103.33331,417407.73712,451120.20669
418364.26278,434693.24048,420694.93176999997,417407.73712
425817.38342,409402.76339,409402.76339,418364.26278
433987.49156,423621.30478,387400.20201,410721.27023
442525.52687,448707.01584,405008.37887,414169.68645000004
455880.20522,461714.11253000004,400614.61113,409402.76339
378145.7494,386586.12223,410721.27023,426764.06853
409402.76339,427938.54994,403275.2895,419126.05047
427938.54994,415612.61176,399562.73167,408148.16362
338647.67416000005,345041.70333000005,498839.85133,424508.92525000003
390980.81051,390980.81051,441401.04494000005,420694.93176999997
375694.39918999997,368376.2669,433987.49156,400614.61113
444025.40764,441401.04494000005,405526.60737,416550.48021999997
424508.92525000003,400614.61113,398184.33875,387400.20201
370544.66801,387400.20201,410103.33331,410103.33331
414169.68645000004,420694.93176999997,389560.35689,405526.60737
405526.60737,410721.27023,408148.16362,403275.2895
410103.33331,397096.79806,386586.12223,406816.33681
401370.22055,398184.33875,378145.7494,386586.12223
429012.29326,404234.87612000003,388489.63333,389560.35689
326218.51853,311972.83127,485669.73717,393280.49756
430616.31963,438787.30258,383429.19764,385912.08164
382124.84356,389560.35689,401370.22055,401370.22055
392022.84618,405008.37887,406816.33681,390980.81051
398184.33875,430616.31963,381201.91508,415612.61176
386586.12223,399562.73167,415612.61176,394169.29125999997
422410.83151000005,431279.6567,376564.98224,398184.33875
387400.20201,378145.7494,392022.84618,392022.84618
335318.81176,310205.00137,451120.20669,399562.73167
437403.08162,453125.14512,373335.99341,395648.28749
434693.24048,440485.30302999995,372106.32781,384363.75061
393280.49756,394169.29125999997,379444.07503999997,412099.19092
384363.75061,383429.19764,370544.66801,378145.7494
408148.16362,408148.16362,352365.04222999996,363987.75633
402281.7958,406816.33681,378874.16604,379969.72398
395648.28749,402281.7958,360833.48677,381201.91508
379969.72398,367520.44353,397096.79806,359354.25057000003
327243.28849999997,354681.31081,395648.28749,405008.37887
339914.71706,337002.36921000003,379969.72398,367520.44353
383429.19764,412099.19092,357681.18583,366335.87309
400614.61113,403275.2895,348089.7402,378874.16604
385912.08164,379444.07503999997,374440.32279,382124.84356
337002.36921000003,351750.3375,390980.81051,383429.19764
317970.37004,315734.47341,424508.92525000003,364956.53503
359354.25057000003,374440.32279,368376.2669,370544.66801
403275.2895,363987.75633,363095.01418,361734.71802
378874.16604,369595.10044,363987.75633,376564.98224
374440.32279,375694.39918999997,366335.87309,379444.07503999997
367520.44353,348089.7402,375694.39918999997,369595.10044
321142.18857999996,358617.48792,361734.71802,374440.32279
345041.70333000005,352365.04222999996,367520.44353,388489.63333
317135.86089,296183.99037,419126.05047,351750.3375
381201.91508,378874.16604,345041.70333000005,359840.893
350446.98681000003,370544.66801,351750.3375,373335.99341
415612.61176,392022.84618,340522.69175,346964.17099
388489.63333,336621.05636,346394.59126,358617.48792
372106.32781,382124.84356,343415.52159,363095.01418
325627.29644,339473.8174,369595.10044,372106.32781
364956.53503,359840.893,359840.893,368376.2669
399562.73167,401370.22055,350446.98681000003,352365.04222999996
376564.98224,385912.08164,333040.37464,353125.59732
357681.18583,395648.28749,331604.79427,375694.39918999997
340522.69175,343415.52159,341196.73421,354681.31081
373335.99341,373335.99341,328393.26943,333520.00322
304599.33975,316290.38037,349515.38343000005,350446.98681000003
360833.48677,363095.01418,333520.00322,349969.47095999995
348089.7402,319530.93929,348836.61795,355709.78437999997
355709.78437999997,372106.32781,327243.28849999997,365725.11533
333040.37464,314512.34274,346964.17099,348836.61795
369595.10044,366335.87309,332501.30757999996,339473.8174
342077.26886,334640.94559,358617.48792,337002.36921000003
397096.79806,379969.72398,330198.70158,339914.71706
346394.59126,353125.59732,338647.67416000005,333040.37464
379444.07503999997,381201.91508,323874.86222999997,335318.81176
343415.52159,361734.71802,338020.04527,360833.48677
334640.94559,321827.93142,345659.23751,349515.38343000005
361734.71802,338020.04527,339473.8174,322280.99127
351750.3375,346964.17099,335318.81176,345041.70333000005
321827.93142,327243.28849999997,342769.67474,336621.05636
331604.79427,333040.37464,365725.11533,346394.59126
328393.26943,321142.18857999996,353125.59732,342077.26886
323874.86222999997,331036.71378,355709.78437999997,342769.67474
341196.73421,332501.30757999996,326218.51853,328848.81327
313654.45227999997,315077.99179,385912.08164,345659.23751
329370.72678,349515.38343000005,316290.38037,341196.73421
273906.81974,289025.03749,393280.49756,354049.44403
333520.00322,335318.81176,336072.44193000003,357681.18583
366335.87309,357681.18583,329370.72678,338647.67416000005
342769.67474,323874.86222999997,337002.36921000003,348089.7402
353125.59732,338647.67416000005,336621.05636,317970.37004
315077.99179,331604.79427,314512.34274,331036.71378
338020.04527,342077.26886,322801.73715,338020.04527
344279.03948,342769.67474,324879.14542,329370.72678
296652.10394,293662.33496,354049.44403,343415.52159
358617.48792,313654.45227999997,306724.44518,300472.22881999996
307737.15587,297113.16438000003,342077.26886,336072.44193000003
365725.11533,360833.48677,319530.93929,328393.26943
292892.93391,258383.25548,364956.53503,318692.66304
349969.47095999995,348836.61795,313654.45227999997,327243.28849999997
336621.05636,333520.00322,301757.7751,319530.93929
330198.70158,322801.73715,311380.0257,321142.18857999996
354681.31081,344279.03948,298713.91053,306200.79253000004
363095.01418,365725.11533,315734.47341,326218.51853
293662.33496,275843.11289,359354.25057000003,334640.94559
336072.44193000003,340522.69175,309714.30096,325627.29644
308619.06807,319049.34246,334640.94559,322801.73715
354049.44403,345659.23751,307737.15587,314512.34274
320164.36277,326218.51853,310205.00137,323874.86222999997
258187.7478,252143.22345,394169.29125999997,344279.03948
305336.3577,290784.01841,327876.58972,313654.45227999997
339473.8174,329370.72678,306200.79253000004,313918.83818
316290.38037,341196.73421,320844.11499000003,340522.69175
327876.58972,336072.44193000003,320164.36277,321827.93142
322280.99127,313918.83818,325627.29644,331604.79427
346964.17099,346394.59126,318692.66304,330198.70158
283620.35635,298127.3149,339914.71706,324879.14542
352365.04222999996,350446.98681000003,310825.14602,320844.11499000003
345659.23751,349969.47095999995,300124.49529,305336.3577
309714.30096,271736.4776,317135.86089,306724.44518
349515.38343000005,354049.44403,285221.90699,307737.15587
285652.46579,306200.79253000004,322280.99127,332501.30757999996
311972.83127,317970.37004,304235.63234,309714.30096
319049.34246,328393.26943,302370.38175,311972.83127
271144.04024,260729.45997000003,349969.47095999995,319049.34246
332501.30757999996,318692.66304,304599.33975,310205.00137
328848.81327,308619.06807,313164.02232999995,298713.91053
311380.0257,328848.81327,297113.16438000003,304599.33975
300877.03213999997,285996.64021,328848.81327,297683.87198
300124.49529,292410.26721,321827.93142,308619.06807
324879.14542,327876.58972,290989.96932000003,316290.38037
348836.61795,339914.71706,288440.59848,303671.61818
322801.73715,292892.93391,302887.31444,290196.00901
301757.7751,310825.14602,292892.93391,313164.02232999995
359840.893,359354.25057000003,273491.68123000005,282343.69964999997
