wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
331036.71378,410721.27023,402281.7958,402281.7958
392022.84618,374440.32279,375694.39918999997,374440.32279
412099.19092,387400.20201,383429.19764,397096.79806
361734.71802,419723.86941,413061.96284,414169.68645000004
399562.73167,375694.39918999997,345659.23751,331604.79427
413829.25363,382124.84356,349969.47095999995,355709.78437999997
390980.81051,376564.98224,378874.16604,378874.16604
402281.7958,389560.35689,374440.32279,376564.98224
410103.33331,381201.91508,376564.98224,367520.44353
406816.33681,366335.87309,352365.04222999996,359840.893
415612.61176,385912.08164,355709.78437999997,345041.70333000005
318692.66304,402281.7958,394169.29125999997,388489.63333
400614.61113,379444.07503999997,387400.20201,385912.08164
373335.99341,405526.60737,397096.79806,405008.37887
378145.7494,370544.66801,366335.87309,378145.7494
378874.16604,369595.10044,364956.53503,368376.2669
386586.12223,363987.75633,373335.99341,353125.59732
405526.60737,359354.25057000003,370544.66801,389560.35689
306200.79253000004,413061.96284,406816.33681,406816.33681
375694.39918999997,378145.7494,368376.2669,386586.12223
376564.98224,368376.2669,351750.3375,354681.31081
374440.32279,365725.11533,386586.12223,379969.72398
365725.11533,359840.893,367520.44353,370544.66801
343415.52159,386586.12223,379969.72398,369595.10044
330198.70158,384363.75061,378145.7494,398184.33875
370544.66801,354049.44403,363987.75633,363095.01418
246577.72396,406816.33681,404234.87612000003,415612.61176
383429.19764,338647.67416000005,359354.25057000003,338647.67416000005
404234.87612000003,348836.61795,339473.8174,352365.04222999996
387400.20201,336621.05636,349515.38343000005,331036.71378
354049.44403,361734.71802,361734.71802,379444.07503999997
363987.75633,336072.44193000003,343415.52159,342769.67474
389560.35689,350446.98681000003,342077.26886,333520.00322
349515.38343000005,353125.59732,365725.11533,360833.48677
358617.48792,345041.70333000005,314512.34274,342077.26886
372106.32781,358617.48792,354681.31081,346394.59126
367520.44353,344279.03948,322280.99127,320844.11499000003
350446.98681000003,373335.99341,357681.18583,373335.99341
368376.2669,339914.71706,353125.59732,349515.38343000005
379969.72398,355709.78437999997,384363.75061,364956.53503
364956.53503,351750.3375,359840.893,348089.7402
359840.893,354681.31081,369595.10044,354049.44403
360833.48677,337002.36921000003,335318.81176,346964.17099
369595.10044,326218.51853,390980.81051,363987.75633
352365.04222999996,340522.69175,331036.71378,336621.05636
304235.63234,364956.53503,342769.67474,361734.71802
359354.25057000003,328393.26943,317970.37004,309714.30096
345041.70333000005,352365.04222999996,345041.70333000005,349969.47095999995
366335.87309,330198.70158,311972.83127,313654.45227999997
339914.71706,342769.67474,316290.38037,326218.51853
355709.78437999997,339473.8174,344279.03948,351750.3375
349969.47095999995,342077.26886,346394.59126,343415.52159
348089.7402,343415.52159,326218.51853,330198.70158
354681.31081,325627.29644,338647.67416000005,336072.44193000003
291549.53585,363095.01418,341196.73421,350446.98681000003
311972.83127,346394.59126,339914.71706,322801.73715
285996.64021,360833.48677,348836.61795,359354.25057000003
385912.08164,332501.30757999996,340522.69175,334640.94559
284143.82795,349969.47095999995,346964.17099,345659.23751
346394.59126,341196.73421,322801.73715,327876.58972
242948.18248999998,372106.32781,372106.32781,382124.84356
357681.18583,327243.28849999997,315734.47341,315077.99179
348836.61795,323874.86222999997,301757.7751,315734.47341
338647.67416000005,331036.71378,330198.70158,333040.37464
337002.36921000003,317970.37004,327243.28849999997,325627.29644
346964.17099,335318.81176,324879.14542,339914.71706
344279.03948,327876.58972,336072.44193000003,332501.30757999996
338020.04527,328848.81327,331604.79427,319530.93929
266954.11211,349515.38343000005,348089.7402,372106.32781
332501.30757999996,334640.94559,358617.48792,340522.69175
323874.86222999997,329370.72678,334640.94559,328848.81327
331604.79427,310205.00137,320164.36277,306200.79253000004
240993.72850000003,357681.18583,400614.61113,394169.29125999997
316290.38037,298127.3149,328393.26943,314512.34274
328393.26943,322280.99127,333040.37464,317135.86089
329370.72678,321142.18857999996,336621.05636,335318.81176
317970.37004,319530.93929,337002.36921000003,327243.28849999997
336072.44193000003,314512.34274,289288.65099,279877.41603
238309.99666,348089.7402,354049.44403,358617.48792
322280.99127,331604.79427,313918.83818,317970.37004
340522.69175,322801.73715,309714.30096,310825.14602
313654.45227999997,301757.7751,329370.72678,324879.14542
379444.07503999997,324879.14542,302887.31444,301757.7751
244191.89016999997,338020.04527,363095.01418,365725.11533
258383.25548,345659.23751,360833.48677,357681.18583
324879.14542,318692.66304,320844.11499000003,320164.36277
317135.86089,313918.83818,306724.44518,300877.03213999997
334640.94559,303671.61818,306200.79253000004,305731.88153
321827.93142,311972.83127,327876.58972,308619.06807
322801.73715,302370.38175,297683.87198,290196.00901
306724.44518,317135.86089,319049.34246,344279.03948
335318.81176,304235.63234,296183.99037,298713.91053
313918.83818,313164.02232999995,308619.06807,300124.49529
333520.00322,346964.17099,333520.00322,323874.86222999997
315077.99179,294219.87224,305731.88153,307737.15587
311380.0257,308619.06807,321142.18857999996,322280.99127
327876.58972,316290.38037,313654.45227999997,313164.02232999995
319530.93929,306200.79253000004,305336.3577,305336.3577
282343.69964999997,333520.00322,328848.81327,337002.36921000003
321142.18857999996,297683.87198,311380.0257,302370.38175
319049.34246,295425.01861,332501.30757999996,321827.93142
328848.81327,300877.03213999997,310825.14602,313918.83818
297683.87198,315077.99179,325627.29644,321142.18857999996
300124.49529,304599.33975,321827.93142,328393.26943
314512.34274,289025.03749,293662.33496,293662.33496
304599.33975,300472.22881999996,285996.64021,298127.3149
293662.33496,319049.34246,315077.99179,306724.44518
336621.05636,302887.31444,299450.75210000004,296183.99037
320844.11499000003,291549.53585,283118.01755,265460.49174
326218.51853,289724.11979,269561.14350999997,279412.80479
339473.8174,320844.11499000003,296652.10394,292085.95293
261535.86978,333040.37464,350446.98681000003,339473.8174
325627.29644,293662.33496,318692.66304,304235.63234
308619.06807,287494.02369999996,290784.01841,277662.10829
264168.88963,292410.26721,303671.61818,294838.82861
309714.30096,300124.49529,304599.33975,311972.83127
320164.36277,292892.93391,290196.00901,289025.03749
302370.38175,289288.65099,300472.22881999996,299450.75210000004
298713.91053,305731.88153,286818.70725,288019.04367
271736.4776,311380.0257,288440.59848,304599.33975
232990.46018,320164.36277,338020.04527,348836.61795
292410.26721,297113.16438000003,310205.00137,302887.31444
353125.59732,309714.30096,302370.38175,295425.01861
297113.16438000003,285652.46579,282061.57918,280764.14222
292085.95293,281157.26459,280764.14222,276598.75899
296183.99037,285221.90699,279223.4275,284879.05770999996
315734.47341,288019.04367,297113.16438000003,289724.11979
300877.03213999997,296652.10394,279654.44244,290784.01841
284879.05770999996,310825.14602,295425.01861,292410.26721
