wt_0min_1,wt_0min_2,wt_60min_1,wt_60min_2
2526059.5682,2526059.5682,2526059.5682,2245337.1037
1757605.1502999999,1757605.1502999999,1757605.1502999999,2526059.5682
2245337.1037,2245337.1037,2245337.1037,1757605.1502999999
1307072.7261,1307072.7261,1410954.0989,1410954.0989
1410954.0989,1351165.2352,1351165.2352,1204053.4879
1351165.2352,1410954.0989,1307072.7261,1351165.2352
1001121.9752800001,1063626.2624,1204053.4879,1307072.7261
1115791.8165,1115791.8165,1001121.9752800001,1154287.2644
1154287.2644,1154287.2644,1063626.2624,1115791.8165
1204053.4879,1204053.4879,1115791.8165,1085361.6312
1085361.6312,1085361.6312,1154287.2644,1031596.90951
961720.64314,1001121.9752800001,926111.31882,1063626.2624
1063626.2624,961720.64314,938633.46105,961720.64314
987142.24373,973498.4884400001,987142.24373,1001121.9752800001
801034.9688,821670.96416,973498.4884400001,987142.24373
973498.4884400001,1031596.90951,1031596.90951,973498.4884400001
889715.16084,987142.24373,961720.64314,926111.31882
909387.0911000001,909387.0911000001,821670.96416,889715.16084
869941.43739,869941.43739,909387.0911000001,909387.0911000001
1031596.90951,926111.31882,1085361.6312,938633.46105
854871.2226600001,838472.7356100001,869941.43739,869941.43739
926111.31882,889715.16084,778565.22082,854871.2226600001
938633.46105,938633.46105,792317.90553,838472.7356100001
792317.90553,809893.37909,854871.2226600001,801034.9688
838472.7356100001,801034.9688,838472.7356100001,768070.11162
750369.93918,768070.11162,809893.37909,809893.37909
768070.11162,759605.4158900001,889715.16084,778565.22082
809893.37909,792317.90553,759605.4158900001,759605.4158900001
778565.22082,778565.22082,801034.9688,792317.90553
821670.96416,854871.2226600001,768070.11162,750369.93918
759605.4158900001,750369.93918,719001.74621,735188.30861
735188.30861,719001.74621,750369.93918,693441.8931
661202.86148,626218.43922,482626.09809999994,821670.96416
719001.74621,708808.73729,708808.73729,708808.73729
724566.8228,724566.8228,693441.8931,700021.5363
603312.86381,617209.20425,700021.5363,724566.8228
539616.58955,550443.0330299999,735188.30861,670659.31286
700021.5363,688290.21328,600286.23251,719001.74621
693441.8931,677877.12186,724566.8228,676861.4273099999
637237.18706,637237.18706,688290.21328,677877.12186
626218.43922,661202.86148,637237.18706,683882.74624
683882.74624,676861.4273099999,670659.31286,637237.18706
676861.4273099999,670659.31286,676861.4273099999,661202.86148
617209.20425,655019.81579,677877.12186,648685.96441
708808.73729,735188.30861,664658.25648,664658.25648
624095.42993,620013.17587,683882.74624,620013.17587
607863.79567,588171.35218,553665.92769,688290.21328
568410.51251,603312.86381,626218.43922,644976.81227
677877.12186,683882.74624,631814.6112800001,615542.39684
648685.96441,648685.96441,644976.81227,609282.40751
615542.39684,644976.81227,661202.86148,612185.8629
664658.25648,664658.25648,615542.39684,604437.3036
575346.20478,604437.3036,536741.78646,631814.6112800001
688290.21328,693441.8931,655019.81579,590129.72852
655019.81579,624095.42993,590129.72852,617209.20425
556316.40287,556316.40287,578615.8315399999,655019.81579
670659.31286,700021.5363,640114.07401,624095.42993
620013.17587,615542.39684,612185.8629,588171.35218
631814.6112800001,631814.6112800001,620013.17587,578615.8315399999
612185.8629,592876.03403,604437.3036,592876.03403
644976.81227,640114.07401,603312.86381,596447.08043
491300.55789,465900.072,419126.05047,640114.07401
553665.92769,585748.2863299999,607863.79567,585748.2863299999
604437.3036,612185.8629,617209.20425,582433.5945
596447.08043,596447.08043,648685.96441,575346.20478
640114.07401,607863.79567,596447.08043,571272.96121
573008.98704,590129.72852,575346.20478,556316.40287
582433.5945,539616.58955,534177.6700500001,600286.23251
609282.40751,609282.40751,565318.7198699999,558156.7882000001
524822.05961,518255.61519,447295.87503000005,607863.79567
526890.68702,492499.34284000006,398184.33875,626218.43922
542195.71042,546483.71513,588171.35218,573008.98704
578615.8315399999,578615.8315399999,585748.2863299999,552115.55295
534177.6700500001,512201.22904,466790.41730000003,603312.86381
590129.72852,568410.51251,582433.5945,553665.92769
592876.03403,600286.23251,556316.40287,522317.25149999995
600286.23251,575346.20478,573008.98704,548315.50089
546483.71513,544557.43618,558156.7882000001,534177.6700500001
550443.0330299999,558156.7882000001,546483.71513,550443.0330299999
571272.96121,565318.7198699999,624095.42993,520135.75417
560698.75544,548315.50089,592876.03403,514954.92672
531727.97728,522317.25149999995,571272.96121,560698.75544
480899.50647,500895.10665,609282.40751,568410.51251
508604.81815,552115.55295,568410.51251,544557.43618
588171.35218,573008.98704,548315.50089,533342.74139
565318.7198699999,571272.96121,544557.43618,503599.89726999996
517070.54715999996,496257.69194,425817.38342,565318.7198699999
558156.7882000001,553665.92769,529704.56452,500895.10665
585748.2863299999,582433.5945,522317.25149999995,526890.68702
471056.44135999994,460455.97187,508604.81815,542195.71042
522317.25149999995,534177.6700500001,542195.71042,489511.80414
498839.85133,503599.89726999996,454861.64128,529704.56452
512201.22904,505635.41102999996,478831.53121,536741.78646
552115.55295,560698.75544,526890.68702,494416.81943
544557.43618,524822.05961,533342.74139,508604.81815
518255.61519,485669.73717,531727.97728,539616.58955
529704.56452,520135.75417,550443.0330299999,485669.73717
533342.74139,526890.68702,560698.75544,466790.41730000003
499984.30696,497471.06682,520135.75417,509715.17233
509715.17233,533342.74139,485669.73717,512201.22904
520135.75417,536741.78646,496257.69194,474537.98244000005
505635.41102999996,531727.97728,458541.02392999997,498839.85133
548315.50089,542195.71042,499984.30696,484200.4608
536741.78646,529704.56452,505635.41102999996,499984.30696
497471.06682,451983.26131999993,491300.55789,518255.61519
496257.69194,508604.81815,509715.17233,480899.50647
489511.80414,433987.49156,524822.05961,546483.71513
503599.89726999996,499984.30696,480899.50647,496257.69194
448707.01584,445249.44669,518255.61519,505635.41102999996
494416.81943,494416.81943,492499.34284000006,492499.34284000006
461714.11253000004,482626.09809999994,453125.14512,487867.56409999996
405008.37887,384363.75061,381201.91508,524822.05961
416550.48021999997,442525.52687,552115.55295,471056.44135999994
445249.44669,436310.92692,363095.01418,517070.54715999996
487867.56409999996,498839.85133,512201.22904,477039.30767999997
423621.30478,418364.26278,342077.26886,531727.97728
500895.10665,509715.17233,461714.11253000004,451120.20669
440485.30302999995,446437.61319000006,498839.85133,497471.06682
484200.4608,489511.80414,500895.10665,473239.84269
463289.85947,451120.20669,539616.58955,478831.53121
492499.34284000006,514954.92672,494416.81943,465900.072
514954.92672,517070.54715999996,457823.21403000003,469020.11950000003
464959.99566,473239.84269,477039.30767999997,461714.11253000004
473239.84269,480899.50647,487867.56409999996,449691.29835
485669.73717,444025.40764,503599.89726999996,464959.99566
474537.98244000005,487867.56409999996,408148.16362,460455.97187
451120.20669,437403.08162,489511.80414,458541.02392999997
419723.86941,405526.60737,517070.54715999996,491300.55789
465900.072,478831.53121,417407.73712,453125.14512
432401.444,413061.96284,514954.92672,463289.85947
454861.64128,464959.99566,460455.97187,454861.64128
477039.30767999997,469020.11950000003,451120.20669,434693.24048
478831.53121,491300.55789,446437.61319000006,427938.54994
441401.04494000005,449691.29835,464959.99566,482626.09809999994
460455.97187,471056.44135999994,436310.92692,448707.01584
420694.93176999997,419723.86941,497471.06682,430616.31963
426764.06853,439497.3475,463289.85947,444025.40764
394169.29125999997,413829.25363,471056.44135999994,426764.06853
451983.26131999993,466790.41730000003,441401.04494000005,438787.30258
410721.27023,425817.38342,469020.11950000003,445249.44669
