env_0min_1,env_0min_2,env_5min_1,env_5min_2
291876.17741,392156.87075999996,410636.00174000004,410636.00174000004
406755.99162,349260.04262,390772.39292,362433.89259
310962.92183,413369.6925,400030.17138,386583.30507999996
380067.32742,353711.39447,354595.66478,363854.01738
345328.04711000004,354595.66478,347133.19626,341894.29627
385532.33541,373673.60872,363083.81176,350558.9291
329535.71731,387429.89062,370503.81118,373673.60872
366311.9845,331696.7551,352592.03313,365269.41157999996
386583.30507999996,384644.19902,335777.55145,345328.04711000004
344515.99861,383658.49619,331696.7551,349976.26275
375361.05741,364501.94701999996,371605.96511,392156.87075999996
397995.38046,347133.19626,398786.41058,329849.79244
362433.89259,348599.05795,347877.1951,351314.36716
370503.81118,351314.36716,333758.51502,340414.85597000003
365269.41157999996,340414.85597000003,356902.59777,367684.60496
374727.95944,365269.41157999996,348599.05795,344515.99861
353711.39447,337502.08952000004,361342.74470000004,364501.94701999996
342615.92328,352592.03313,351314.36716,356250.61238
370993.90124,379267.77135,336608.50144,328621.3234
326937.37366,338957.81409999996,328023.44334999996,346301.90084
364501.94701999996,344515.99861,340691.48972,354595.66478
355338.93132000003,330810.27096,366311.9845,338407.64295999997
349260.04262,335777.55145,360493.52544,349260.04262
363083.81176,368642.59575,350558.9291,342615.92328
368642.59575,356902.59777,338957.81409999996,353711.39447
321738.65069,345328.04711000004,341894.29627,348599.05795
349976.26275,349976.26275,337502.08952000004,341206.15258
360493.52544,340691.48972,341206.15258,333758.51502
376409.55047,343617.97706999996,356250.61238,323861.32234
338407.64295999997,356250.61238,323426.71013,326937.37366
351314.36716,323426.71013,321738.65069,324463.99101999996
354595.66478,322950.42912,338407.64295999997,332158.13249
337502.08952000004,335067.30151,332158.13249,343617.97706999996
341206.15258,333758.51502,320034.7279,320798.04403999995
359301.66958999995,316951.33434,339709.82863,322368.86906
330316.40819,332158.13249,345328.04711000004,337502.08952000004
323861.32234,323861.32234,314379.44391000003,372817.37624
338957.81409999996,329535.71731,318468.86121,330316.40819
325055.95177,328023.44334999996,322368.86906,335777.55145
348599.05795,318468.86121,317347.8562,330810.27096
343617.97706999996,330316.40819,329535.71731,335067.30151
339709.82863,322368.86906,319311.29071,334565.95624
346301.90084,328621.3234,308545.50627,328023.44334999996
316244.33729,320034.7279,322950.42912,340691.48972
324463.99101999996,309774.02944,323861.32234,332921.08924
328621.3234,301721.32873999997,325055.95177,325055.95177
312973.27225000004,325856.97352,326937.37366,338957.81409999996
260068.14805000002,409236.50642,370993.90124,347133.19626
