wt_5min_1,wt_5min_2,env_5min_1,env_5min_2
114088.5814,106355.103009,143626.52409999998,104418.05165200001
116441.13609,123260.20963000001,112108.2023,122806.47841000001
118828.30587,117321.16983,106894.744713,123260.20963000001
135431.90958,98178.14111200001,189620.01201,100684.209104
127799.59344,85518.593621,117781.46185,112433.20124
118315.08936999999,77416.535566,118828.30587,119242.60143
113469.52708,118315.08936999999,101701.742381,111084.00142000002
117781.46185,127015.01165,110603.64327,120855.77305
125452.54968999999,138407.73442,87205.888006,112108.2023
99763.78091300001,103321.805152,101208.184913,115018.79363
103975.145181,111084.00142000002,97679.950094,101940.456215
101701.742381,116441.13609,93920.9074,103975.145181
117321.16983,94903.415871,103321.805152,114088.5814
119902.41851999999,72951.195536,109163.4269,118828.30587
132366.61981,100684.209104,121479.13422,147750.97659
110603.64327,114650.43075999999,99763.78091300001,109730.19553
101208.184913,112906.72987,98178.14111200001,108427.1303
104979.75361599999,110603.64327,91018.379921,98906.021227
98548.783716,97679.950094,95187.83313700001,101208.184913
91504.879294,95669.875044,77907.48595500001,82278.76365499999
102606.74852200001,115018.79363,96918.103122,118315.08936999999
107848.67254999999,111717.03078,108427.1303,97679.950094
97428.517964,99763.78091300001,94414.71914999999,103321.805152
108427.1303,108427.1303,103975.145181,88275.002382
109163.4269,84763.534277,95840.543624,103039.585523
97679.950094,98906.021227,88817.36640999999,96529.263188
95840.543624,105888.807351,89814.62894200001,100452.15196
103039.585523,86029.74755100001,90337.061268,99763.78091300001
100158.37056899999,94662.006366,92051.729137,91340.961774
98178.14111200001,116018.41946,104188.632166,116018.41946
109730.19553,104979.75361599999,161261.91587,96094.51789
111717.03078,126239.13618,114088.5814,91018.379921
106894.744713,93920.9074,134657.24701,84628.85652599999
79672.275989,96529.263188,91340.961774,94662.006366
87683.97823400001,119242.60143,83376.307684,96918.103122
105888.807351,92604.752236,98906.021227,106894.744713
98906.021227,102606.74852200001,100158.37056899999,107529.84775
78821.42725899999,83912.694511,77527.613119,71506.43929099999
103321.805152,90337.061268,89274.09477699999,110218.94125999999
89102.41810899999,88275.002382,86577.153545,93612.115614
96529.263188,107529.84775,94903.415871,105888.807351
96094.51789,105379.344575,85323.57278700001,93920.9074
89814.62894200001,93612.115614,91850.340364,102606.74852200001
88543.673642,103039.585523,85733.00678099999,90102.4588
87205.888006,90678.28823899999,85518.593621,97185.236429
91850.340364,97185.236429,86200.041543,89547.66482199999
88817.36640999999,96918.103122,81119.695247,97428.517964
102380.104461,109730.19553,86383.725866,94903.415871
60733.160679,93195.165889,104418.05165200001,101701.742381
107529.84775,101208.184913,117321.16983,76236.622849
122449.06476000001,104418.05165200001,151950.25403,65310.006161
96918.103122,95840.543624,92477.645205,102380.104461
92604.752236,82941.765336,87430.956083,100158.37056899999
124324.97505000001,122806.47841000001,111084.00142000002,113469.52708
82278.76365499999,86383.725866,82278.76365499999,87335.580957
92863.498215,90102.4588,84079.69170699999,98178.14111200001
94903.415871,80147.65164899999,87958.04498600001,94235.523934
95669.875044,100158.37056899999,93195.165889,98548.783716
94662.006366,94235.523934,88543.673642,68946.01265399999
89547.66482199999,83813.026174,80700.043305,88817.36640999999
100684.209104,98548.783716,94235.523934,104979.75361599999
112433.20124,74959.162603,115018.79363,93195.165889
78352.69378599999,74462.890136,73894.02263699999,85069.361311
116018.41946,63386.323451,98548.783716,95840.543624
99224.115456,65310.006161,89102.41810899999,107848.67254999999
81944.42173500001,102380.104461,83912.694511,87430.956083
73528.276851,79220.99376000001,72812.67829,75781.635624
85069.361311,85323.57278700001,79559.168554,104188.632166
93195.165889,87335.580957,91504.879294,92051.729137
84628.85652599999,92477.645205,78188.439461,87958.04498600001
84763.534277,87205.888006,75781.635624,87683.97823400001
86200.041543,101940.456215,73066.867853,88543.673642
80147.65164899999,97428.517964,97428.517964,105379.344575
87430.956083,96094.51789,81628.471261,89274.09477699999
87335.580957,104188.632166,76612.09197,109163.4269
84456.098127,89102.41810899999,89547.66482199999,84456.098127
80942.868631,103975.145181,71876.159508,80700.043305
104188.632166,79672.275989,107529.84775,90337.061268
85733.00678099999,100452.15196,73528.276851,78352.69378599999
83813.026174,91504.879294,80147.65164899999,81119.695247
79559.168554,88817.36640999999,77119.031631,81792.428144
92477.645205,76302.617386,82487.46220899999,81944.42173500001
94414.71914999999,91018.379921,81944.42173500001,85518.593621
80257.430441,87430.956083,73388.400923,80942.868631
79220.99376000001,82127.673173,80257.430441,74001.96092
83376.307684,85069.361311,76432.743,79346.64683299999
95187.83313700001,64345.773112,92604.752236,117321.16983
104418.05165200001,60943.821169999996,100452.15196,94414.71914999999
93920.9074,70556.859895,81479.111907,95669.875044
89274.09477699999,76513.406609,81792.428144,86200.041543
90678.28823899999,92051.729137,71062.686934,78821.42725899999
97185.236429,77764.58574899999,84456.098127,86383.725866
82941.765336,77907.48595500001,82941.765336,78023.317797
77764.58574899999,88543.673642,75212.991907,77907.48595500001
81271.37916699999,86577.153545,86815.883241,92477.645205
90102.4588,81119.695247,77265.73809,82941.765336
75632.81603100001,75365.57156499999,127799.59344,63875.12753400001
91340.961774,68027.506481,78640.20862399999,91504.879294
74136.177777,89814.62894200001,75365.57156499999,81479.111907
81479.111907,92863.498215,92863.498215,91850.340364
74301.517269,86200.041543,67100.72358800001,87205.888006
100452.15196,99224.115456,99224.115456,110603.64327
86815.883241,76432.743,76707.46538400001,83171.93423
92051.729137,64076.30037700001,119902.41851999999,63513.354837
76612.09197,89274.09477699999,76236.622849,80147.65164899999
86029.74755100001,70821.711125,84628.85652599999,82127.673173
90337.061268,65858.876548,85069.361311,83912.694511
82127.673173,72237.724552,76086.181319,76432.743
69651.04044699999,101701.742381,70044.200189,81271.37916699999
78023.317797,82278.76365499999,74959.162603,73894.02263699999
76962.33763,85733.00678099999,71700.336434,72450.432282
84186.609151,91340.961774,77764.58574899999,92604.752236
80700.043305,76886.543527,86029.74755100001,89814.62894200001
74001.96092,87683.97823400001,64901.080801000004,82487.46220899999
76302.617386,84186.609151,74839.042508,78640.20862399999
68768.247364,73894.02263699999,72125.46975,83376.307684
71700.336434,73528.276851,74001.96092,80257.430441
68614.962315,74596.376911,69501.771683,66813.563106
83171.93423,86815.883241,75014.784332,74959.162603
76513.406609,75781.635624,70348.564109,76612.09197
83912.694511,64901.080801000004,74136.177777,85323.57278700001
76086.181319,75212.991907,74301.517269,90678.28823899999
81628.471261,87958.04498600001,82127.673173,73684.150269
78188.439461,89547.66482199999,63875.12753400001,74136.177777
73066.867853,81944.42173500001,72003.400406,76707.46538400001
77907.48595500001,80700.043305,69651.04044699999,77265.73809
78640.20862399999,68768.247364,71506.43929099999,71876.159508
72125.46975,77527.613119,72237.724552,82708.431959
83634.079985,94414.71914999999,79346.64683299999,84079.69170699999
77615.94657,61450.551142,76513.406609,84763.534277
77119.031631,71876.159508,73243.701128,79672.275989
73894.02263699999,70107.383468,67582.45806599999,76513.406609
69501.771683,91850.340364,65310.006161,73388.400923
75550.457043,81479.111907,78023.317797,76302.617386
68946.01265399999,70675.339147,67466.579125,74462.890136
71236.875856,77615.94657,65592.191737,71236.875856
76707.46538400001,75632.81603100001,78352.69378599999,86029.74755100001
86383.725866,53718.318805999996,87683.97823400001,83813.026174
81119.695247,84079.69170699999,77416.535566,92863.498215
60260.502214,63586.570099000004,68614.962315,66860.920898
93612.115614,61900.302478,95669.875044,77764.58574899999
77265.73809,79346.64683299999,75632.81603100001,78188.439461
76236.622849,69771.083422,96529.263188,68614.962315
70231.618661,78640.20862399999,62982.049827999996,67100.72358800001
71876.159508,72003.400406,65858.876548,69379.82271000001
69771.083422,76086.181319,66975.80068,72566.21436900001
75212.991907,77119.031631,78821.42725899999,84186.609151
70348.564109,77265.73809,67238.437389,74685.320466
70675.339147,76707.46538400001,65737.17471600001,73066.867853
72951.195536,73388.400923,65044.825593,69092.610541
68685.642748,80257.430441,77615.94657,72237.724552
70107.383468,74136.177777,70107.383468,81628.471261
79965.127498,80942.868631,83634.079985,68190.53501600001
67238.437389,84456.098127,62090.474077000006,70675.339147
66813.563106,75550.457043,64848.170744999996,69878.918044
75014.784332,78023.317797,65369.158103999995,70928.854255
73243.701128,60515.89531199999,69092.610541,66301.324414
76432.743,82708.431959,81271.37916699999,86577.153545
62789.10978700001,69501.771683,68258.01881200001,77119.031631
81792.428144,56054.50661900001,72649.33731900001,70231.618661
84079.69170699999,74301.517269,76886.543527,79965.127498
67940.43809400001,71831.322271,62920.145218000005,76086.181319
67355.81161,72812.67829,62789.10978700001,68461.580507
69092.610541,70928.854255,66720.559991,70821.711125
66580.994938,71236.875856,68382.994278,72951.195536
77416.535566,73066.867853,105379.344575,59831.342426999996
68258.01881200001,59610.935534000004,64174.326272,73528.276851
71506.43929099999,62920.145218000005,71236.875856,69771.083422
72812.67829,79965.127498,79672.275989,85733.00678099999
78973.640945,50524.206689,75550.457043,78973.640945
59502.004046,63291.236113,55414.307536,56530.454235
76886.543527,64562.168797,68124.556169,75212.991907
63513.354837,66860.920898,69379.82271000001,75365.57156499999
68190.53501600001,78973.640945,72566.21436900001,67582.45806599999
65945.54791400001,78352.69378599999,66398.629939,77615.94657
71384.580279,72566.21436900001,65945.54791400001,75014.784332
67100.72358800001,76962.33763,61757.00601,74839.042508
68124.556169,69651.04044699999,64345.773112,71384.580279
70444.641626,65158.898010000004,102380.104461,50801.998495
82708.431959,63710.350605,70675.339147,99224.115456
63386.323451,72450.432282,64403.078992999996,65858.876548
94235.523934,81271.37916699999,142146.26528,61450.551142
73684.150269,62432.681047000005,61243.191758999994,64345.773112
74685.320466,79559.168554,80942.868631,60996.72945100001
74462.890136,54646.409542,70231.618661,74596.376911
77527.613119,51012.088721,74462.890136,72812.67829
86577.153545,69878.918044,87335.580957,49325.270116
60324.161928,81628.471261,54503.226668999996,77416.535566
65487.551769,66813.563106,64471.779732,63129.192555
67582.45806599999,65487.551769,62002.896198,65998.30624800001
66720.559991,73684.150269,63939.289385,65945.54791400001
62982.049827999996,67355.81161,66860.920898,74301.517269
65858.876548,74839.042508,63586.570099000004,61900.302478
70044.200189,64743.949095,61300.275601999994,66231.970906
50874.390615,57968.968496,51522.939782,48215.481061000006
66860.920898,68946.01265399999,61900.302478,68027.506481
65310.006161,71384.580279,63386.323451,70444.641626
63222.93287599999,72649.33731900001,62498.270945,67355.81161
72649.33731900001,59176.36193200001,64562.168797,62982.049827999996
65592.191737,68382.994278,62736.359829999994,62432.681047000005
68461.580507,67238.437389,68768.247364,72003.400406
75781.635624,56761.031510999994,70821.711125,70107.383468
61757.00601,67100.72358800001,64253.311795999995,58093.667117
63811.145258000004,59502.004046,59176.36193200001,63071.134826
65369.158103999995,65681.354995,62612.949421000005,67238.437389
64345.773112,67940.43809400001,61581.681281000005,66398.629939
85518.593621,73243.701128,88275.002382,56761.031510999994
63939.289385,71700.336434,62432.681047000005,64403.078992999996
71831.322271,49537.737103,66301.324414,86815.883241
63291.236113,65369.158103999995,90678.28823899999,65592.191737
58288.056283,57781.858154,56054.50661900001,53236.828905999995
69878.918044,69379.82271000001,111717.03078,55583.66112799999
62612.949421000005,66231.970906,63634.97891799999,72292.27417
72237.724552,65998.30624800001,67355.81161,65681.354995
66975.80068,76236.622849,63513.354837,67750.747248
60112.340018999996,61532.682896000006,54293.18780199999,58747.58664000001
66301.324414,68685.642748,58664.401969,65369.158103999995
62090.474077000006,74001.96092,58373.367854,64901.080801000004
87958.04498600001,113469.52708,71384.580279,71831.322271
66231.970906,55322.572283999994,68027.506481,67940.43809400001
64650.103622999995,67750.747248,59433.104856000005,76962.33763
56970.566802999994,66720.559991,53933.703090999996,83634.079985
64253.311795999995,68190.53501600001,57968.968496,62174.013874
68382.994278,62287.016714000005,69878.918044,75550.457043
59610.935534000004,66975.80068,61062.240585,65044.825593
58373.367854,58927.535496000004,59831.342426999996,51012.088721
65737.17471600001,62361.231667,63071.134826,62736.359829999994
55788.25246999999,57141.618727,52499.089590999996,52260.170798
74839.042508,83171.93423,72951.195536,55888.549514
65158.898010000004,70444.641626,55583.66112799999,59433.104856000005
64901.080801000004,83634.079985,58536.235290000004,62090.474077000006
59277.403951,61581.681281000005,57293.184623,57141.618727
91018.379921,109163.4269,150124.58963,41337.456205
66398.629939,70348.564109,68190.53501600001,69501.771683
59831.342426999996,56116.95953000001,58288.056283,58804.216275
79346.64683299999,82487.46220899999,116018.41946,54801.630382
40740.426473,58225.977082,63291.236113,57496.297146000004
64174.326272,78188.439461,64006.97681099999,68685.642748
70556.859895,47810.040198999995,65681.354995,68382.994278
60841.484057,63939.289385,55836.386731,66975.80068
59969.877257,55888.549514,58573.512754999996,58162.911181999996
56334.538762,68124.556169,60515.89531199999,76886.543527
62174.013874,71062.686934,57410.387649,58039.578535
55636.380423,72292.27417,57141.618727,70556.859895
62736.359829999994,60427.85737,57781.858154,60427.85737
60060.907616000004,56334.538762,59012.478779,64076.30037700001
61824.127465000005,59831.342426999996,60427.85737,55243.68645
64471.779732,69092.610541,57652.911604999994,65487.551769
60515.89531199999,65737.17471600001,55707.906640999994,57918.673945
85323.57278700001,71506.43929099999,79965.127498,60841.484057
63129.192555,67466.579125,55052.395534999996,62920.145218000005
56606.453251000006,66301.324414,55788.25246999999,61711.083045
57293.184623,61824.127465000005,100684.209104,41882.705527
62432.681047000005,68614.962315,54965.534118999996,64006.97681099999
63875.12753400001,72125.46975,60996.72945100001,55707.906640999994
58872.326675,61243.191758999994,60613.140574,61757.00601
56530.454235,60733.160679,54199.90452900001,61581.681281000005
82487.46220899999,62090.474077000006,96094.51789,60260.502214
57652.911604999994,50611.860419,56530.454235,69651.04044699999
55414.307536,58747.58664000001,53674.98824399999,58573.512754999996
61300.275601999994,65945.54791400001,54572.866801000004,63222.93287599999
72566.21436900001,75014.784332,66580.994938,70348.564109
55243.68645,62612.949421000005,49604.899243,60112.340018999996
75365.57156499999,52035.70821,70444.641626,68124.556169
71062.686934,63634.97891799999,67750.747248,61135.152118000005
72292.27417,74685.320466,76962.33763,73243.701128
58162.911181999996,64174.326272,60324.161928,65737.17471600001
51915.895231,55788.25246999999,56606.453251000006,64253.311795999995
60996.72945100001,56191.013962000005,64743.949095,62612.949421000005
53066.14387000001,56606.453251000006,45484.927257999996,48327.539983999995
63710.350605,58872.326675,59898.026014,58288.056283
57382.474124,62002.896198,54646.409542,56662.68079
59078.397667,64006.97681099999,59610.935534000004,59012.478779
72450.432282,49604.899243,59676.679541000005,68768.247364
64006.97681099999,64650.103622999995,56849.15347,55836.386731
58664.401969,58288.056283,64650.103622999995,66580.994938
57141.618727,53933.703090999996,57079.113149000004,64743.949095
58225.977082,63129.192555,56925.108221999995,59078.397667
47890.151595999996,50977.31539,46171.533018,44887.273163
63586.570099000004,55636.380423,57728.385065,59176.36193200001
58747.58664000001,60613.140574,53476.26594699999,60613.140574
74596.376911,47476.409174,74596.376911,47863.023279
57728.385065,53066.14387000001,56970.566802999994,53476.26594699999
55147.867217000006,55508.924382,57591.090257,62361.231667
58804.216275,61711.083045,58804.216275,65158.898010000004
55888.549514,66580.994938,51706.954523,62002.896198
58536.235290000004,61135.152118000005,52805.270665000004,56275.337123000005
54503.226668999996,58039.578535,56191.013962000005,62287.016714000005
56191.013962000005,62789.10978700001,52691.995279,58536.235290000004
58093.667117,60841.484057,54067.927998,56849.15347
65044.825593,41882.705527,60260.502214,64650.103622999995
61711.083045,62736.359829999994,58162.911181999996,59676.679541000005
54436.586705999995,54503.226668999996,55636.380423,54503.226668999996
64743.949095,54067.927998,61711.083045,61062.240585
58573.512754999996,60260.502214,52995.189730000006,56466.587564
59898.026014,64848.170744999996,53158.645021000004,53718.318805999996
67466.579125,46956.09427,54928.257413,63586.570099000004
64403.078992999996,57231.874081999995,94662.006366,42717.739062
60943.821169999996,59342.32721599999,59342.32721599999,54646.409542
50131.395016,59078.397667,52035.70821,60324.161928
70928.854255,47087.581443,62287.016714000005,71062.686934
50524.206689,57591.090257,50874.390615,49731.123615000004
61135.152118000005,64403.078992999996,52395.97958,50771.201216
52631.62619,56849.15347,50524.206689,89102.41810899999
56466.587564,64253.311795999995,49124.356272,57968.968496
55943.51427,56237.215657,52605.614591,64174.326272
69379.82271000001,41516.041406,65158.898010000004,63710.350605
52995.189730000006,58573.512754999996,58093.667117,66720.559991
56054.50661900001,57410.387649,57382.474124,57652.911604999994
56761.031510999994,63513.354837,57231.874081999995,61824.127465000005
53338.450515,54736.499623,62174.013874,57781.858154
65998.30624800001,49124.356272,59502.004046,68258.01881200001
88275.002382,38201.999563000005,103039.585523,45053.532663000005
45346.286138,61757.00601,47262.929603000004,59502.004046
61581.681281000005,53338.450515,55943.51427,58225.977082
61450.551142,53602.289686,69771.083422,48047.198779
51097.229054,57382.474124,50611.860419,56334.538762
46371.363706,48436.351884,50771.201216,56427.283918999994
54572.866801000004,59277.403951,49325.270116,60515.89531199999
62361.231667,78821.42725899999,54870.22102700001,57079.113149000004
57496.297146000004,51627.300467,59277.403951,70044.200189
64562.168797,68461.580507,59969.877257,75632.81603100001
67750.747248,81792.428144,58927.535496000004,72125.46975
63634.97891799999,52631.62619,84763.534277,51522.939782
42717.739062,51915.895231,42815.583063,46669.09489
51172.117664000005,60060.907616000004,53786.191590999995,57382.474124
56275.337123000005,54027.821291,56275.337123000005,71700.336434
70821.711125,63875.12753400001,76302.617386,53273.594084000004
64076.30037700001,57652.911604999994,54801.630382,58872.326675
59176.36193200001,40486.899044000005,53602.289686,67466.579125
52316.817637,43891.843056,63129.192555,49865.140021
55836.386731,56662.68079,54027.821291,55636.380423
55322.572283999994,57079.113149000004,53517.820068,56191.013962000005
54965.534118999996,65592.191737,82708.431959,53602.289686
49013.270047,60996.72945100001,47963.981082,55414.307536
57231.874081999995,52395.97958,51794.848826999994,64562.168797
49731.123615000004,51434.744353,55243.68645,58373.367854
54199.90452900001,55147.867217000006,54736.499623,45346.286138
57781.858154,40791.783687,53338.450515,63811.145258000004
42678.651192000005,46815.436858,39488.463767,42606.226748
57410.387649,57918.673945,51434.744353,51384.503412000005
55707.906640999994,64471.779732,60112.340018999996,50473.693676
61900.302478,46171.533018,56334.538762,58927.535496000004
58927.535496000004,63222.93287599999,49429.282788,72649.33731900001
59012.478779,55052.395534999996,50571.425686999995,53338.450515
65681.354995,59012.478779,73684.150269,50217.595562
47262.929603000004,50571.425686999995,49289.932013,59277.403951
52395.97958,55583.66112799999,49397.072229,55943.51427
73388.400923,59676.679541000005,70928.854255,79220.99376000001
61062.240585,118828.30587,184029.42095,28485.215787
50167.62794,57293.184623,48388.323317999995,60060.907616000004
56427.283918999994,44208.997849,52631.62619,54293.18780199999
48507.619269,51986.489096,51571.121866,53158.645021000004
53718.318805999996,44537.323956,56466.587564,56970.566802999994
52189.002782,46580.629098,55147.867217000006,56054.50661900001
55583.66112799999,54199.90452900001,46500.993770999994,52035.70821
53674.98824399999,54928.257413,47810.040198999995,52469.534094
41959.004960000006,45381.248246,45257.034159999996,46789.845118
45963.673263,63811.145258000004,41916.730001,59610.935534000004
68027.506481,37745.219502,84186.609151,44088.821201
60427.85737,70044.200189,61532.682896000006,63386.323451
46669.09489,49397.072229,43414.890229,44110.809476
50351.531967,54801.630382,47375.23181,55052.395534999996
45710.580243,52316.817637,40675.926196,39569.505605
55052.395534999996,37903.200139,55508.924382,54125.782341
