wt_0min_1,wt_0min_2,wt_5min_1,wt_5min_2
393479.8001,407898.65376,397995.38046,426106.2628
392156.87075999996,400902.46191,405648.57368000003,427073.53203
403279.62674000004,397995.38046,385532.33541,396351.89731000003
406755.99162,414550.84645,400030.17138,402832.04306
355338.93132000003,366311.9845,424955.17282,386583.30507999996
400030.17138,392156.87075999996,383658.49619,410636.00174000004
373673.60872,355338.93132000003,394267.26855000004,388629.43658
388629.43658,385532.33541,381939.24100000004,403279.62674000004
389863.85422,401752.50809,386583.30507999996,409236.50642
366311.9845,356902.59777,400902.46191,411894.1131
344515.99861,323426.71013,470494.6931,304601.33863
361342.74470000004,371605.96511,393479.8001,406755.99162
414550.84645,411894.1131,369683.34785,413369.6925
421003.02241000003,424955.17282,363083.81176,400902.46191
417023.78417,417023.78417,382781.2407,394267.26855000004
382781.2407,389863.85422,409236.50642,427986.22484
381939.24100000004,381130.92196,403279.62674000004,358097.18098
402832.04306,390772.39292,370993.90124,377733.27087
363083.81176,370503.81118,387429.89062,405648.57368000003
358097.18098,360493.52544,415698.63271,356250.61238
430686.58162,422191.77534,370503.81118,381130.92196
356250.61238,343617.97706999996,418287.93518,325055.95177
394267.26855000004,393479.8001,381130.92196,392156.87075999996
405648.57368000003,404763.93189,366311.9845,368642.59575
386583.30507999996,377733.27087,375361.05741,395482.52908
400902.46191,421003.02241000003,364501.94701999996,382781.2407
364501.94701999996,380067.32742,377733.27087,389863.85422
371605.96511,372817.37624,374727.95944,407898.65376
384644.19902,341894.29627,384644.19902,369683.34785
374727.95944,379267.77135,373673.60872,401752.50809
372817.37624,387429.89062,372817.37624,400030.17138
407898.65376,370993.90124,368642.59575,334565.95624
341894.29627,338407.64295999997,388629.43658,393479.8001
381130.92196,405648.57368000003,355338.93132000003,380067.32742
368642.59575,365269.41157999996,371605.96511,385532.33541
379267.77135,394267.26855000004,363854.01738,387429.89062
301721.32873999997,287755.7093,423309.12778000004,296634.94156
346301.90084,322950.42912,404763.93189,289076.16074
315358.79153,336608.50144,356250.61238,390772.39292
343617.97706999996,335777.55145,414550.84645,332921.08924
370503.81118,369683.34785,345328.04711000004,376409.55047
365269.41157999996,375361.05741,376409.55047,372817.37624
360493.52544,367684.60496,349976.26275,381939.24100000004
362433.89259,359301.66958999995,380067.32742,349260.04262
377733.27087,376409.55047,356902.59777,349976.26275
413369.6925,395482.52908,340691.48972,338957.81409999996
385532.33541,386583.30507999996,354595.66478,365269.41157999996
325856.97352,333758.51502,365269.41157999996,363854.01738
309774.02944,322368.86906,358097.18098,374727.95944
380067.32742,373673.60872,344515.99861,364501.94701999996
387429.89062,383658.49619,342615.92328,354595.66478
339709.82863,345328.04711000004,360493.52544,361342.74470000004
369683.34785,384644.19902,343617.97706999996,363083.81176
376409.55047,342615.92328,359301.66958999995,340691.48972
345328.04711000004,346301.90084,367684.60496,356902.59777
383658.49619,381939.24100000004,346301.90084,347877.1951
352592.03313,374727.95944,349260.04262,355338.93132000003
335777.55145,356250.61238,350558.9291,370993.90124
323861.32234,349260.04262,341894.29627,370503.81118
319311.29071,329849.79244,351314.36716,383658.49619
338407.64295999997,338957.81409999996,340414.85597000003,339709.82863
359301.66958999995,363854.01738,347877.1951,351314.36716
338957.81409999996,358097.18098,331696.7551,379267.77135
354595.66478,363083.81176,338957.81409999996,345328.04711000004
348599.05795,349976.26275,337502.08952000004,347133.19626
320034.7279,312973.27225000004,348599.05795,353711.39447
370993.90124,361342.74470000004,329535.71731,332158.13249
367684.60496,364501.94701999996,323426.71013,333758.51502
341206.15258,350558.9291,333758.51502,344515.99861
317916.49948999996,328023.44334999996,347133.19626,352592.03313
353711.39447,351314.36716,326937.37366,330316.40819
375361.05741,325055.95177,352592.03313,309774.02944
349260.04262,320798.04403999995,341206.15258,329849.79244
316244.33729,354595.66478,305280.97002,367684.60496
350558.9291,368642.59575,315358.79153,346301.90084
326937.37366,332158.13249,320034.7279,359301.66958999995
347133.19626,340691.48972,334565.95624,340414.85597000003
332921.08924,329535.71731,325055.95177,330810.27096
356902.59777,348599.05795,317916.49948999996,350558.9291
349976.26275,352592.03313,330810.27096,341206.15258
340691.48972,344515.99861,338407.64295999997,338407.64295999997
332158.13249,337502.08952000004,332158.13249,316951.33434
334565.95624,324463.99101999996,328023.44334999996,366311.9845
329849.79244,301721.32873999997,329849.79244,322368.86906
314379.44391000003,286966.60672,379267.77135,237297.31872
320798.04403999995,309774.02944,324463.99101999996,303577.52558
321738.65069,311448.73056,335067.30151,323861.32234
328621.3234,341206.15258,335777.55145,297500.80460000003
363854.01738,362433.89259,312042.52205,329535.71731
347877.1951,353711.39447,308545.50627,348599.05795
342615.92328,339709.82863,322368.86906,331696.7551
302607.76284,279444.37167,362433.89259,253822.85227
330316.40819,335067.30151,318468.86121,337502.08952000004
298955.38368,319311.29071,330316.40819,328621.3234
249852.86562,260068.14805000002,332921.08924,362433.89259
312042.52205,302607.76284,317347.8562,312042.52205
337502.08952000004,340414.85597000003,313742.73457,318468.86121
307801.79746,330316.40819,306847.74831,335777.55145
300785.7053,310962.92183,309774.02944,322950.42912
351314.36716,347133.19626,305947.91936,323426.71013
287755.7093,302118.04568,310962.92183,360493.52544
306847.74831,303577.52558,328621.3234,320798.04403999995
300194.62751,289550.84629,353711.39447,255465.27114
289076.16074,291876.17741,336608.50144,325856.97352
340414.85597000003,347877.1951,301721.32873999997,321738.65069
285813.81687000004,264172.42075,361342.74470000004,249350.19792
305280.97002,273539.12904,316244.33729,313742.73457
265656.08944,276312.6215,323861.32234,342615.92328
312973.27225000004,306847.74831,322950.42912,335067.30151
313742.73457,316244.33729,309009.76635,319311.29071
335067.30151,328621.3234,314379.44391000003,309009.76635
322950.42912,323861.32234,321738.65069,295721.37985
333758.51502,334565.95624,296634.94156,317916.49948999996
318468.86121,312042.52205,320798.04403999995,312973.27225000004
298232.5835,305947.91936,300194.62751,311448.73056
329535.71731,315358.79153,302607.76284,314379.44391000003
311448.73056,326937.37366,307801.79746,324463.99101999996
336608.50144,331696.7551,297500.80460000003,305280.97002
270276.04883000004,277603.45857,295202.33194999996,320034.7279
323426.71013,316951.33434,298232.5835,308545.50627
308545.50627,296634.94156,294650.54581,317347.8562
293702.54188000003,295202.33194999996,285813.81687000004,326937.37366
286966.60672,298955.38368,302118.04568,316244.33729
330810.27096,332921.08924,300785.7053,302118.04568
309009.76635,309009.76635,293702.54188000003,306847.74831
276312.6215,307801.79746,291229.48422,328023.44334999996
316951.33434,330810.27096,298955.38368,310962.92183
303577.52558,317916.49948999996,273539.12904,305947.91936
331696.7551,325856.97352,277603.45857,298955.38368
328023.44334999996,291229.48422,292290.92457,273153.63637
325055.95177,318468.86121,281969.1799,293424.25665
292729.03336999996,282307.04094,311448.73056,294650.54581
278151.65227,289076.16074,299466.4153,298232.5835
266452.45169,274870.35727,339709.82863,232287.57843
248385.17268,284228.58366,292729.03336999996,315358.79153
282307.04094,305280.97002,289550.84629,300785.7053
310962.92183,321738.65069,279216.59988,299466.4153
324463.99101999996,317347.8562,272748.50615,292290.92457
317347.8562,272748.50615,295721.37985,284228.58366
296634.94156,262652.0114,285157.65331,276312.6215
299466.4153,304601.33863,284228.58366,291876.17741
244324.19575,250829.79366999998,312973.27225000004,272139.04942
288277.31008,293424.25665,277050.43367,286359.34935
264920.81046,271636.00081,291876.17741,307801.79746
273999.33435,265656.08944,319311.29071,236934.5912
304601.33863,313742.73457,276312.6215,301721.32873999997
290311.56987,288277.31008,287755.7093,292729.03336999996
279444.37167,295721.37985,289076.16074,282679.7073
297500.80460000003,285157.65331,286966.60672,274400.75812
322368.86906,320034.7279,267491.81519,293702.54188000003
292290.92457,297500.80460000003,279444.37167,289550.84629
293424.25665,290311.56987,286359.34935,295202.33194999996
211187.73273999998,232287.57843,316951.33434,258932.75269999998
267491.81519,277050.43367,288277.31008,255180.33763999998
272139.04942,262016.18462,293424.25665,281969.1799
271636.00081,278509.40391,303577.52558,290311.56987
253310.08893,256301.03112,304601.33863,233122.31644999998
302118.04568,300194.62751,263166.39168,288277.31008
294650.54581,308545.50627,290311.56987,244649.87636000002
260822.80688999998,257971.27557,264646.76116999995,285813.81687000004
263166.39168,251581.48232,284716.07845000003,278151.65227
279216.59988,284716.07845000003,271106.53058,284716.07845000003
289550.84629,294650.54581,258932.75269999998,281255.83845000004
282679.7073,300785.7053,267161.33488,270276.04883000004
264172.42075,255465.27114,273999.33435,282307.04094
285157.65331,272139.04942,278509.40391,286966.60672
291229.48422,292290.92457,267972.69463,279216.59988
305947.91936,314379.44391000003,271636.00081,257971.27557
274870.35727,263816.08213,264172.42075,262652.0114
284228.58366,281255.83845000004,274400.75812,267491.81519
281969.1799,285813.81687000004,268584.30532,277603.45857
280391.51479000004,273999.33435,266452.45169,266452.45169
264646.76116999995,254577.09446,275572.72709999996,239577.95399
277050.43367,282679.7073,257595.45408,277050.43367
261279.27168,280391.51479000004,254577.09446,291229.48422
251108.89502,245996.51776000002,281255.83845000004,251581.48232
286359.34935,292729.03336999996,260068.14805000002,264920.81046
274400.75812,278151.65227,262016.18462,255969.39451
