genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
110519.06605,123312.87741,112812.37813,112499.94936
169036.0636,169036.0636,140681.25788,148782.8878
132242.74240000002,121003.8297,184099.41598,170582.01598
148026.26174,160624.75237,83320.50371599999,99842.061706
145071.59034,146274.87493,128031.6416,137264.04968999999
164642.63950999998,156594.95771,153737.27656,147212.6906
146274.87493,165432.43001,146274.87493,161762.13848000002
131823.78251,142502.72084999998,151228.56695,145071.59034
158226.32837,143975.84513,161762.13848000002,165432.43001
115251.18996000002,118383.88444999998,109324.26662600001,115251.18996000002
117222.98217,121322.32818,162473.41793,166995.55743
123312.87741,137264.04968999999,148782.8878,131195.01001
133679.71272,143100.82541,137264.04968999999,134519.05098
120287.98114,180055.35095,115719.52707,138031.69266
127098.19777,147212.6906,126631.67575000001,132242.74240000002
118383.88444999998,117222.98217,164642.63950999998,154805.85708000002
122624.86104999999,136537.66856,143100.82541,126631.67575000001
194559.10283,153737.27656,116239.73782,129338.76750999999
111450.399733,126169.35296,100268.989174,101573.793802
94590.462746,105904.458987,129936.77746000001,143100.82541
128031.6416,129338.76750999999,130496.30957,133679.71272
143100.82541,148026.26174,123312.87741,123842.76443000001
130496.30957,135567.32752999998,128874.75561,127098.19777
119807.21613,125524.40007,121322.32818,121322.32818
123842.76443000001,119807.21613,142502.72084999998,130496.30957
131195.01001,120287.98114,125020.84968999999,159250.88947
136537.66856,139742.45649,136537.66856,128031.6416
140681.25788,148782.8878,77654.35194200001,78270.07479700001
119349.88002,101573.793802,145071.59034,139742.45649
128874.75561,132242.74240000002,117785.66794,106340.532629
116739.27437,124641.91910999999,114518.96111,117222.98217
111043.17219400001,109324.26662600001,125524.40007,136537.66856
121003.8297,117785.66794,138639.01218000002,129936.77746000001
104595.95805799999,129936.77746000001,92079.977308,104357.92383900001
122195.41045,125020.84968999999,115251.18996000002,115719.52707
112026.286433,122195.41045,112499.94936,116739.27437
72905.785876,76899.005041,106340.532629,96668.13696
176760.77305000002,174789.13577,95217.817157,113838.91909000001
172429.96113,52093.533455000004,141068.79687999998,138639.01218000002
137264.04968999999,128031.6416,122624.86104999999,123312.87741
108571.751479,116239.73782,104595.95805799999,110106.96879700001
86184.001119,91793.168892,127098.19777,124641.91910999999
126169.35296,116739.27437,120287.98114,113324.08406
180055.35095,75244.246181,126169.35296,125524.40007
107762.3041,112812.37813,97390.142389,112026.286433
141068.79687999998,138639.01218000002,111450.399733,109746.16457
96457.413249,93297.25080000001,131195.01001,126169.35296
138639.01218000002,133679.71272,105579.93817000001,110519.06605
114518.96111,112026.286433,110106.96879700001,96165.544298
106710.688785,106340.532629,113324.08406,120287.98114
106340.532629,91559.710949,132242.74240000002,117785.66794
74582.179938,63167.936939,169036.0636,153737.27656
110106.96879700001,123842.76443000001,101090.96467300001,98357.465365
104357.92383900001,126631.67575000001,102521.391273,87882.498803
83186.988481,78929.759441,147212.6906,131823.78251
103629.86901,104357.92383900001,111043.17219400001,109324.26662600001
102165.33676,113838.91909000001,104357.92383900001,95217.817157
109324.26662600001,103202.990313,135567.32752999998,135567.32752999998
109001.201612,134519.05098,84396.15779699999,87126.255008
112812.37813,109746.16457,104985.57307500001,107762.3041
88086.894243,101090.96467300001,80975.064805,75244.246181
117785.66794,131195.01001,89314.046782,93297.25080000001
87398.121078,82871.026606,94590.462746,99070.615441
103906.70531199999,84552.546346,131823.78251,118383.88444999998
100268.989174,110106.96879700001,88394.642216,94933.198947
55666.500446,48781.33815,172429.96113,133257.88047
85009.37193,87398.121078,108571.751479,106710.688785
94933.198947,96984.89988299999,101573.793802,103629.86901
98663.763171,96165.544298,110519.06605,111043.17219400001
63452.496595,67751.468393,90220.150552,99452.14246999999
101573.793802,112499.94936,96457.413249,91136.41558100001
115719.52707,101899.16438100001,122195.41045,128874.75561
97708.881999,107165.750483,105904.458987,105904.458987
126631.67575000001,109001.201612,118383.88444999998,122624.86104999999
103202.990313,111450.399733,98023.905717,101899.16438100001
101899.16438100001,100412.41489500001,117222.98217,114518.96111
90220.150552,89705.34744700001,116739.27437,112812.37813
96165.544298,108571.751479,98357.465365,94355.521675
97390.142389,94355.521675,109001.201612,97390.142389
78526.340139,82573.301619,129338.76750999999,116239.73782
99452.14246999999,88394.642216,76899.005041,80367.98222600001
95609.739934,106710.688785,90726.336887,94590.462746
91793.168892,85220.379455,107165.750483,100412.41489500001
104985.57307500001,90489.32378,133679.71272,143975.84513
81983.783308,75490.137512,123842.76443000001,119807.21613
98023.905717,99842.061706,103629.86901,103202.990313
101090.96467300001,102521.391273,101899.16438100001,98023.905717
151228.56695,111043.17219400001,100712.834176,107165.750483
61696.559027,60016.76453,99842.061706,103906.70531199999
67894.830195,67399.322916,113838.91909000001,111450.399733
93701.0317,97708.881999,93540.5434,90726.336887
113324.08406,115251.18996000002,83986.432512,82871.026606
84552.546346,104985.57307500001,90489.32378,100268.989174
98357.465365,105579.93817000001,86526.775399,89924.49617
89446.081034,91136.41558100001,89446.081034,91559.710949
91559.710949,98357.465365,99070.615441,101090.96467300001
90489.32378,94164.159559,92795.237077,92410.213936
129338.76750999999,130496.30957,39479.120894,78526.340139
93540.5434,103629.86901,90941.542094,88737.212223
125020.84968999999,100268.989174,112026.286433,119349.88002
79936.69424800001,80367.98222600001,99452.14246999999,96457.413249
72565.447324,77352.473291,92410.213936,94164.159559
79422.120577,93900.84651999999,96165.544298,93900.84651999999
65561.613183,69762.168313,100412.41489500001,102165.33676
92795.237077,103906.70531199999,86713.173525,86526.775399
87126.255008,83986.432512,108169.72219199999,100712.834176
88394.642216,94590.462746,88086.894243,81823.216753
96668.13696,80152.46177600001,102165.33676,105579.93817000001
55011.789948000005,47621.04884,124641.91910999999,125020.84968999999
60691.062717999994,69013.729145,107762.3041,108571.751479
89705.34744700001,100712.834176,83813.16184799999,82352.000467
89924.49617,82107.036149,103202.990313,104595.95805799999
94355.521675,92795.237077,83510.54734199999,88086.894243
83813.16184799999,98023.905717,87126.255008,80585.714593
69013.729145,64321.603586000005,94933.198947,90220.150552
85220.379455,87651.47436600001,97708.881999,90941.542094
134519.05098,108169.72219199999,86383.570793,90489.32378
88986.688758,94933.198947,78270.07479700001,81983.783308
84396.15779699999,90941.542094,89705.34744700001,86713.173525
121322.32818,122624.86104999999,53524.117429,59089.84656
147212.6906,99070.615441,82107.036149,83320.50371599999
90941.542094,91311.790718,82352.000467,78682.626347
108169.72219199999,104595.95805799999,81823.216753,86184.001119
80975.064805,92410.213936,89924.49617,85921.763746
91311.790718,86526.775399,87882.498803,87398.121078
80585.714593,69271.354217,119807.21613,109001.201612
86951.65896900001,85009.37193,77867.155896,74174.221136
107165.750483,93540.5434,87398.121078,98663.763171
71852.23582,71051.332711,96668.13696,93701.0317
63647.421160000005,66422.56624300001,93701.0317,92795.237077
75578.865816,81983.783308,84552.546346,82573.301619
76899.005041,107762.3041,69369.73911,89446.081034
39401.042284,45294.130326,93297.25080000001,122195.41045
124641.91910999999,131823.78251,38436.452516,48934.608636000004
77352.473291,71196.328424,82871.026606,82107.036149
77654.35194200001,88986.688758,72700.830447,79936.69424800001
96984.89988299999,98663.763171,77989.71012,77654.35194200001
69369.73911,62684.299398,74174.221136,77867.155896
80152.46177600001,83320.50371599999,79735.53931,72905.785876
113838.91909000001,86713.173525,103906.70531199999,87651.47436600001
93297.25080000001,90220.150552,79422.120577,81346.314561
64401.337438,71852.23582,72374.02643900001,69369.73911
92079.977308,102165.33676,53869.12170599999,64725.846879
82352.000467,83186.988481,85921.763746,77523.17922
82107.036149,88737.212223,73175.13454700001,74952.951145
75380.86078,73742.127165,98663.763171,92079.977308
116239.73782,96668.13696,75490.137512,85540.738849
80367.98222600001,67980.818374,82573.301619,78929.759441
59089.84656,55897.798835,96984.89988299999,97708.881999
